ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
KORU,LONG,0.8378346428571429,8.37834642857143,7.4,7.2492,poor_rr (0.4:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.2,NEUTRAL,trend_continuation,,,565.0,320.0,4.82,40.63,6333.0,11016.0,1.739,13170.0,3142.0,1037.0,72.4,1.385,1.93,0.07,1.0,1.4,2.0,1.0,538.99,474.32,565.0,0.4,90068788.84386009,30,1.0,7.999408202569634,0.002724,0.000301,21.204937958869127,23.857320041314754,109.615723,25.767857,24,1,0.629685,0.381616
ONDS,LONG,0.7605705301874561,7.605705301874561,7.29,6.8299,weak_relative_strength (-5.8% vs SPY),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.2,POSITIVE,trend_continuation,8693485.13,10.45,30.0,5.0,187.36,52.11,1102367.0,552107.0,0.501,654174.0,385460.0,614840.0,4.0,0.966,1.54,0.71,1.0,1.4,1.94,0.7,,,,,42.29442946477001,8,1.0,99.0,0.000468,0.0,78189.07225054399,0.0,6.571051,,0,0,0.550703,0.0
DAVE,LONG,0.7274661430658649,7.274661430658648,6.99,6.9943,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,6.3,NEUTRAL,trend_continuation,,,260.0,210.0,5.69,14.63,18888.0,5750.0,0.304,16459.0,419.0,7760.0,68.4,0.748,2.16,0.0,1.0,1.4,1.97,0.47,,,,,411143859552.0994,20,1.0,54.01810527476394,0.000934,0.00046,14167.712022835449,611.9799010313185,2.769648,15.628246,2,1,0.0,0.435115
LITE,LONG,0.673166858826045,6.73166858826045,6.2,6.2858,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.3,NEUTRAL,trend_continuation,,,1000.0,350.0,13.12,60.41,95278.0,108101.0,1.135,108922.0,36345.0,58112.0,70.1,1.029,2.1,0.44,0.24,1.4,1.52,0.49,,,,,19.188139433804913,6,1.0,24.82992253221731,8.8e-05,1.1e-05,915486.0144074601,73740.54536171824,3.584285,0.35169,0,0,0.482629,0.359971
U,LONG,0.6459864911677009,6.459864911677009,6.6,6.0699,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.3,POSITIVE,trend_continuation,4340011.54,26.61,40.0,20.0,50.35,24.83,465504.0,226094.0,0.486,304808.0,106494.0,280296.0,78.5,0.838,2.02,0.0,1.0,1.4,1.96,0.22,,,,,4.199875968047268,6,1.0,3.1480716170628886,9.9e-05,1.4e-05,4267.268750242313,2711.0366404075785,9.593716,12.077364,1,0,0.31449,0.076833
LCID,LONG,0.6127141206610289,6.12714120661029,3.85,5.3986,price_validation_failed,"confirmation_volume, not_extended, room_to_target, volume_capitulation_reversal","momentum_aligned, trend_aligned",5.9,NEGATIVE,unknown,-138254.7,7.84,12.0,5.0,52.96,36.27,245759.0,307677.0,1.252,332727.0,5315.0,215394.0,80.3,0.936,0.0,0.11,1.0,1.4,0.34,1.0,,,,,27.98931842935843,4,1.0,56.07464124686599,0.000174,2.2e-05,5389.041602537238,288.3143689932264,3.239116,0.665159,0,0,0.038063,0.0
CENX,LONG,0.6000000000000001,6.000000000000001,6.39,5.957,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.2,NEUTRAL,trend_continuation,,,65.0,55.0,3.49,12.43,21499.0,12476.0,0.58,10331.0,11131.0,12513.0,90.0,0.84,1.86,0.8,0.38,1.4,0.95,1.0,,,,,0.0,1,1.0,99.0,0.000128,0.0,780913.0334356156,0.0,26.338346,,0,0,0.0,0.0
SPXS,LONG,0.5925,5.925000000000001,0.0,3.555,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,361996826231.37604,5,1.0,8.589248043676031e-09,0.000167,0.000546,0.000298281812901923,8681.837204641495,9.609756,7.409777,1,4,0.0,0.000628
NN,LONG,0.5827328004385665,5.827328004385665,7.25,6.6487,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,7.8,NEUTRAL,trend_continuation,,,30.0,15.0,34.68,32.66,296227.0,28934.0,0.098,81541.0,150287.0,94386.0,29.8,0.215,1.98,0.0,1.0,1.4,1.88,1.0,,,,,276463623.5432026,6,1.0,99.0,0.001095,1.7e-05,21149.82366808269,1.0205139622185061e-05,1.127326,0.075075,1,0,0.448373,0.0
SEDG,LONG,0.5787211904761904,5.787211904761904,0.0,3.4723,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,364648099479.58167,10,1.0,1.7499555644586952e-12,0.000123,0.003543,2.967113097507124e-09,1695.5362511875696,0.119157,16.447931,5,0,0.56043,0.0
