ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
ADMA,LONG,0.7903576666666667,7.903576666666668,0.0,4.7421,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32.80346915920423,3,1.0,99.0,0.00118,0.0,465447.60099802446,0.0,745.720988,2,0,0.221674,0.0,,,,,
BTDR,LONG,0.705742042810964,7.05742042810964,0.0,4.2345,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,5.083404233652959,5,1.0,26.857723554777813,0.000353,2.3e-05,20399.654432955143,3038.180714214132,3.650195,1,0,0.324981,0.0,12.120879,,,,
ONON,LONG,0.6683549597727299,6.683549597727298,0.0,4.0101,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.9241423942509734,6,1.0,10.944991146274301,0.000131,4e-06,5598.566225655022,2557.592852672515,714.603357,1,1,0.396962,0.0,3.291339,,,,
GLBE,LONG,0.5785714285714286,5.7857142857142865,0.0,3.4714,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7,99.0,0.000113,0.0,528635.0140757444,0.0,925.0,0,0,0.0,0.0,,,,,
APLD,LONG,0.5671013679808241,5.671013679808241,0.0,3.4026,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.27,0.0,0.0,0.0,0.0,731.9463507599114,2,1.0,99.0,3.6e-05,0.0,84349.40820555924,0.0,9.69843,0,0,0.001364,0.0,,,,,
MKC,LONG,0.5532680082258707,5.532680082258707,0.0,3.3196,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,9.3e-05,0.0,64219.92949163575,0.0,3.990654,1,0,0.0,0.0,,,,,
VRT,LONG,0.5136141495539888,5.136141495539888,4.9,4.9781,price_validation_failed,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",4.7,NEGATIVE,retest_and_confirm,-4459293.04,253.99,260.0,190.0,2.22,25.3,200886.0,221841.0,1.104,173209.0,95295.0,154223.0,93.8,0.72,1.8,0.9,0.39,1.4,0.35,0.06,2480.0775737826148,9,1.0,99.0,1.5e-05,8e-06,20998.151636258182,8.087199552564527,430.423637,0,0,0.255374,0.347327,5.027447,,,,
AAPL,LONG,0.5022163982485637,5.022163982485637,0.0,3.0133,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,8.668515584181081,23,1.0,1.5835196898398627,1e-06,0.0,125385.71361829936,72583.18597966472,0.237097,2,1,0.746851,0.376422,0.737797,,,,
RKLB,LONG,0.49992615663273193,4.999261566327319,0.0,2.9996,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.38,0.0,0.0,0.0,0.0,1.6254912229324683,7,0.7,1.7526080455405801,1.7e-05,9e-06,181823.04953557198,77808.20560458937,3.71333,1,1,0.265396,0.44795,0.843575,,,,
BE,LONG,0.4991896523278383,4.991896523278383,0.0,2.9951,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.44,0.0,0.0,0.0,0.0,1.3356432569436207,11,1.0,1.3958530191181775,5.7e-05,2.4e-05,33051.91244975363,28414.377729225962,0.870471,2,0,0.648839,0.413758,0.147183,,,,
BABA,LONG,0.4980777678646171,4.980777678646171,0.0,2.9885,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2998407650214,14,1.0,2.4190548131046015,3e-06,2e-06,13138.947560026072,5431.43854734057,11.207471,1,1,0.507672,0.243723,0.668225,,,,
AMD,LONG,0.46327115745991415,4.632711574599141,0.0,2.7796,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.87,0.0,0.0,0.0,0.0,4.231580234344712,4,1.0,6.163196718300541,3e-06,0.0,322341.55987504835,52301.033799215125,2.379376,0,0,0.033181,0.322066,0.043656,,,,
LRCX,LONG,0.4591042859857994,4.5910428598579935,0.0,2.7546,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1021.7863086980831,8,1.0,0.8699325484239739,2e-06,3e-06,51599.75860731165,35588.79963794419,46.322804,0,1,0.154945,0.001962,0.561153,,,,
MSFT,LONG,0.457671518055366,4.57671518055366,0.0,2.746,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.909884482596356,11,1.0,2.308572622535714,1e-06,0.0,234111.1003422864,121691.3506070124,0.456443,2,2,0.658738,0.57434,0.181087,,,,
DOW,LONG,0.43343919580861173,4.334391958086117,0.0,2.6006,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,53.43935316162751,12,1.0,1.5496614847336465,1.8e-05,6e-05,8654.491719863485,5584.7627402000035,2.084008,1,0,0.032893,0.247108,168.856062,,,,
PANW,LONG,0.4325540824982536,4.325540824982536,0.0,2.5953,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,62.842989111959696,10,1.0,3.6228858899001537,4e-06,4e-06,77671.44070949728,21439.107680986857,1.006596,2,1,0.402063,0.128822,1.016366,,,,
CRWD,LONG,0.43141810147903326,4.314181014790332,0.0,2.5885,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.06,0.0,0.0,0.0,0.0,152.99502590911496,8,1.0,1.9766223382346755,2e-05,2e-06,27644.528867795838,23309.568999816463,0.728534,2,0,0.474746,0.215883,0.047877,,,,
OKTA,LONG,0.43088985304053967,4.308898530405397,0.0,2.5853,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.46,0.0,0.0,0.0,0.0,12152.391870051166,9,1.0,99.0,5e-05,2.9e-05,25446.154480568817,1.0811724393269828,0.454512,0,0,7.4e-05,0.626177,0.384031,,,,
GEV,LONG,0.422261989724189,4.22261989724189,0.0,2.5336,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,31.63409474965277,23,1.0,0.4620870542249244,6e-06,8e-06,5217.93439388084,8686.232715030575,1.436419,3,3,0.228257,0.598239,1.516425,,,,
ARM,LONG,0.42090708461254217,4.209070846125422,0.0,2.5254,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,87.51860711573227,19,1.0,0.9573968097493005,3e-06,5e-06,25941.35873379208,12505.718295997776,1.860088,0,8,0.35922,0.568978,10.053869,,,,
FIG,LONG,0.41974885410617047,4.197488541061705,0.0,2.5185,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.4460903816259405,3,1.0,99.0,2.9e-05,0.0,4907.929978164219,0.0,2.477401,0,0,0.504622,0.0,,,,,
GOOG,LONG,0.41540259619827996,4.1540259619828,0.0,2.4924,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,51.632146875886775,16,1.0,3.845003711934779,1e-06,1e-06,121012.89988790725,31472.765426022022,0.289496,1,1,0.025376,0.693102,0.321576,,,,
LUV,LONG,0.4146926982112284,4.146926982112284,0.0,2.4882,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.12,0.0,0.0,0.0,0.0,6.235214458027446,2,1.0,99.0,7.4e-05,0.0,3164.6647251918307,0.0,0.826493,0,0,0.138213,0.0,,,,,
DASH,LONG,0.39515141098346784,3.9515141098346787,0.0,2.3709,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32.35921979974737,4,1.0,1.2427769616279734,4e-06,1e-06,2167.5030287058535,5232.241413293992,3.777778,0,0,0.488835,0.0,1.04908,,,,
ROP,LONG,0.3904806635626194,3.904806635626194,0.0,2.3429,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.72,0.0,0.0,0.0,0.0,0.6144391266426834,2,1.0,99.0,5e-06,0.0,87249.6821710808,0.0,12.6,0,0,0.38059,0.0,,,,,
ADBE,LONG,0.3725345913881144,3.725345913881144,0.0,2.2352,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.04,0.0,0.0,0.0,0.0,17.586028743999936,10,1.0,1.1213109423695125,7e-06,2e-06,35507.08437311499,47498.534569834934,0.426235,0,1,0.450598,0.616151,0.232125,,,,
UNG,LONG,0.3720444981102251,3.720444981102251,0.0,2.2323,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.99,0.0,0.0,0.0,0.0,243.05631291063926,2,0.7,0.008228545788626807,8.1e-05,4.3e-05,25.796298441282033,3134.976592940241,0.190256,0,0,0.0,0.0,0.319238,,,,
HYG,LONG,0.35950481242003407,3.595048124200341,0.0,2.157,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1.4915944561555774,4,1.0,0.7712848443912403,4.3e-05,5.5e-05,33515.6506489691,43454.309899505846,0.065865,0,0,0.477063,0.213792,0.015169,,,,
SHEL,LONG,0.35583333333333333,3.5583333333333336,0.0,2.135,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,15356.154216091685,6,1.0,1.0936233278223475e-05,1e-06,3e-06,0.5810255021311896,26564.242337814037,4.222328,1,1,0.001,0.004954,12.479674,,,,
AMAT,LONG,0.35297742163628243,3.5297742163628243,0.0,2.1179,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,19.231856452979347,17,1.0,0.07555627233513237,2e-06,5e-06,10438.076670906881,75354.38408998678,1.171232,1,2,0.380078,0.733192,0.527175,,,,
XLV,LONG,0.3433333333333333,3.433333333333333,0.0,2.06,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,194.41944885477054,3,1.0,7.386766781242215,0.0,0.0,1198.4937604098268,324.49752263825474,81.519314,0,1,0.005464,0.0,0.025966,,,,
UPRO,LONG,0.3425,3.4250000000000003,0.0,2.055,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1637.8350285275194,5,1.0,0.00027630452625440995,0.0,0.0,0.46707269414835506,422.6068067722256,13.8,1,2,0.0,0.110526,20.05822,,,,
