ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
KORU,LONG,0.7302816766581302,7.3028167665813015,0.0,4.3817,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,18,1.0,0.03208112047373246,0.004031,0.003071,578.8155879323243,36084.49950532431,174.0,12,0,0.688886,0.784239,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,7.6e-05,0.561427,0.651335,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
PONY,LONG,0.7068794727671293,7.068794727671293,5.28,6.2984,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.9,NEUTRAL,trend_continuation,,,12.5,10.0,20.71,3.43,97479.0,14927.0,0.153,78651.0,10757.0,22998.0,81.0,0.957,2,1.0,99.0,0.000381,0.0,213067.93432097597,0.0,10.776119,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.8e-05,0.0,0.184409,0.0,0.0,0.0,False,0.0,0.99,1.0,1.4,1.45,0.44,False,default,2.5,False,1.0,0.7068794727671293,0.7068794727671293,n/a,2026-05-06,2026-05-06,,,,,
EA,LONG,0.5590287320540497,5.590287320540497,0.0,3.3542,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5,0.7,0.2501533899372679,3.9e-05,6.6e-05,199885.69380510386,1198578.7631454652,66.568771,0,0,0.48855,0.365672,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4e-06,1.2e-05,0.370254,0.243755,0.0,0.0,False,,,,,,,,,,,,,,,,,12.315271,,,,
AXTI,LONG,0.5232503306076945,5.2325033060769455,6.12,5.7323,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, trend_aligned",room_to_target,6.4,NEGATIVE,ema_pullback,-25962.35,104.85,105.0,40.0,0.19,61.83,157813.0,108531.0,0.688,139119.0,37419.0,89806.0,39.9,1.35,2,1.0,99.0,0.000334,0.0,877640.9750317492,0.0,21.178571,2,0,0.400518,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000124,0.0,0.422927,0.0,0.0,0.0,False,2.6,0.13,0.0,1.2,1.7,0.49,False,default,2.5,False,1.0,0.5232503306076945,0.5232503306076945,n/a,2026-05-06,2026-05-06,,,,,
WBD,LONG,0.5013407229233764,5.0134072292337635,5.18,5.5607,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",7.5,NEGATIVE,retest_and_confirm,-28835648.97,,29.0,25.0,6.17,8.48,574377.0,1316991.0,2.293,151642.0,459693.0,1280033.0,16.3,0.134,2,0.7,99.0,5.6e-05,0.0,616.1869483983706,0.0,12.706656,0,0,1e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.350035,0.0,0.0,0.0,False,0.0,0.81,1.0,1.4,1.81,0.16,False,default,2.5,False,1.0,0.5013407229233764,0.5013407229233764,n/a,2026-05-06,2026-05-06,,,,,
MTSI,LONG,0.48578516736782085,4.8578516736782085,0.0,2.9147,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,0.7,1.2997093073093235,3.3e-05,2.5e-05,1818.1765419619865,1398.910149936528,52.875,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.419099,0.445556,0.0,0.0,False,,,,,,,,,,,,,,,,,205.125,,,,
SGI,LONG,0.48578516736782085,4.8578516736782085,5.63,5.3379,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,6.1,NEUTRAL,flag_breakout,,,85.0,60.0,8.65,23.3,75873.0,2887.0,0.038,10315.0,50806.0,17639.0,98.8,0.569,1,0.7,99.0,0.000124,0.0,0.006769087403635517,0.0,1250.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.309492,0.0,0.0,0.0,False,0.0,0.9,1.0,1.6,1.59,0.53,False,default,2.5,False,1.0,0.48578516736782085,0.48578516736782085,n/a,2026-05-06,2026-05-06,,,,,
CMI,LONG,0.4846977583020506,4.8469775830205055,7.28,5.9475,poor_rr (1.1:1),"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.7,NEUTRAL,trend_continuation,,,800.0,500.0,12.57,29.64,11676.0,9567.0,0.819,3118.0,9402.0,8723.0,67.0,0.358,1,1.0,99.0,2.3e-05,0.0,2.402574048463131,0.0,3.187302,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342247,0.0,0.0,0.0,False,2.33,0.34,1.0,1.4,1.96,0.25,False,sustained_trend,5.0,False,1.0,0.4846977583020506,0.4846977583020506,n/a,2026-05-06,2026-05-06,,710.68,625.4,800.0,1.05
MDGL,LONG,0.46538715165112277,4.653871516511227,0.0,2.7923,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,1.345915477763351e-36,7e-05,0.00023,6.385752007964207e-31,237227.08124941404,21.428571,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,2e-05,0.472482,0.493071,0.0,0.0,False,,,,,,,,,,,,,,,,,6.410256,,,,
SIMO,LONG,0.45203031185077047,4.520303118507705,6.74,5.2822,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,5.0,NEUTRAL,trend_continuation,,,280.0,135.0,15.02,44.54,27495.0,6819.0,0.248,21529.0,4751.0,8034.0,87.4,0.779,1,1.0,99.0,0.000284,0.0,1.3705943651568324e-19,0.0,51.641026,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.453396,0.0,0.0,0.0,False,3.0,0.17,0.0,1.4,1.79,0.37,False,sustained_trend,5.0,False,1.0,0.45203031185077047,0.45203031185077047,n/a,2026-05-06,2026-05-06,,,,,
