ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
CIEN,LONG,0.7735327140328401,7.735327140328401,5.61,6.3907,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,4.2,NEUTRAL,trend_continuation,,,510.0,360.0,4.77,26.05,42141.0,37517.0,0.89,44655.0,13644.0,21359.0,73.9,0.827,2.24,0.25,0.13,1.4,1.2,0.38,5.436930980895752,26,1.0,99.0,0.000115,1.4e-05,59112.979324047534,1.1331313958161748,2.985113,3.508543,2,0,0.772634,0.223151,,,,
BURL,LONG,0.6283401503148106,6.283401503148106,5.02,5.8277,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.9,NEUTRAL,trend_continuation,,,360.0,270.0,6.01,20.49,4660.0,25477.0,5.467,17828.0,9577.0,2732.0,24.8,0.327,1.66,0.44,0.0,1.4,1.53,0.0,40202999.10995665,7,1.0,99.0,8e-05,1.7e-05,2989.0878856596196,0.000277505514505824,281.106753,6.564103,0,0,0.383188,0.0,,,,
CTRA,LONG,0.5933333333333333,5.933333333333333,2.99,4.9637,watchlist_reeval_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.5,NEUTRAL,bounce_and_fail,,,34.0,31.0,6.23,3.14,121873.0,26356.0,0.216,89896.0,27097.0,31236.0,83.4,0.371,0.0,0.47,1.0,1.0,0.52,0.0,8.631444526904845e+25,3,1.0,1.3356274547088577e-24,0.000122,1.6e-05,7.400315392597817e-20,110814.06520220042,134.233264,517.241379,0,0,0.017348,0.0,,,,
WULF,LONG,0.5907359105862311,5.9073591058623105,5.51,5.6667,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.3,POSITIVE,trend_continuation,17867512.44,19.19,20.0,11.0,4.19,42.69,1564244.0,885843.0,0.566,1182936.0,546996.0,720155.0,45.6,0.978,1.9,0.37,0.3,1.4,0.69,0.84,2.6678999094822733,5,1.0,8.384641266142685,7.3e-05,8e-06,36240.31156862741,17288.902610522582,5.686741,28.551724,0,0,0.435414,0.0,,,,
STX,LONG,0.5906466679179974,5.906466679179974,4.96,4.8412,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",2.0,NEUTRAL,trend_continuation,,,520.0,200.0,0.59,61.31,82635.0,86846.0,1.051,62761.0,27453.0,79267.0,99.4,0.846,2.24,0.03,0.05,1.4,1.13,0.12,105.475009338492,22,1.0,3.8783756991319045,4.6e-05,1.4e-05,37545.08895722873,6701.969048352894,2.714318,2.509004,2,1,0.257948,0.515824,,,,
NVT,LONG,0.5490969928988731,5.490969928988731,4.53,5.0045,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,4.5,NEUTRAL,trend_continuation,,,135.0,120.0,4.35,7.25,34303.0,7939.0,0.231,22846.0,13147.0,6249.0,88.5,0.519,1.8,0.51,0.3,1.4,0.18,0.34,126343911019554.92,11,1.0,99.0,4.2e-05,2.3e-05,5676.63550437276,4.254023539713243e-05,5.169208,6.693719,0,1,0.301927,0.380484,,,,
CGON,LONG,0.5472510983747996,5.472510983747996,5.68,5.6203,watchlist_reeval_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.9,NEUTRAL,ema_pullback,,,90.0,35.0,38.85,46.0,35636.0,13899.0,0.39,6987.0,33684.0,8864.0,80.8,0.818,2.09,0.76,0.74,1.2,0.47,0.42,186960895.74614596,4,1.0,1.0697424143258194e-08,6.5e-05,3.5e-05,0.00017967200271111136,16795.819283686673,8.654762,8.899035,1,0,0.265365,0.0,,,,
COP,LONG,0.46662682889727924,4.666268288972793,5.99,4.6901,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,2.8,POSITIVE,trend_continuation,28821777.0,121.22,125.0,95.0,3.09,21.65,246802.0,176493.0,0.715,169097.0,81716.0,172482.0,80.1,0.34,1.86,0.63,1.0,1.4,0.98,0.12,2270566413.994082,25,1.0,8.335639893349661,1e-05,6e-06,5569.665973278369,1718.1642201731738,1.701617,0.47378,3,1,0.461121,0.0,,,,
BP,LONG,0.45586008206104933,4.5586008206104935,5.84,4.9113,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",4.4,POSITIVE,retest_and_confirm,26895715.96,47.26,55.0,38.0,16.38,19.59,347597.0,175777.0,0.506,148216.0,73246.0,301912.0,94.4,0.35,1.92,0.34,0.13,1.4,1.87,0.18,9.768616260714698e+23,16,1.0,0.04862417814991459,1.4e-05,9e-06,0.00022784589089369227,0.0036445545701301535,3.380744,44.060504,0,2,0.121762,0.0,,,,
IDYA,LONG,0.4383821597168194,4.383821597168193,3.42,4.1379,watchlist_reeval_failed,"not_extended, room_to_target, volume_capitulation_reversal","confirmation_volume, momentum_aligned, trend_aligned",4.6,NEUTRAL,unknown,,,35.0,20.0,7.79,38.4,46331.0,12848.0,0.277,54442.0,0.0,4737.0,0.4,0.504,0.0,0.91,0.47,1.4,0.58,0.06,2.930646704652228e+33,4,1.0,99.0,6.1e-05,0.0,2163.916087690721,0.0,1.28038,,0,0,0.0,0.0,,,,
