ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
KORU,LONG,0.8720459087606292,8.720459087606292,7.84,7.4522,poor_rr (0.3:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.7,NEUTRAL,flag_breakout,,,450.0,320.0,3.33,26.52,5808.0,8480.0,1.46,7793.0,5739.0,756.0,74.7,1.475,1.79,0.51,1.0,1.6,1.94,1.0,435.48,383.22,450.0,0.28,200377172681503.16,35,1.0,3.37390239441228,0.003661,0.000313,32019.726766860404,101231.07080557373,170.857352,25.767857,29,1,0.121995,0.381616
SMR,LONG,0.7139880693801429,7.139880693801429,5.7,6.8399,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,7.8,NEGATIVE,ema_pullback,-67654.76,10.72,20.0,10.0,86.13,6.93,293804.0,181806.0,0.619,128627.0,163880.0,183103.0,77.1,1.122,0.0,0.93,1.0,1.2,1.57,1.0,,,,,154115.6093836236,11,1.0,1.5605692264700126,0.000432,6.1e-05,13238.474722747225,38173.97859825557,3.225588,0.464494,0,0,0.286009,0.0
BTDR,LONG,0.7125,7.125,0.0,4.275,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,99024992.01677743,18,1.0,0.030543825506082523,0.000595,0.000189,287.3967799650238,18818.64993681236,111.664022,0.112293,1,3,0.001041,0.413343
ONDS,LONG,0.695469568345591,6.954695683455911,3.47,5.3583,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned",4.2,POSITIVE,unknown,3691820.14,9.54,30.0,5.0,214.3,47.62,987542.0,501255.0,0.508,464811.0,430573.0,593413.0,0.0,0.934,0.0,0.97,1.0,0.0,0.99,0.5,,,,,16.65821182660485,7,1.0,12.567185763421303,0.000236,2.9e-05,101455.7221526416,10764.088217527462,3.221458,6.637892,0,1,0.070196,0.223034
DUOL,LONG,0.6854716000000001,6.854716000000001,4.79,6.1044,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, pullback_to_support, room_to_target",trend_aligned,6.2,NEUTRAL,pullback_to_support,,,100.0,60.0,5.75,36.55,76941.0,47576.0,0.618,33486.0,42999.0,48032.0,83.0,0.948,0.0,0.83,1.0,1.4,0.88,0.68,,,,,43301.13657425418,15,1.0,99.0,0.00047,7.1e-05,129.19217359394307,0.004840420491925225,2.75786,3.376371,0,0,7e-05,0.431275
URA,LONG,0.6709449523809524,6.709449523809524,0.0,4.0257,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,876.6098765402671,10,1.0,99.0,0.000149,0.000386,1.1769175976335988,0.015580928208290684,3.722177,8.564394,0,0,0.439896,0.139525
SPXS,LONG,0.67,6.7,0.0,4.02,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7167.774490057706,6,1.0,99.0,0.001328,0.00026,0.31644226527495595,0.0002034664078974513,8.397471,2.641939,4,2,8.2e-05,0.475621
LUNR,LONG,0.5944194371850635,5.944194371850635,5.53,5.5111,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,4.4,POSITIVE,trend_continuation,2299738.75,23.57,30.0,20.0,27.33,15.11,185475.0,109655.0,0.591,100176.0,80767.0,114187.0,77.4,1.175,1.75,0.49,0.14,1.4,0.76,1.0,,,,,4.674108130042718,6,1.0,8.682405623409194,9e-05,4.3e-05,28047.752752781573,3230.412626330221,2.538089,0.405864,0,1,0.240421,0.491092
NKE,LONG,0.5915564673944267,5.915564673944267,0.0,3.5493,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,34408758.41413486,19,1.0,3.8522050187593497,4.1e-05,9e-06,4989.228083106788,3626.4525290500155,1.819934,0.396541,4,0,0.66382,0.530352
W,LONG,0.5879077866666667,5.879077866666666,0.0,3.5274,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,539186631.0951986,13,1.0,99.0,0.000104,0.000247,0.006937437448046144,8.378765804282316e-10,1.812352,2.388663,1,2,0.000136,0.250996
PSKY,LONG,0.5866841599999999,5.866841599999999,5.92,5.6294,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.6,POSITIVE,trend_continuation,77361.15,10.93,17.0,10.0,55.61,8.47,507866.0,490703.0,0.966,118767.0,86826.0,792976.0,71.0,0.597,1.86,0.28,1.0,1.4,1.19,0.19,,,,,945.0558190581091,4,1.0,99.0,0.001643,0.0,0.23795538625970275,0.0,2.444736,,0,0,0.064357,0.0
AAL,LONG,0.5644675431132501,5.644675431132501,5.41,5.3053,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.3,POSITIVE,retest_and_confirm,198280.57,12.21,15.0,10.0,22.95,18.03,930114.0,1636090.0,1.759,479852.0,708811.0,1377541.0,88.3,0.59,0.0,0.16,1.0,1.4,1.85,1.0,,,,,0.45379967246675956,6,1.0,5.201780173797708,0.000134,2.4e-05,231994.28641570196,89198.03554340817,1.418106,0.259939,1,1,0.619788,0.2021
STM,LONG,0.5549899646731364,5.549899646731364,0.0,3.3299,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,60052.9653656696,9,1.0,9.840176418155854,3.9e-05,3e-06,44250.1156762472,15739.088232311426,3.393205,4.04535,2,0,0.105619,5e-05
GOOGL,LONG,0.5404526829025743,5.404526829025743,0.0,3.2427,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.237276524289732,32,1.0,10.580352500219053,1.1e-05,1e-06,116797.0313276068,59610.86543723555,2.016724,0.252669,6,1,0.658631,0.533081
IREN,LONG,0.5279600135042284,5.279600135042283,0.0,3.1678,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.8848571059796422,8,1.0,5.397008653135837,0.000149,2.8e-05,401581.13302637136,124013.49180502044,0.541805,0.568919,1,1,0.527054,0.171096
