ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
KORU,LONG,0.9098927383569324,9.098927383569324,7.36,7.5375,poor_rr (0.3:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.9,NEUTRAL,flag_breakout,,,450.0,320.0,3.21,26.61,5808.0,8480.0,1.46,7793.0,5739.0,756.0,77.5,1.518,1.79,0.51,1.0,1.6,1.88,0.58,436.0,383.68,450.0,0.27,205896275.69623592,36,1.0,4.89208277630466,0.003505,0.000313,41191.160557787436,92619.60331708098,165.210758,25.767857,30,1,0.39447,0.381616
USO,LONG,0.7920617380952382,7.920617380952382,6.1,6.9903,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.0,NEGATIVE,ema_pullback,-8285596.3,,150.0,80.0,19.69,36.16,738451.0,1094509.0,1.482,763587.0,401279.0,668094.0,83.4,0.723,2.35,0.83,0.75,1.2,0.94,0.02,,,,,3.242367773381912,5,1.0,4.423605157319698,0.000391,9.3e-05,147069.9116776701,49869.927281252116,27.597468,1.916629,2,2,0.245531,0.468723
EWY,LONG,0.7678110439834993,7.6781104398349935,4.49,5.7861,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern",3.0,POSITIVE,unknown,28394317.63,143.49,150.0,110.0,4.4,23.44,373841.0,311120.0,0.832,271859.0,191288.0,221814.0,76.2,0.522,1.83,0.1,0.47,0.0,1.89,0.2,,,,,17.47106121151788,12,1.0,99.0,7.7e-05,5e-06,102754.79438418102,2480.9181496725528,3.463383,0.10291,6,0,0.551091,0.623392
IRDM,LONG,0.7250718889254627,7.250718889254627,0.0,4.3504,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,174338923899354.66,6,1.0,99.0,0.000271,1.1e-05,46790.005235784556,9.536873495329024e-12,14.435633,0.462908,3,1,0.260777,0.0
SMR,LONG,0.7011105816771377,7.0111058167713765,5.19,6.6226,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,7.8,NEGATIVE,bounce_and_fail,-31195.26,10.42,20.0,10.0,92.12,3.94,293804.0,181806.0,0.619,128627.0,163880.0,183103.0,75.1,1.104,0.0,0.9,1.0,1.0,1.29,1.0,,,,,89978.33502988481,10,1.0,1.5605691892086866,0.000415,6.1e-05,13626.350270714267,34926.61617297146,3.616889,0.464494,0,0,0.286008,0.0
BTDR,LONG,0.6966695708193764,6.966695708193765,0.0,4.18,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.4799857002273659,8,1.0,5.90999891377412,0.000744,0.000125,291031.8956972735,82073.3077234529,16.33371,0.111006,1,2,0.240516,0.419571
RGTI,LONG,0.6909649428139828,6.9096494281398275,5.8,6.1148,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,4.6,POSITIVE,flag_breakout,616818.89,16.88,20.0,14.0,18.31,17.18,290603.0,274899.0,0.946,160990.0,100800.0,303712.0,68.8,1.071,0.0,0.49,1.0,1.6,1.71,1.0,,,,,62146653.94892292,4,1.0,99.0,9.9e-05,0.0,87968.5359880704,0.0,3.630365,,0,0,0.299486,0.0
DUOL,LONG,0.6854716000000001,6.854716000000001,4.45,6.0224,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, pullback_to_support, room_to_target",trend_aligned,6.3,NEUTRAL,pullback_to_support,,,100.0,60.0,6.11,36.33,76941.0,47576.0,0.618,33486.0,42999.0,48032.0,77.1,0.924,0.0,0.8,1.0,1.4,0.84,0.41,,,,,43301.13657425427,15,1.0,99.0,0.00047,7.1e-05,118.20212682452086,0.004428658338614549,2.75786,3.376371,0,0,7e-05,0.431275
URA,LONG,0.6709449523809524,6.709449523809524,0.0,4.0257,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,876.6098765402668,10,1.0,99.0,0.000149,0.000386,1.076800236945771,0.014255498617963287,3.722177,8.564394,0,0,0.439896,0.139525
SPXS,LONG,0.67,6.7,0.0,4.02,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7167.774490057704,6,1.0,99.0,0.001328,0.00026,0.2895233335900982,0.00018615804256390194,8.397471,2.641939,4,2,8.2e-05,0.475621
