ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,entry_price,stop_price,target_1,target_2,time_stop_days,source
CMG,SHORT,14.626030170507853,5.650161736886112,9.0,6.9901,33.37,38.66,25.44,17.51,5,fresh
AMAT,LONG,6.558825882262191,1.59927232460846,10.0,4.9596,357.06,312.8,423.45,489.84,5,fresh
ALAB,SHORT,6.992357925916048,0.764809998623119,10.0,4.4589,116.04,137.68,83.58,51.13,5,fresh
HOOD,SHORT,7.246750952988318,0.9276149209709418,9.0,4.1566,70.89,85.85,48.44,26.0,5,fresh
LEU,SHORT,6.184862576451916,0.24803397225668652,10.0,4.1488,186.76,231.59,119.51,52.26,5,fresh
QQQ,SHORT,7.0485224862278,0.8007538567763411,9.0,4.0805,582.06,619.41,526.03,470.0,5,fresh
IWM,SHORT,6.599941650971641,0.5136737866537697,9.0,3.9082,242.22,268.75,202.42,162.62,5,fresh
U,SHORT,6.100772277731328,0.19421836767440614,9.0,3.7165,18.39,21.97,13.02,7.65,5,fresh
WFC,SHORT,6.078862576451916,0.18019672857324784,9.0,3.7081,77.6,89.33,60.0,42.4,5,fresh
RDDT,SHORT,5.9156394539994865,0.0757381744923304,9.0,3.6454,139.85,158.49,111.89,83.93,5,fresh
