ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,entry_price,stop_price,target_1,target_2,rr_ratio,time_stop_days,source
CMG,SHORT,0.8359947850266495,9.661159819026395,8.0,8.9967,33.37,37.37,25.36,21.36,2.0,5,fresh
QQQ,SHORT,0.6333769520732364,6.750671645806606,8.0,7.2504,582.06,619.41,507.35,470.0,2.0,5,fresh
IWM,SHORT,0.6193399272456152,6.549037889525254,8.0,7.1294,242.22,268.75,189.15,162.62,2.0,5,fresh
HOOD,SHORT,0.6138815190258559,6.470631007284696,8.0,7.0824,70.89,79.4,53.88,45.37,2.0,5,fresh
ORCL,SHORT,0.5529537194954608,5.595438348431744,9.0,6.9573,149.68,167.64,113.76,95.8,2.0,5,fresh
LEU,SHORT,0.5435369755932024,5.460172259764887,9.0,6.8761,186.76,209.17,141.94,119.53,2.0,5,fresh
AMAT,LONG,0.5694833062558184,5.255282475666271,8.0,6.3532,357.06,314.21,442.75,485.6,2.0,5,fresh
