ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi
IE,LONG,0.676516373854376,6.765163738543761,5.24,6.4146,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,7.3,NEUTRAL,retest_and_confirm,,,20.0,10.0,90.29,4.85,34608.0,11130.0,0.322,5453.0,4793.0,35492.0,30.1,0.812,0.0,0.42,1.0,1.4,1.78,0.64,False,consolidation_break,3.0,False,1,1.0,99.0,0.000938,0.0,926808.1141883774,0.0,102.564103,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.00039,0.0,0.646074,0.0,0.0,0.0,1.0,0.676516373854376,0.676516373854376,n/a,2026-08-04,2026-08-04,False,,,,,
FHN,LONG,0.6508020881400902,6.508020881400903,5.73,5.573,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",3.0,POSITIVE,retest_and_confirm,12830918.23,26.05,27.0,18.0,3.49,31.01,241074.0,29846.0,0.124,31409.0,881.0,238630.0,0.0,0.212,1.56,0.82,0.0,1.4,1.69,0.27,False,sustained_trend,5.0,False,1,0.7,99.0,0.000888,0.0,9106229.648095151,0.0,100.249399,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000295,0.0,0.396724,0.0,0.0,0.0,1.0,0.6508020881400902,0.6508020881400902,n/a,2026-08-04,2026-08-04,False,,,,,
WMB,LONG,0.5544902807409506,5.544902807409507,5.5,5.2825,price_validation_failed,"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, room_to_target",trend_aligned,4.3,POSITIVE,unknown,14866308.01,71.62,80.0,64.0,11.87,10.5,240508.0,83127.0,0.346,72276.0,43721.0,207638.0,82.2,0.295,0.0,0.79,0.83,1.6,1.49,0.79,False,default,2.5,False,4,1.0,99.0,2.8e-05,0.0,69777.03770942743,0.0,678.531868,0,0,1.5e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.205875,0.0,0.0,0.0,1.0,0.5544902807409506,0.5544902807409506,n/a,2026-08-04,2026-08-04,False,,,,,
DJT,LONG,0.5314106939652145,5.314106939652144,5.73,5.3761,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.0,POSITIVE,bounce_and_fail,1133579.13,10.31,25.0,5.0,141.78,51.64,289167.0,185690.0,0.642,43527.0,107473.0,323857.0,95.6,0.859,2.0,0.43,0.51,1.0,1.54,0.26,False,default,2.5,False,1,0.7,99.0,0.000329,0.0,38306.61368061628,0.0,38.398773,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.011342,0.0,0.0,0.0,1.0,0.5314106939652145,0.5314106939652145,n/a,2026-08-04,2026-08-04,False,,,,,
TRMB,LONG,0.5065163738543761,5.065163738543761,6.51,5.2456,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,3.8,NEUTRAL,trend_continuation,,,60.0,50.0,0.32,16.4,12122.0,5195.0,0.429,2665.0,3364.0,11288.0,97.9,0.512,1.81,0.09,1.0,1.4,1.89,0.32,False,default,2.5,False,1,1.0,99.0,9.1e-05,0.0,0.00019154094013966116,0.0,100.06,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.291968,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-04,2026-08-04,False,,,,,
ROK,LONG,0.5065163738543761,5.065163738543761,4.15,5.1776,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",7.0,NEUTRAL,ema_pullback,,,560.0,380.0,25.78,14.65,10426.0,8522.0,0.817,11403.0,1800.0,5745.0,39.6,0.335,0.0,0.52,1.0,1.2,0.43,1.0,False,default,2.5,False,1,1.0,99.0,4.2e-05,0.0,3.198097514029364e-28,0.0,7.156425,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342728,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-04,2026-08-04,False,,,,,
SOXX,LONG,0.4928989232081937,4.928989232081936,5.31,5.2975,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.2,NEGATIVE,ema_pullback,-6879054.31,,670.0,500.0,23.57,7.78,200935.0,295742.0,1.472,223793.0,105460.0,167424.0,85.2,0.614,0.0,0.88,1.0,1.2,1.92,0.31,False,default,2.5,False,6,1.0,99.0,0.000577,0.0,794402.3672728349,0.0,41.364087,0,0,0.509682,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.3e-05,0.0,0.123055,0.0,0.0,0.0,1.0,0.4928989232081937,0.4928989232081937,n/a,2026-08-04,2026-08-04,False,,,,,
VSAT,LONG,0.4808020881400903,4.808020881400903,7.34,5.826,poor_rr (1.8:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.1,NEUTRAL,trend_continuation,,,105.0,60.0,21.87,30.36,139125.0,54672.0,0.393,21484.0,81031.0,91282.0,99.1,1.087,1.63,0.63,1.0,1.4,1.89,0.79,False,sustained_trend,5.0,False,1,0.7,99.0,0.000322,0.0,5.354510919607888e-52,0.0,3.486842,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.228335,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-08-04,2026-08-04,False,86.16,75.82,105.0,1.82,
DUOL,LONG,0.45820119559978834,4.582011955997883,6.33,5.41,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.1,NEUTRAL,trend_continuation,,,800.0,60.0,480.76,56.44,48982.0,37131.0,0.758,27126.0,14240.0,44747.0,65.8,0.851,1.7,0.83,0.12,1.4,1.36,0.93,False,sustained_trend,5.0,False,1,0.7,99.0,0.000113,0.0,561156.5559841833,0.0,189.2,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.024461,0.0,0.0,0.0,1.0,0.45820119559978834,0.45820119559978834,n/a,2026-08-04,2026-08-04,False,,,,,
VST,LONG,0.4546288761170583,4.546288761170583,2.6,4.5531,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",7.5,NEGATIVE,unknown,-13808567.95,,165.0,125.0,15.2,12.73,231386.0,212440.0,0.918,105448.0,139765.0,198613.0,70.1,0.579,0.0,0.45,1.0,0.0,0.15,1.0,False,default,2.5,False,2,1.0,3.753426798995898e-32,0.000175,2.3e-05,2.2567615804634823e-26,601253.6546782269,2.202077,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.210392,0.018669,0.0,0.0,1.0,0.4546288761170583,0.4546288761170583,n/a,2026-08-04,2026-08-04,False,,,,,4.248636
