ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi
FXI,LONG,0.3791102638930351,3.791102638930351,4.32,4.8916,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",8.5,NEGATIVE,retest_and_confirm,-32591032.75,,40.0,36.0,8.5,2.35,1881912.0,2086948.0,1.109,742537.0,1860284.0,1366039.0,56.1,0.24,0.0,0.78,1.0,1.4,0.85,0.28,1,1.0,99.0,0.00025,0.0,133.61533091403805,0.0,4.633136,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.448939,0.0,0.0,0.0,
OXY,LONG,0.2988812767822087,2.988812767822087,6.61,4.2974,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.1,POSITIVE,trend_continuation,98160991.47,57.06,60.0,40.0,5.08,29.95,701941.0,321664.0,0.458,340532.0,172783.0,510290.0,96.4,0.424,1.77,0.85,1.0,1.4,1.56,0.04,1,1.0,99.0,1e-05,0.0,5.848175002300569e-29,0.0,45.876923,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.345798,0.0,0.0,0.0,
AXON,LONG,0.2883217809163726,2.8832178091637264,4.67,3.8026,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.8,NEUTRAL,retest_and_confirm,,,790.0,390.0,98.93,1.79,24222.0,25353.0,1.047,10237.0,8728.0,30610.0,95.9,0.824,0.0,0.76,1.0,1.4,1.1,0.4,1,1.0,99.0,8e-06,0.0,7.494801345864244e-15,0.0,8.823529,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.438039,0.0,0.0,0.0,
HTZ,SHORT,0.5680188843244165,5.680188843244165,4.65,5.6351,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned,7.0,NEGATIVE,unknown,-682032.59,,9.0,5.0,57.62,12.43,386840.0,654557.0,1.692,375133.0,253384.0,412880.0,85.0,1.095,0.0,0.68,0.28,1.4,1.93,0.36,3,1.0,0.0,0.0,0.00172,0.0,2684.2388727353587,,0,0,0.0,0.408478,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.015557,0.0,0.0,7.349799
EEFT,SHORT,0.5270550086376622,5.2705500863766215,4.64,4.9673,watchlist_reeval_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,4.7,NEUTRAL,bounce_and_fail,,,75.0,70.0,1.04,5.7,3180.0,3429.0,1.078,3699.0,1182.0,1728.0,93.0,0.487,0.0,0.64,0.78,1.0,1.7,0.52,2,1.0,0.0,0.0,0.000285,0.0,16.979640915288343,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.539135,0.0,0.0,259.269231
SEDG,SHORT,0.5157570225647203,5.157570225647204,4.05,4.7138,watchlist_reeval_failed,"confirmation_volume, ema_rally, not_extended, room_to_target","momentum_aligned, trend_aligned",4.6,NEUTRAL,ema_rally,,,70.0,25.0,52.74,45.45,103788.0,85611.0,0.825,66035.0,35687.0,87677.0,88.1,1.078,0.0,0.65,1.0,1.2,0.48,0.72,3,1.0,0.0,0.0,0.001271,0.0,2.8911018295380497e-11,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.79026,0.0,0.0,32.447797
NTRA,SHORT,0.5114994530821066,5.1149945308210665,5.52,5.0535,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.2,NEUTRAL,ema_rally,,,220.0,190.0,7.98,6.75,15356.0,10246.0,0.667,14567.0,1874.0,9161.0,98.8,0.751,1.52,0.99,0.62,1.2,0.9,0.28,1,1.0,0.0,0.0,7.5e-05,0.0,2.349840350949935e-10,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.426481,0.0,0.0,104.565217
CTRA,SHORT,0.49817099336386267,4.981709933638626,3.44,3.8629,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",1.7,NEUTRAL,ema_rally,,,36.0,33.0,7.38,1.57,100039.0,17702.0,0.177,57590.0,31690.0,28461.0,95.9,0.409,0.0,0.73,1.0,1.2,0.27,0.24,1,1.0,0.0,0.0,1.6e-05,0.0,3.893252139670914e-06,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.269073,0.0,0.0,517.241379
LYV,SHORT,0.48677712448476357,4.867771244847636,3.93,4.7929,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.9,NEUTRAL,ema_rally,,,180.0,120.0,14.96,23.36,72560.0,75166.0,1.036,19045.0,29285.0,99396.0,87.5,0.407,0.0,0.97,1.0,1.2,0.49,0.27,2,1.0,0.0,0.0,5.3e-05,0.0,0.016134907722781013,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.340602,0.0,0.0,351.886905
MOH,SHORT,0.4814230565342464,4.814230565342464,2.12,3.7831,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",3.7,NEUTRAL,unknown,,,180.0,175.0,2.28,0.56,13335.0,17495.0,1.312,6961.0,9561.0,14308.0,7.6,0.439,0.0,0.0,1.0,0.0,0.12,1.0,1,1.0,0.0,0.0,9e-05,0.0,9.193502660963676e-28,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.340818,0.0,0.0,93.75
