ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
KORU,LONG,0.9211905512844019,9.21190551284402,6.28,7.49,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.0,NEUTRAL,trend_continuation,,,500.0,320.0,7.57,31.16,5808.0,8480.0,1.46,7793.0,5739.0,756.0,74.7,1.475,1.82,0.04,1.0,1.4,2.0,0.03,147865033.42919785,36,1.0,7.999408202569656,0.003806,0.000313,38398.37575818195,52801.672654274524,122.263389,25.767857,30,1,0.629685,0.381616,,,,
CIEN,LONG,0.7808896162559995,7.808896162559995,5.11,6.6974,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",6.3,NEUTRAL,trend_continuation,,,600.0,360.0,28.38,22.97,38622.0,33030.0,0.855,33252.0,17604.0,20796.0,64.4,0.804,2.3,0.42,0.37,1.4,0.34,0.29,5.4369309808957516,26,1.0,99.0,0.000115,1.4e-05,194886.88839982686,3.7357692744295607,2.985113,3.508543,2,0,0.772634,0.223151,,,,
EWY,LONG,0.7613177373679803,7.613177373679802,0.0,4.5679,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.771915059742792,10,1.0,2.0626513163161193,7.8e-05,3e-05,113275.93349019437,219670.54265381972,3.802086,0.069876,6,0,0.589476,0.346473,,,,
SOXS,LONG,0.7433333333333334,7.433333333333334,0.0,4.46,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,482381.22726202256,3,1.0,2.555259742445649,0.000345,0.000112,200204.92869533866,156700.25662731394,99.905556,66.444444,0,1,4e-06,0.0,,,,
CSIQ,LONG,0.7239182353371145,7.239182353371145,0.0,4.3435,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,4.305682339252717e+31,5,1.0,99.0,0.0002,0.000192,36591.54496025536,2.5857182862800384e-13,142.99026,0.965997,0,0,0.0,0.0,,,,
DAVE,LONG,0.7178519200000001,7.178519200000001,5.63,6.7783,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,7.5,NEUTRAL,retest_and_confirm,,,240.0,160.0,12.28,25.15,16838.0,3695.0,0.219,8630.0,4689.0,7214.0,43.2,0.683,0.0,0.36,1.0,1.4,1.91,0.96,2342873376.9959645,21,1.0,9.077932708382545e-07,0.001028,0.000282,0.011448134763051546,20492.79234332789,2.856607,7.925481,2,1,0.120377,0.0,,,,
QBTS,LONG,0.6948626333935453,6.948626333935453,6.07,6.4153,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,5.6,POSITIVE,flag_breakout,1452088.28,16.95,20.0,5.0,17.72,70.57,309593.0,202104.0,0.653,172887.0,81328.0,257482.0,58.1,1.014,0.0,0.57,1.0,1.6,1.94,0.95,1.3588119866740502,12,1.0,3.853767000275048,0.000123,3.1e-05,46643.40353166572,36309.98204743831,4.070963,3.223608,0,0,0.848811,0.581029,,,,
URA,LONG,0.6709449523809524,6.709449523809524,0.0,4.0257,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,876.6098765402651,10,1.0,99.0,0.000149,0.000386,0.6138749421178978,0.008126942295058866,3.722177,8.564394,0,0,0.439896,0.139525,,,,
SPXS,LONG,0.67,6.7,0.0,4.02,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,523505786.70740527,7,1.0,1.3684380541207444e-05,0.001328,0.000464,0.16505486677224168,16082.069263831218,8.397471,2.641939,4,3,8.2e-05,0.0,,,,
FSLY,LONG,0.6698633349380958,6.698633349380958,2.91,5.4223,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",6.0,NEGATIVE,ema_pullback,-122775.93,20.93,30.0,17.5,43.2,16.47,138509.0,114349.0,0.826,109042.0,48968.0,94848.0,98.5,1.275,0.0,0.1,1.0,1.2,0.04,0.58,58.76059421967771,15,1.0,0.6286286865311336,0.000349,0.00022,32011.76546554404,76384.75498673879,1.528023,0.955218,1,1,0.517179,0.215487,,,,
