ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
CBRS,LONG,0.6232730063594416,6.232730063594416,0.0,3.7396,error: Need at least 21 rows to compute support/resistance,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,99.0,0.000127,0.0,8531.566100709688,0.0,85.740385,2,0,0.655623,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,1e-06,0.0,0.61754,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
ITT,LONG,0.6128040228611791,6.128040228611791,1.73,4.523,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",4.7,NEUTRAL,unknown,,,200.0,190.0,4.23,0.98,3073.0,2290.0,0.745,2159.0,2935.0,269.0,79.0,0.347,1,1.0,99.0,3.3e-05,0.0,502887.13345732697,0.0,8.426966,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.6e-05,0.0,0.55878,0.0,0.0,0.0,False,0.0,0.26,1.0,0.0,0.45,0.02,False,default,2.5,False,1.0,0.6128040228611791,0.6128040228611791,n/a,2026-05-21,2026-05-21,,,,,
FWONK,LONG,0.5143026350579837,5.143026350579837,4.58,5.4055,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.3,NEUTRAL,ema_pullback,,,100.0,75.0,11.41,16.44,2612.0,1695.0,0.649,62.0,2000.0,2245.0,16.8,0.282,1,0.7,99.0,0.000267,0.0,361840.9515449377,0.0,361.363636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.6e-05,0.0,0.2377,0.0,0.0,0.0,False,1.51,0.98,0.26,1.2,0.6,0.01,False,default,2.5,False,1.0,0.5143026350579837,0.5143026350579837,n/a,2026-05-21,2026-05-21,,,,,
CSX,LONG,0.5065163738543761,5.065163738543761,5.68,5.6966,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",7.3,NEUTRAL,trend_continuation,,,52.5,32.5,13.8,29.55,158916.0,84770.0,0.533,119916.0,5376.0,118394.0,33.7,0.236,1,1.0,99.0,4.4e-05,0.0,838.7864837455195,0.0,1.042394,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.399919,0.0,0.0,0.0,False,2.25,0.75,0.08,1.4,1.19,0.01,False,sustained_trend,5.0,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-21,2026-05-21,,,,,
RL,LONG,0.5065163738543761,5.065163738543761,5.78,5.1066,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,4.2,NEUTRAL,flag_breakout,,,380.0,300.0,1.11,20.18,2987.0,4139.0,1.386,3645.0,1626.0,1855.0,33.7,0.345,1,1.0,99.0,4.4e-05,0.0,5.473008913728308e-07,0.0,27.454545,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.453938,0.0,0.0,0.0,False,0.0,0.37,1.0,1.6,1.81,1.0,False,consolidation_break,3.0,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-21,2026-05-21,,,,,
FLR,LONG,0.4827066948054305,4.827066948054305,3.54,5.0155,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support","confirmation_volume, room_to_target, trend_aligned",7.7,NEUTRAL,pullback_to_support,,,65.0,40.0,47.04,9.51,88760.0,37979.0,0.428,46964.0,18868.0,60907.0,38.7,0.502,1,1.0,99.0,0.000147,0.0,34756.2703461357,0.0,120.9,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.569876,0.0,0.0,0.0,False,0.0,0.58,0.09,1.4,1.4,0.07,False,default,2.5,False,1.0,0.4827066948054305,0.4827066948054305,n/a,2026-05-21,2026-05-21,,,,,
TKR,LONG,0.4808020881400903,4.808020881400903,6.22,5.17,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,4.5,NEUTRAL,support_ema_confluence,,,120.0,115.0,0.55,3.64,6733.0,1866.0,0.277,6089.0,35.0,2475.0,60.4,0.371,1,0.7,99.0,7.1e-05,0.0,0.001345600433509933,0.0,41.176471,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.464284,0.0,0.0,0.0,False,1.84,0.42,0.2,1.6,1.87,0.29,False,default,2.5,False,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-05-21,2026-05-21,,,,,
CMI,LONG,0.4801194388058653,4.8011943880586525,5.14,4.9626,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.1,NEUTRAL,ema_pullback,,,700.0,500.0,9.99,21.43,12615.0,10306.0,0.817,11230.0,790.0,10901.0,83.4,0.383,1,1.0,99.0,2.4e-05,0.0,1.9046432688662602e-18,0.0,3.187302,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342247,0.0,0.0,0.0,False,1.86,0.46,1.0,1.2,0.15,0.48,False,default,2.5,False,1.0,0.4801194388058653,0.4801194388058653,n/a,2026-05-21,2026-05-21,,,,,
BTU,LONG,0.4773925653618231,4.773925653618231,4.62,5.073,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.5,NEUTRAL,bounce_and_fail,,,45.0,5.0,83.6,79.6,79601.0,57955.0,0.728,27987.0,9849.0,99720.0,27.5,0.589,1,1.0,99.0,0.000358,0.0,3.4601047750199955e-15,0.0,10.859914,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.437035,0.0,0.0,0.0,False,0.0,0.77,1.0,1.0,1.64,0.22,False,default,2.5,False,1.0,0.4773925653618231,0.4773925653618231,n/a,2026-05-21,2026-05-21,,,,,
AAOI,LONG,0.4419418399165217,4.419418399165217,6.25,4.8847,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,4.0,POSITIVE,retest_and_confirm,1090093.28,175.0,200.0,84.0,13.8,52.2,140782.0,166000.0,1.179,194788.0,17375.0,94619.0,70.9,1.288,5,1.0,99.0,0.000643,0.000146,383650.89672216034,0.006799434097600215,27.411392,0,0,0.41619,0.02375,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.9e-05,0.0,0.453429,0.024689,0.0,0.0,False,2.08,0.96,0.84,1.4,0.77,0.2,False,sustained_trend,5.0,False,1.0,0.4419418399165217,0.4419418399165217,n/a,2026-05-21,2026-05-21,133.650131,,,,
