ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_score_z_shadow,bearish_score_z_shadow,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio
KWEB,LONG,0.6850329555340295,6.850329555340295,5.5,6.1152,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.2,POSITIVE,trend_continuation,109732185.82,30.43,33.0,28.0,8.37,8.05,2678759.0,886049.0,0.331,724648.0,951088.0,1063981.0,79.1,0.343,0.0,0.41,1.0,1.4,1.78,0.92,10,1.0,2.424868727324145,0.000199,9.5e-05,12282.075583983542,7597.571434848482,1326.879084,0.175773,3,0,0.550854,0.354768,2.0,2.0,0.5719255503989473,0.44249394834973976,6e-06,3e-06,0.315954,0.450941,0.0,0.0,,,,
AVTX,LONG,0.6662394999999999,6.662394999999998,4.78,5.7852,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",5.1,NEUTRAL,pullback_to_support,,,30.0,10.0,107.9,30.7,36811.0,33082.0,0.899,36618.0,24914.0,2880.0,98.8,4.827,0.0,0.91,1.0,1.4,1.21,0.26,17,1.0,1.1190930102269434,0.004212,0.002754,1.2551507247449107e-07,1.6022550829422834e-07,4.725771,0.811291,0,1,0.187353,0.744566,3.0,3.0,0.7783203438190612,0.6756411234566565,0.0,0.0,0.100349,0.430717,0.0,0.0,,,,
UVIX,LONG,0.6643281739546141,6.643281739546141,3.26,5.5596,price_validation_failed,"not_extended, pullback_to_support, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.3,POSITIVE,pullback_to_support,178367.23,5.62,6.0,5.0,6.38,11.35,255254.0,134714.0,0.528,148576.0,61904.0,71588.0,41.9,1.378,0.0,0.2,1.0,1.4,0.38,0.28,3,1.0,99.0,0.00164,0.0,1905.9409742973455,0.0,7.331695,,2,0,0.272995,0.0,3.0,3.0,0.8888081820570564,0.309854302187088,4e-06,0.0,0.101104,0.0,0.0,0.0,,,,
YPF,LONG,0.6062182982222222,6.062182982222222,5.54,6.0131,price_validation_failed,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",6.6,NEUTRAL,retest_and_confirm,,,50.0,40.0,23.18,1.45,140416.0,57176.0,0.407,24348.0,22201.0,62674.0,61.9,0.488,1.8,0.55,1.0,1.4,0.48,0.31,5,1.0,99.0,0.0001,0.0,1.4275165642272458,0.0,2.911707,,2,0,0.0,0.0,3.0,3.0,0.7193221972013656,0.3498356837330293,0.0,0.0,0.54494,0.0,0.0,0.0,,,,
IVZ,LONG,0.5994359129757673,5.994359129757672,4.91,5.8702,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,7.0,NEUTRAL,ema_pullback,,,30.0,23.0,20.92,7.3,160956.0,5922.0,0.037,22546.0,32499.0,11342.0,71.9,0.424,0.0,0.64,0.9,1.2,1.64,0.53,9,0.7,99.0,0.000392,2.4e-05,45973.97246921428,5.0188349592841284e-09,211.828862,242.365789,0,2,0.487465,0.543647,3.0,3.0,0.8737216235527762,0.7289273105204525,1e-05,0.0,0.475812,0.566368,0.0,0.0,,,,
TSEM,LONG,0.5840115952380952,5.840115952380952,6.15,5.2051,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",2.2,NEUTRAL,trend_continuation,,,230.0,200.0,1.57,11.68,87556.0,73574.0,0.84,52482.0,45894.0,11725.0,97.9,0.92,2.71,0.0,0.0,1.4,1.95,0.09,7,1.0,99.0,0.000239,2.7e-05,2.323222168933973,4.002950253440318e-06,186.585831,0.440824,0,0,0.342829,0.478095,3.0,3.0,0.5552510932984732,0.5210718289298373,0.0,0.0,0.357831,0.317425,0.0,0.0,,,,
USO,LONG,0.5798040459148431,5.798040459148432,5.73,5.858,price_validation_failed,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",6.2,NEGATIVE,retest_and_confirm,-10953199.47,,130.0,100.0,12.03,13.82,779763.0,1191977.0,1.529,478849.0,438972.0,471815.0,81.6,0.657,1.93,0.62,1.0,1.4,0.49,0.29,2,1.0,99.0,0.000125,0.0,7039.942978141801,0.0,4.697599,,1,0,0.207925,0.0,2.0,2.0,0.49094570167778595,0.24242174710666728,8e-06,0.0,0.613292,0.0,0.0,0.0,,,,
USAR,LONG,0.5688989379688314,5.688989379688314,6.88,5.7085,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.0,POSITIVE,trend_continuation,18962882.87,19.96,20.0,15.0,0.25,24.81,356613.0,146737.0,0.411,112527.0,127614.0,125696.0,29.9,1.008,1.7,0.44,1.0,1.4,1.66,0.69,5,1.0,99.0,9.6e-05,1e-05,1610.190536992534,0.7164419384356443,2.717762,0.179794,2,0,0.006115,0.0,3.0,3.0,0.5620431578113272,0.39866586229666123,0.0,0.0,0.00505,0.680236,0.0,0.0,,,,
LCID,LONG,0.5511111111111111,5.511111111111111,2.05,4.5306,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.8,NEGATIVE,unknown,-396854.4,,12.0,5.0,64.38,31.51,245759.0,307677.0,1.252,232645.0,34145.0,186564.0,87.4,0.981,0.0,0.0,1.0,0.0,0.05,1.0,4,1.0,56.07464124686596,0.000183,2.3e-05,311.6879971013386,16.67534504924322,3.239116,0.665159,0,0,0.038063,0.0,2.0,3.0,0.5110634431977782,0.4660654249772457,0.0,0.0,0.076531,0.026014,0.0,0.0,,,,
SPXS,LONG,0.5349999999999999,5.35,0.0,3.21,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,8.589248043676026e-09,0.00016,0.000521,1.7251835797924544e-05,502.13463711257265,9.609756,7.409777,1,4,0.0,0.000628,3.0,3.0,0.6580130128462295,0.8376885475556631,0.0,1e-06,0.36619,0.177979,0.0,0.0,,,,
