ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_score_z_shadow,bearish_score_z_shadow,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio
U,LONG,0.5247777113244596,5.247777113244596,6.28,5.3879,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.4,POSITIVE,trend_continuation,7668725.61,25.82,40.0,20.0,54.32,22.84,465504.0,226094.0,0.486,158351.0,106494.0,280296.0,77.4,0.827,2.0,0.0,1.0,1.4,1.7,0.18,4,1.0,3.019447746980009,8.9e-05,1.4e-05,473.44708556235804,156.799231262038,9.033226,12.077364,0,0,0.285288,0.076833,3.0,3.0,0.6827852486864904,0.6182141831558375,0.0,0.0,0.267325,0.252142,0.0,0.0,,,,
PCT,LONG,0.522766535111111,5.22766535111111,4.57,4.7048,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,3.6,POSITIVE,trend_continuation,1215412.14,6.76,10.0,5.0,47.71,26.14,337787.0,162069.0,0.48,90051.0,83692.0,269586.0,94.5,1.075,0.0,0.3,1.0,1.4,1.52,0.35,4,1.0,0.00019438411046005265,0.000379,2.5e-05,0.1519358162087379,2344.880183608863,2.583168,0.167915,0,0,0.0,0.0,3.0,3.0,0.6821600198925654,0.6662821995158467,0.0,0.0,0.112248,0.179247,0.0,0.0,,,,
HTZ,LONG,0.5014809568602876,5.014809568602876,7.74,5.6894,poor_rr (1.7:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.3,POSITIVE,trend_continuation,2965722.85,7.45,9.0,1.5,21.13,79.81,380056.0,486827.0,1.281,71188.0,285791.0,380240.0,97.1,1.238,2.8,0.02,1.0,1.4,1.62,0.9,3,1.0,99.0,6.9e-05,0.0,0.6141493200285034,0.0,3.120775,,0,0,0.406031,0.0,3.0,3.0,0.7246245423065912,0.3498356837330293,0.0,0.0,0.086714,0.0,0.0,0.0,7.43,6.54,8.95,1.7
UVXY,LONG,0.49176009911111107,4.917600991111111,3.14,5.0408,price_validation_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",8.2,NEGATIVE,bounce_and_fail,-442495.25,,50.0,35.0,31.06,8.26,168617.0,83088.0,0.493,89157.0,45703.0,50241.0,28.2,0.969,0.0,0.22,1.0,1.0,0.41,0.51,5,1.0,30.099430890965852,0.001145,0.000311,12.210305675537981,0.6084984988471738,2.127191,75.296392,0,1,0.0,0.037303,3.0,3.0,0.7335040973969433,0.5114478199609246,0.0,0.0,0.006668,0.05475,0.0,0.0,,,,
CIFR,LONG,0.45539800023156196,4.55398000231562,6.99,5.374,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.0,POSITIVE,trend_continuation,7507877.15,19.36,20.0,10.0,3.25,48.37,826068.0,446094.0,0.54,271081.0,177617.0,635504.0,50.6,1.116,1.8,0.22,1.0,1.4,1.99,0.57,5,1.0,99.0,0.000151,0.0,18665.30701072493,0.0,0.557394,,0,0,0.539759,0.0,3.0,3.0,0.7811700561231082,0.3498356837330293,2e-06,0.0,0.186937,0.0,0.0,0.0,,,,
CLF,LONG,0.44394475551157014,4.439447555115701,0.0,2.6637,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,21.491661119913434,5.9e-05,4.2e-05,50.47185278572404,5.871097225118461,2.398569,1.435956,0,1,0.002694,0.0,3.0,3.0,0.7776762717665494,0.6557488794943692,0.0,0.0,0.29141,0.269214,0.0,0.0,,,,
VST,LONG,0.44277041850144383,4.427704185014438,0.0,2.6566,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,14,1.0,0.7342209607437383,1.2e-05,2.3e-05,14.154618802815088,25.70455772782985,39.015133,4.958231,4,2,0.073174,0.00107,3.0,3.0,0.4428883208863439,0.46332004867557847,0.0,0.0,0.027934,0.702267,0.0,0.0,,,,
VSAT,LONG,0.43759011973363887,4.375901197336389,6.98,5.962,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,8.4,NEUTRAL,trend_continuation,,,70.0,42.0,11.38,33.17,58036.0,18379.0,0.317,11350.0,20346.0,13052.0,45.4,0.797,2.41,0.16,1.0,1.4,1.66,0.35,4,1.0,99.0,5.3e-05,4e-06,33.688800118022066,1.767166255409099e-10,108.793175,0.024794,0,0,0.10262,0.0,3.0,3.0,0.5157974138709367,0.4390897870377509,0.0,0.0,0.128881,0.030732,0.0,0.0,,,,
CNC,LONG,0.42790586401125835,4.279058640112583,6.02,4.9455,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.0,POSITIVE,trend_continuation,6649992.21,38.13,50.0,20.0,30.99,47.6,281456.0,85231.0,0.303,25043.0,63243.0,255720.0,77.0,0.572,1.74,0.48,1.0,1.4,1.15,0.24,7,1.0,22.337585684395638,3.7e-05,1.7e-05,3.6929216396238785e-09,4.13308055288585e-10,2.430559,2.871044,3,1,0.023518,0.0,3.0,3.0,0.7336193842030531,0.6575627689253646,0.0,0.0,0.595843,0.413698,0.0,0.0,,,,
FAS,LONG,0.42520394069841266,4.252039406984126,0.0,2.5512,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,2.3095671303971924e-09,0.000122,9e-05,1.7322723846399013e-07,30.001680606564406,1.292096,3.207735,0,2,0.181002,0.088419,3.0,3.0,0.7052120926798239,0.4269778516668399,0.0,0.0,0.440371,0.217407,0.0,0.0,,,,
AI,LONG,0.42302402060631944,4.230240206063194,0.0,2.5381,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,99.0,6.9e-05,5.2e-05,30.462776123230178,9.090581210633928e-16,2.625199,38.264394,0,0,0.0,0.005926,3.0,3.0,0.7433387874189258,0.6888896651820066,0.0,0.0,0.227122,0.125552,0.0,0.0,,,,
PONY,LONG,0.422104056024997,4.22104056024997,4.76,4.7385,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",6.0,NEUTRAL,trend_continuation,,,15.0,10.0,28.31,14.46,92447.0,35793.0,0.387,75985.0,5635.0,20429.0,67.2,0.881,0.0,0.23,1.0,1.4,1.82,0.31,2,1.0,99.0,0.000275,6e-06,78239.01965780769,1.2848966053538034e-22,,32.627119,0,1,0.0,0.0,3.0,3.0,0.6110192449491793,0.6459374032502535,7e-06,0.0,0.367252,0.303496,0.0,0.0,,,,
ZETA,LONG,0.42126186711379504,4.2126186711379505,0.0,2.5276,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,10,1.0,0.05616076606638237,8.8e-05,0.000177,1.0227681800266752,12.140957132692444,1.010673,1.004415,1,0,0.115876,0.428326,3.0,3.0,0.6812295386304364,0.7336746988690627,0.0,0.0,0.386678,0.322932,0.0,0.0,,,,
HUN,LONG,0.408080571375648,4.08080571375648,0.0,2.4485,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,9,1.0,0.5049384165238832,7.8e-05,0.000121,2.2986220161241389e-10,2.276140951948559e-10,1.075309,0.35514,1,0,0.412398,0.724611,3.0,3.0,0.6637724886143669,0.6505910330226471,0.0,0.0,0.177448,0.393115,0.0,0.0,,,,
HUT,LONG,0.3936738103066516,3.9367381030665163,0.0,2.362,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,9,1.0,0.0003455987658210365,2.2e-05,4.3e-05,0.8893826369941937,1286.7271601524587,4.188192,8.98864,1,2,0.623308,0.422985,3.0,3.0,0.6874636475470056,0.8577004881708062,0.0,0.0,0.16165,0.091128,0.0,0.0,,,,
AR,LONG,0.39360384559967615,3.9360384559967616,4.02,4.414,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,6.2,NEUTRAL,retest_and_confirm,,,40.0,31.0,9.05,15.49,87115.0,83982.0,0.964,50981.0,40519.0,46038.0,66.3,0.449,0.0,0.26,1.0,1.4,0.82,0.54,4,1.0,99.0,3.8e-05,4e-06,4109.491579802232,3.529226056923235e-15,6965.162378,0.264395,0,0,7e-06,0.0,3.0,3.0,0.8057554669894965,0.42622235010841825,0.0,0.0,0.030481,0.105711,0.0,0.0,,,,
NVAX,LONG,0.3896214174769785,3.896214174769785,5.05,4.5831,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.6,POSITIVE,trend_continuation,2039126.45,8.84,10.0,2.0,13.12,77.38,185092.0,69594.0,0.376,23510.0,29987.0,127994.0,69.8,0.82,0.0,0.82,1.0,1.4,1.7,0.14,1,1.0,99.0,4.2e-05,0.0,5.3745058484679964e-15,0.0,524.0,,1,0,0.0,0.0,3.0,3.0,0.6568951478914421,0.3498356837330293,0.0,0.0,0.792614,0.0,0.0,0.0,,,,
CRS,LONG,0.3894552601344099,3.894552601344099,5.37,4.5983,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.2,NEUTRAL,trend_continuation,,,480.0,410.0,7.7,8.01,5205.0,4583.0,0.88,1925.0,1377.0,2016.0,87.7,0.541,1.82,0.16,0.0,1.4,1.75,0.24,6,1.0,99.0,2.7e-05,1.5e-05,6.28406694135762e-06,2.3994210236128957e-08,6.7,33.866667,0,0,0.000505,0.0,3.0,3.0,0.7075103794887,0.6354013608258656,0.0,0.0,0.206887,0.456267,0.0,0.0,,,,
ELF,LONG,0.3803606174815407,3.803606174815407,0.0,2.2822,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,60.43503195550202,6.7e-05,8.8e-05,104.48105062704516,6.915264027921685,1.165247,3.699725,1,0,0.001694,0.0,3.0,3.0,0.7668096185457145,0.694945719872199,0.0,0.0,0.3025,0.304298,0.0,0.0,,,,
B,LONG,0.3713397055051108,3.713397055051108,4.15,4.3817,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.4,POSITIVE,ema_pullback,11273291.44,43.3,50.0,30.0,15.47,30.72,481477.0,331250.0,0.688,52096.0,205815.0,490326.0,55.5,0.495,0.0,0.71,1.0,1.2,1.08,0.16,19,1.0,99.0,3.5e-05,1.1e-05,437.73826409802564,0.2140038314448199,0.767301,1.539485,2,2,0.016737,0.037582,3.0,3.0,0.7271396969768699,0.6485501367421217,0.0,0.0,0.025269,0.344064,0.0,0.0,,,,
KRE,LONG,0.36514593650793653,3.6514593650793654,6.92,5.6417,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,8.7,NEGATIVE,flag_breakout,-64274645.52,,75.0,58.0,6.58,17.58,758219.0,1449843.0,1.912,323199.0,718275.0,678762.0,33.9,0.261,2.02,0.37,1.0,1.6,1.33,0.6,6,1.0,8.440371615935524,0.0,0.0,4759.738931588505,2819.6264028245273,33.603772,0.75142,2,0,0.700932,0.0,2.0,2.0,0.6677856449185461,0.510429636360265,0.0,0.0,0.281773,0.546142,0.0,0.0,,,,
APLD,LONG,0.3574075344442726,3.574075344442726,6.42,4.793,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.4,POSITIVE,trend_continuation,12958192.0,31.53,40.0,25.0,26.86,20.71,575698.0,252011.0,0.438,154976.0,145726.0,344448.0,21.2,0.992,1.65,0.24,1.0,1.4,1.88,0.25,4,1.0,2.57004804391772,2e-05,3e-06,2749.5409448246396,3209.520870240198,8.557223,0.415695,0,0,0.423808,0.0,3.0,3.0,0.7868691721074249,0.5283079753284988,0.0,0.0,0.224904,0.326491,0.0,0.0,,,,
ETHA,LONG,0.3500924943340589,3.500924943340589,6.53,4.7695,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.3,POSITIVE,trend_continuation,17962831.56,18.36,20.0,5.0,8.81,72.8,936582.0,666567.0,0.712,242974.0,312979.0,582181.0,15.2,0.626,1.67,0.33,1.0,1.4,1.77,0.36,4,1.0,1.3077515539096818,2.4e-05,1.6e-05,6074.903891696886,4645.30428087447,16.403537,14.09355,0,0,0.324405,0.441451,3.0,3.0,0.5617760984832362,0.6827852486864904,0.0,1e-06,0.272787,0.344663,0.0,0.0,,,,
EXE,LONG,0.34819685245642173,3.481968524564217,2.86,3.979,price_validation_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",6.9,NEUTRAL,bounce_and_fail,,,120.0,90.0,25.23,6.07,80765.0,111082.0,1.375,67950.0,13613.0,34353.0,50.2,0.322,0.0,0.06,1.0,1.0,0.34,0.46,5,1.0,99.0,2.4e-05,3e-06,658.2997539863171,4.2761276018869285e-11,250.30512,0.268608,0,0,0.0,2e-06,3.0,3.0,0.717198729140689,0.5650906510005068,0.0,0.0,0.219936,0.236396,0.0,0.0,,,,
HL,LONG,0.3418085257431051,3.418085257431051,0.0,2.0509,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,6,1.0,13.008084704381812,5e-05,6.8e-05,1.6518311117763136,0.06349247984293527,1.902176,9.256385,0,0,0.142264,0.000621,3.0,3.0,0.6725896881922774,0.7301230253554588,0.0,0.0,0.09798,0.412727,0.0,0.0,,,,
UPST,LONG,0.33765110184944,3.3765110184944005,0.0,2.0259,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,4,0.7,0.7463659208784389,4.6e-05,3.7e-05,2627.4896777868767,10561.132030362962,1.892253,1.590406,0,1,0.380107,0.0,3.0,3.0,0.8018417218483974,0.7291241095709778,0.0,1e-06,0.06391,0.181335,0.0,0.0,,,,
IREN,LONG,0.32592761152181704,3.2592761152181704,0.0,1.9556,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,0.7541540529789517,1.8e-05,1.7e-05,9749.315753407438,25854.9714475367,10.942547,6.686047,0,0,0.29426,0.0,3.0,3.0,0.5875118095462728,0.668621800509788,0.0,0.0,0.083638,0.038765,0.0,0.0,,,,
ANET,LONG,0.3236785444820719,3.236785444820719,6.97,4.2494,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,2.7,POSITIVE,trend_continuation,29639564.8,164.28,170.0,105.0,3.51,36.07,173904.0,143728.0,0.826,74722.0,56303.0,120310.0,77.6,0.616,2.23,0.0,1.0,1.4,1.9,0.44,5,1.0,99.0,3e-06,2e-06,473.7329356092024,5.774220307873732,66.484809,4.8,2,0,0.22164,0.0,3.0,3.0,0.6051926751026276,0.5058689142638241,0.0,0.0,0.307546,0.527616,0.0,0.0,,,,
UNP,LONG,0.3203619347333661,3.203619347333661,0.0,1.9222,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,9,1.0,0.8249634582363216,2e-06,3e-06,4409.905844448694,4276.461751531709,3.700412,41.354814,1,2,0.443185,0.0,3.0,3.0,0.6851272550972941,0.7014913556509587,0.0,0.0,0.464027,0.518207,0.0,0.0,,,,
CAR,LONG,0.3058424651433127,3.058424651433127,0.0,1.8351,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,0.23189231537939478,1.9e-05,8.3e-05,34567.9332146636,24844.817272266824,5.352941,8.007003,0,2,0.0,0.753165,2.0,3.0,0.44830411538598436,0.8114379304833318,1e-06,4e-06,0.503882,0.499009,0.0,0.0,,,,
LVS,LONG,0.30499264072366605,3.0499264072366605,0.0,1.83,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,12,1.0,1.488969875929935,1.2e-05,1.1e-05,4715.848493181112,1055.729550435181,18.928593,2.92536,0,4,0.019461,0.388478,3.0,3.0,0.7247234829359889,0.7693416344181611,0.0,0.0,0.721313,0.203957,0.0,0.0,,,,
ALB,LONG,0.2917086477083793,2.9170864770837928,6.8,4.3985,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.5,NEUTRAL,trend_continuation,,,200.0,70.0,1.14,64.6,97723.0,112008.0,1.146,18203.0,67362.0,107652.0,57.0,0.646,1.81,0.54,1.0,1.4,1.11,0.94,6,1.0,17.998310934040006,2.1e-05,1.1e-05,1335.1545835919871,37.091107840203605,2.17699,3.022672,1,1,0.24599,0.02375,3.0,3.0,0.736468636193843,0.6895391665095735,0.0,0.0,0.224251,0.241316,0.0,0.0,,,,
TSM,LONG,0.2815147508312782,2.8151475083127817,5.64,4.6996,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,8.0,NEGATIVE,trend_continuation,-36990560.21,,400.0,300.0,7.96,19.03,824777.0,1005215.0,1.219,346655.0,425684.0,691110.0,59.6,0.406,1.87,0.46,0.43,1.4,0.92,0.55,19,1.0,4.98385560189129,3e-06,1e-06,22161.872216312382,4002.059166223052,0.145021,0.17125,4,4,0.502458,0.402233,2.0,2.0,0.5170011512092475,0.4772164013445808,0.0,0.0,0.467354,0.437486,0.0,0.0,,,,
ENTG,LONG,0.2804889970464371,2.804889970464371,7.05,4.4174,poor_rr (0.2:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.5,NEUTRAL,flag_breakout,,,150.0,100.0,2.7,31.53,23269.0,13762.0,0.591,10306.0,0.0,9009.0,86.0,0.642,2.08,0.02,1.0,1.6,1.94,0.41,6,1.0,99.0,3.4e-05,3e-06,0.1376596203380318,3.0453667550688043e-15,0.134922,0.78125,0,0,0.635633,0.0,3.0,3.0,0.6457891066539528,0.4374402914123364,0.0,0.0,0.886975,0.343376,0.0,0.0,146.06,128.53,150.0,0.22
STM,LONG,0.2802144519243338,2.8021445192433383,0.0,1.6813,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,4,1.0,99.0,5e-06,5e-06,8113.931659240379,33.45232436644059,66.718487,18.956522,0,0,0.354413,0.313401,3.0,3.0,0.6696395255759128,0.5789859382119217,0.0,0.0,0.218416,0.573254,0.0,0.0,,,,
BE,LONG,0.27803000747988943,2.780300074798894,0.0,1.6682,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,9,1.0,0.014470486019501487,5e-06,2.7e-05,81.6967589076107,2822.8754306355077,59.279551,0.936888,0,2,0.106053,0.399463,3.0,3.0,0.43675908924208773,0.6210128452168243,0.0,0.0,0.21088,0.42298,0.0,0.0,,,,
CVNA,LONG,0.27611423763861953,2.7611423763861955,0.0,1.6567,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,13,1.0,0.433476191303747,5e-06,1.5e-05,9952.591467596949,4174.536275164474,11.150685,1.441264,0,1,0.29701,0.676214,3.0,3.0,0.544218449353982,0.6618756005971423,0.0,0.0,0.174458,0.138498,0.0,0.0,,,,
ISRG,LONG,0.2727563747725687,2.727563747725687,0.0,1.6365,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,99.0,4e-06,3e-06,1811.5072747652732,1.3117097598500429e-27,1.891219,0.331359,1,1,0.499094,0.002225,3.0,3.0,0.6405348228755853,0.4396832007912478,0.0,0.0,0.423689,0.553689,0.0,0.0,,,,
IBIT,LONG,0.2724346803730895,2.724346803730895,0.0,1.6346,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,12,1.0,1.0963753525526978,1.7e-05,1.4e-05,15833.264898444939,10315.331242287368,1.188284,1.839156,0,0,0.673841,0.553915,2.0,2.0,0.3139862608501164,0.3717473237172437,1e-06,0.0,0.407132,0.28668,0.0,0.0,,,,
