ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,entry_price,stop_price,target_1,rr_ratio
BA,LONG,0.5244969457142856,5.244969457142856,6,6.1825,price_validation_failed,"call_wall_clear, confirmation_volume, gamma_tailwind, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, structural_breakout, trend_aligned",8.8,NEGATIVE,pullback_to_support,-114849680.16,195.09,250.0,180.0,28.13,7.75,529256.0,444281.0,0.839,131194.0,286353.0,376068.0,,,,
AA,LONG,0.42743790476190474,4.274379047619047,7,5.7972,price_validation_failed,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_support, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned",7.8,NEGATIVE,pullback_to_support,-3810796.97,,65.0,25.0,15.15,55.71,182082.0,165075.0,0.907,79672.0,55876.0,90293.0,,,,
SMH,LONG,0.377354594114814,3.77354594114814,6,4.9068,price_validation_failed,"confirmation_volume, ema_pullback, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",6.1,NEGATIVE,unknown,-18302415.55,,400.0,300.0,3.97,22.03,455154.0,879723.0,1.933,310560.0,276866.0,259892.0,,,,
SQQQ,LONG,0.37463337856809176,3.7463337856809176,6,5.0932,price_validation_failed,"bounce_and_fail, call_wall_clear, healthy_pullback_volume, near_term_oi_dominant, not_extended, trend_aligned","bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout",7.1,NEUTRAL,bounce_and_fail,,,90.0,65.0,12.15,19.0,159466.0,81567.0,0.512,91644.0,33503.0,29955.0,,,,
AAOI,LONG,0.34822823401568137,3.4822823401568135,0,2.0894,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,
MU,LONG,0.34467070008916073,3.446707000891607,0,2.068,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,
RVMD,LONG,0.3433333333333333,3.433333333333333,8,5.7167,price_validation_failed,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned",8.0,NEUTRAL,pullback_to_support,,,105.0,80.0,9.63,16.48,76569.0,66014.0,0.862,27482.0,53820.0,10590.0,,,,
ULTA,LONG,0.3425,3.4250000000000003,0,2.055,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,
HD,LONG,0.3408465252380952,3.408465252380952,7,5.6042,price_validation_failed,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, not_extended, structural_breakout, trend_aligned",9.0,NEGATIVE,pullback_to_support,-119224309.8,,425.0,320.0,32.5,0.23,131479.0,122384.0,0.931,35056.0,55496.0,76574.0,,,,
GLNG,LONG,0.33681405585529856,3.3681405585529856,0,2.0209,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,
