ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,bearish_vol_oi,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen
HUM,LONG,0.3307866666047826,3.3078666660478264,0,1.9847,error: Stale OHLCV for HUM: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,1.1e-05,0.0,1.3992163798822669e-12,0.0,1.452499,0,0,0.448502,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.487582,0.0,0.0,0.0,False,,,,,,,
WOLF,LONG,0.3250728423184684,3.250728423184684,0,1.9504,error: Stale OHLCV for WOLF: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,0.000429,0.0,62.206467800954805,0.0,81.108108,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.104229,0.0,0.0,0.0,False,,,,,,,
GLW,LONG,0.31950022056477734,3.195002205647773,0,1.917,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5,1.0,1.448614805544704e-13,1.8e-05,1.6e-05,8.671134795570097e-30,8.978716870468822e-17,4.559237,1,1,0.0,0.419315,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.389358,0.367745,0.0,0.0,False,2.492718,,,,,,
ADBE,LONG,0.31842425271319386,3.1842425271319383,0,1.9105,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,7,1.0,99.0,3.1e-05,8.8e-05,1.0600878916405091e-07,5.250404576829359e-32,4.888819,0,1,0.0,0.145067,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.44282,0.121385,0.0,0.0,False,34.334119,,,,,,
FIX,LONG,0.30944763853523993,3.094476385352399,0,1.8567,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5,1.0,3.571098916985285e-29,2.5e-05,4e-05,1.3675418477059343e-45,9.573676615351295e-18,7.125,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.602697,0.51688,0.0,0.0,False,5.075,,,,,,
VRT,LONG,0.30570026593415395,3.0570026593415394,0,1.8342,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,99.0,1.4e-05,1e-05,13.511629009902565,2.650384784934843e-37,8.377057,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297228,0.625548,0.0,0.0,False,1.436548,,,,,,
SKHY,LONG,0.3054314138545238,3.054314138545238,0,1.8326,error: Stale OHLCV for SKHY: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,1e-06,0.0,56.35906954662727,0.0,4.244541,0,0,0.341844,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.479574,0.0,0.0,0.0,False,,,,,,,
BLK,LONG,0.30181216726230714,3.0181216726230713,0,1.8109,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,3.354687556660995e-27,2e-06,3e-06,3.275940296190578e-35,9.765262012809334e-09,5.04,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.521161,0.665759,0.0,0.0,False,,,,,,,
AXTI,LONG,0.29701742321909796,2.9701742321909794,0,1.7821,error: Stale OHLCV for AXTI: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,0.000272,0.0,4.532429057987189e-18,0.0,1.195006,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.568154,0.0,0.0,0.0,False,,,,,,,
VST,LONG,0.2919096873037688,2.919096873037688,0,1.7515,error: Stale OHLCV for VST: last bar is 4 days old,none,none,,,unknown,,,,,,,,,,,,,,,1,1.0,99.0,1.4e-05,0.0,1.120715541634579e-20,0.0,9356.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.087734,0.0,0.0,0.0,False,,,,,,,
