ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
CORZ,LONG,0.7421015513071936,7.421015513071936,4.47,6.0715,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern",5.1,POSITIVE,unknown,19007127.55,18.62,20.0,12.0,6.89,35.86,1245336.0,665480.0,0.534,828129.0,534042.0,548645.0,66.4,0.902,1.74,0.28,1.0,0.0,1.32,0.12,1.8983667306153194,10,1.0,99.0,0.000236,0.0,41773.522781848544,0.0,462.459892,2,0,0.674619,0.0,,,,,
USAR,LONG,0.7401969977990042,7.401969977990042,5.24,6.373,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.5,POSITIVE,trend_continuation,3405823.34,18.06,20.0,15.0,10.38,17.21,332319.0,142488.0,0.429,230132.0,122899.0,121776.0,25.4,0.996,0.0,0.72,1.0,1.4,1.61,0.51,2515954667.19161,9,1.0,54.970972399215896,0.000138,2.3e-05,16836.206913916943,1071.9607390381516,10.061917,4,0,0.315784,0.0,0.304311,,,,
DAVE,LONG,0.7178519200000001,7.178519200000001,0.0,4.3071,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9469436612.634056,19,1.0,1.8313175282297294e-08,0.000938,0.000501,0.0008952515667600367,105918.91892473343,2.856607,2,1,0.120377,0.435115,15.628246,,,,
UPST,LONG,0.6986472710082594,6.9864727100825945,0.0,4.1919,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.239906600986828,9,1.0,2.0555554147900836,0.000131,7.1e-05,62537.25942278297,24338.82695560192,3.314119,0,0,0.663,0.633471,4.289907,,,,
RGTI,LONG,0.6584875687282334,6.584875687282334,0.0,3.9509,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5873192989380395,7,1.0,99.0,0.000116,0.0,71708.20169882585,0.0,19.260049,1,0,0.762209,0.0,,,,,
PTON,LONG,0.6539445333333334,6.539445333333333,6.88,6.0937,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,3.8,POSITIVE,trend_continuation,745694.6,5.03,10.0,3.0,99.0,40.3,702326.0,228999.0,0.326,346695.0,3649.0,580981.0,95.0,0.926,2.26,0.14,1.0,1.4,1.95,0.13,179637312614.8475,9,1.0,99.0,0.000415,2.4e-05,9.610258988754103e-08,4.77329492208186e-19,2.46852,1,0,0.0,0.0,0.046572,,,,
SOXS,LONG,0.6274548137748257,6.274548137748257,0.0,3.7647,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,482381.2272620212,3,1.0,2.555259742445649,0.00035,0.000113,15656.155329866853,12254.061745505594,99.905556,0,1,4e-06,0.0,66.444444,,,,
VSCO,LONG,0.6012304116999496,6.012304116999497,4.03,5.6152,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",7.0,NEUTRAL,retest_and_confirm,,,55.0,40.0,10.89,19.35,22064.0,10697.0,0.485,12290.0,6363.0,14108.0,41.9,0.632,0.0,0.85,1.0,1.4,0.78,0.0,1.1168866473369107e+17,4,1.0,99.0,9e-05,0.0,49.89476535506212,0.0,11.366577,0,0,0.0,0.0,,,,,
UUUU,LONG,0.6007168069485708,6.007168069485708,0.0,3.6043,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2.642935267522378,4,1.0,2.113321990826755,6.2e-05,4.2e-05,105756.72138726317,50042.881229797815,64.292563,0,0,0.465712,0.0,46.117547,,,,
CROX,LONG,0.5985221438478535,5.985221438478535,0.0,3.5911,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.6824406515332717e+19,7,1.0,99.0,9e-05,8e-06,18703.462895769164,109.75022810677099,1.482671,4,0,1e-06,0.0,0.678445,,,,
LRCX,LONG,0.5920456128411042,5.920456128411042,5.19,5.6772,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.8,NEGATIVE,trend_continuation,-244741.54,,370.0,200.0,42.35,23.05,250637.0,253896.0,1.013,169982.0,128962.0,205589.0,91.6,0.679,2.12,0.17,0.24,1.4,0.96,0.29,11.46601516713585,23,1.0,1.2351378913591116,2.1e-05,5e-06,48901.12176272174,142529.86616100353,2.185371,8,1,0.447359,0.120255,0.328565,,,,
W,LONG,0.5879077866666667,5.879077866666666,0.0,3.5274,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,539186631.0951968,13,1.0,99.0,0.000101,0.000241,0.0002829718841230282,3.4176238186206936e-11,1.812352,1,2,0.000136,0.250996,2.388663,,,,
PGY,LONG,0.5659444425256124,5.659444425256124,0.0,3.3957,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.830564601247309e+27,2,1.0,99.0,8.6e-05,3e-05,55531.023273879735,3.545786677057383e-24,0.474057,1,1,0.0,0.0,1.238876,,,,
QBTS,LONG,0.5648324088678445,5.648324088678445,0.0,3.389,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,0.35401804217209654,5,1.0,1.6199280414145316,0.000122,8.2e-05,142001.4338594023,350636.39922031533,1.852255,1,0,0.670428,0.0,0.678171,,,,
SMR,LONG,0.563952318257179,5.639523182571789,5.83,5.4288,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.3,POSITIVE,retest_and_confirm,642856.6,11.69,20.0,10.0,71.09,14.46,318238.0,188896.0,0.594,224372.0,95259.0,187503.0,87.6,1.186,0.0,0.64,1.0,1.4,1.79,1.0,50.22315263421736,5,1.0,1.8726116634177907,0.00015,8.3e-05,73284.19800154926,58702.131974171454,1.055384,0,0,0.037987,0.026525,0.704751,,,,
SOUN,LONG,0.5632366971344949,5.632366971344949,5.68,5.4202,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.5,POSITIVE,retest_and_confirm,1934064.36,7.79,10.0,6.0,28.37,22.98,566762.0,273977.0,0.483,503488.0,24373.0,312878.0,77.4,1.0,0.0,0.45,1.0,1.4,1.83,1.0,20.445486527299025,4,1.0,99.0,9e-05,0.0,26564.86977738608,0.0,1.490029,0,0,0.37402,0.0,,,,,
CNK,LONG,0.5506904931672938,5.506904931672938,3.27,5.2945,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern",7.8,NEUTRAL,unknown,,,35.0,23.0,16.67,23.33,79953.0,16931.0,0.212,20744.0,66151.0,9989.0,51.8,0.436,1.79,0.5,0.25,0.0,0.65,0.08,12556664.157032903,2,1.0,99.0,7.8e-05,0.0,240.165294567037,0.0,75.956739,0,0,0.0,0.0,,,,,
CELH,LONG,0.5432373453809393,5.432373453809393,3.75,4.6612,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.1,POSITIVE,bounce_and_fail,109905.32,35.26,60.0,30.0,70.31,14.85,329508.0,148696.0,0.451,113133.0,65401.0,299670.0,96.4,0.791,0.0,0.58,1.0,1.0,1.06,0.11,4800703801.164879,6,1.0,99.0,0.000113,1.2e-05,20884.351394740937,0.00027148440874783794,1.38423,0,0,0.017092,0.0,0.895238,,,,
SOXL,LONG,0.5427580881863188,5.427580881863188,0.0,3.2565,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,99.0,9.7e-05,0.0,391911.4179130237,0.0,1.90212,2,0,0.381882,0.0,,,,,
MGNI,LONG,0.5355167960973193,5.355167960973192,4.67,5.1186,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.2,NEUTRAL,retest_and_confirm,,,14.0,10.0,5.46,24.67,44287.0,10926.0,0.247,29640.0,3731.0,21842.0,91.2,0.872,0.0,0.2,1.0,1.4,1.86,0.21,26578057.90729315,3,1.0,99.0,0.000115,0.0,20962.30671250445,0.0,1.15718,0,0,0.0,0.0,,,,,
STNE,LONG,0.5332148271118058,5.332148271118058,5.41,5.3491,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.3,NEUTRAL,trend_continuation,,,20.0,12.0,34.77,19.14,100670.0,90239.0,0.896,41792.0,0.0,149117.0,91.0,0.592,0.0,0.62,1.0,1.4,1.39,1.0,822.8072290617615,3,1.0,0.880563928815855,6.4e-05,3.1e-05,1.2500451841747703e-29,2.8391923476942283e-29,19.683373,1,1,0.001987,0.0,89.119048,,,,
ERAS,LONG,0.5300619856031346,5.3006198560313456,0.0,3.1804,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,124.15706979404933,2,1.0,99.0,3.3e-05,4.1e-05,172130.63922320126,693.1970910264315,3.153132,0,0,0.0,0.0,1.077444,,,,
