ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,bearish_vol_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
KORU,LONG,0.5617272895492802,5.6172728954928015,0.0,3.3704,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,12,1.0,0.03208112047373232,0.001767,0.002789,71.11445546999845,2216.707347495116,163.375,6,0,0.688886,0.784239,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,4e-06,0.561427,0.651335,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
NTRA,LONG,0.5114994530821066,5.1149945308210665,0.0,3.069,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,8.9e-05,7.3e-05,9923.951242150668,5.3471014736877465e-27,8.064516,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.380767,0.426481,0.0,0.0,False,104.565217,,,,,,,,,,,,,,,,,,,,
NPO,LONG,0.5114994530821066,5.1149945308210665,5.72,5.2935,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.1,NEUTRAL,trend_continuation,,,300.0,270.0,0.12,9.89,1933.0,2306.0,1.193,1424.0,1631.0,1184.0,50.8,0.411,1,1.0,99.0,3.9e-05,0.0,41.51887931721911,0.0,5.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.318434,0.0,0.0,0.0,False,,1.95,0.77,0.14,1.4,1.44,0.01,False,sustained_trend,5.0,False,1.0,0.5114994530821066,0.5114994530821066,n/a,2026-05-07,2026-05-07,,,,
ORA,LONG,0.5114994530821066,5.1149945308210665,6.95,5.8825,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.2,NEUTRAL,flag_breakout,,,125.0,105.0,3.66,12.93,20062.0,8052.0,0.401,14441.0,8932.0,4741.0,53.6,0.355,1,1.0,99.0,9.2e-05,0.0,7.545064420405825e-24,0.0,20.689655,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.250847,0.0,0.0,0.0,False,,1.62,0.63,1.0,1.6,1.09,1.0,False,sustained_trend,5.0,False,1.0,0.5114994530821066,0.5114994530821066,n/a,2026-05-07,2026-05-07,,,,
MTSI,LONG,0.48578516736782085,4.8578516736782085,0.0,2.9147,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,0.7,1.299709307309328,3.3e-05,2.5e-05,111.69242624567153,85.93646719118937,52.875,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.419099,0.445556,0.0,0.0,False,205.125,,,,,,,,,,,,,,,,,,,,
RSP,LONG,0.46304377260426904,4.6304377260426905,5.56,5.0032,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,5.1,NEGATIVE,trend_continuation,-26879091.54,,205.0,170.0,0.75,16.45,85484.0,179917.0,2.105,62221.0,105891.0,97289.0,60.8,0.152,1,1.0,99.0,2.3e-05,0.0,3.910846629283648e-21,0.0,2.634082,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.224336,0.0,0.0,0.0,False,,1.77,0.81,0.1,1.4,1.05,0.43,False,sustained_trend,5.0,False,1.0,0.46304377260426904,0.46304377260426904,n/a,2026-05-07,2026-05-07,,,,
LYV,LONG,0.4512816721493728,4.512816721493728,0.0,2.7077,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,99.0,3.2e-05,4.9e-05,340.00246847322745,3.6715255497005126e-19,34.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.571144,0.340602,0.0,0.0,False,351.886905,,,,,,,,,,,,,,,,,,,,
AA,LONG,0.4052308547901034,4.052308547901034,2.38,4.2002,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",7.3,NEUTRAL,unknown,,,75.0,60.0,18.8,4.96,137294.0,110224.0,0.803,65196.0,87138.0,95184.0,23.9,0.505,1,1.0,99.0,3.6e-05,0.0,496033.1115344903,0.0,5.031746,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.6e-05,0.0,0.549847,0.0,0.0,0.0,False,,0.0,0.72,0.5,0.0,1.04,0.12,False,default,2.5,False,1.0,0.4052308547901034,0.4052308547901034,n/a,2026-05-07,2026-05-07,,,,
MDB,LONG,0.3863313546180887,3.863313546180887,5.51,4.6447,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,5.3,NEUTRAL,flag_breakout,,,500.0,250.0,70.2,14.9,129468.0,69312.0,0.535,91561.0,26864.0,80355.0,97.8,0.931,2,1.0,99.0,4.9e-05,0.0,226339.45479283732,0.0,5.838399,1,0,0.00018,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.097419,0.0,0.0,0.0,False,,0.0,0.34,1.0,1.6,1.58,1.0,False,consolidation_break,3.0,False,1.0,0.3863313546180887,0.3863313546180887,n/a,2026-05-07,2026-05-07,,,,
CCL,LONG,0.3671829298199431,3.671829298199431,4.47,4.1569,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.9,POSITIVE,ema_pullback,4104174.68,26.87,30.0,25.0,11.59,7.01,589202.0,554512.0,0.941,250049.0,446631.0,447034.0,77.7,0.534,1,1.0,99.0,3.6e-05,0.0,460196.801375021,0.0,2.851013,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.079286,0.0,0.0,0.0,False,,0.0,0.97,1.0,1.2,1.17,0.14,False,default,2.5,False,1.0,0.3671829298199431,0.3671829298199431,n/a,2026-05-07,2026-05-07,,,,
