ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio
MRVL,LONG,0.596614195575698,5.96614195575698,0.0,3.5797,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,99.0,8e-05,2e-06,23800.080869561534,918.1441154800987,105.727082,50.90184,7,0,0.397656,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.657598,0.197832,0.0,0.0,,,,
AXTI,LONG,0.5858538422461912,5.858538422461912,5.77,5.5003,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, trend_aligned",room_to_target,4.2,POSITIVE,ema_pullback,1607542.17,80.22,105.0,45.0,30.31,44.15,196017.0,83148.0,0.424,134590.0,40361.0,104214.0,93.0,1.879,2.39,0.4,0.17,1.2,1.1,0.5,11,1.0,99.0,0.003142,0.0,16354.346866373467,0.0,12.172617,,1,0,0.635169,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.2e-05,0.0,0.519083,0.0,0.0,0.0,,,,
NPO,LONG,0.5114994530821066,5.1149945308210665,7.13,5.0565,"wall_proximity (1.8%, 0.5 ATR to call wall)","confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,1.8,NEUTRAL,flag_breakout,,,300.0,270.0,1.81,8.37,1104.0,1425.0,1.291,1162.0,615.0,752.0,94.0,0.506,1.87,0.32,1.0,1.6,1.71,0.63,1,1.0,99.0,0.000107,0.0,1.3626376320802738e-22,0.0,18.181818,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53186,0.0,0.0,0.0,,,,
TSEM,LONG,0.3804963317380762,3.8049633173807615,5.97,4.7135,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.1,NEUTRAL,ema_pullback,,,230.0,200.0,14.17,0.72,67005.0,49557.0,0.74,58837.0,44022.0,13703.0,98.8,0.955,2.35,0.9,0.56,1.2,0.49,0.46,1,0.7,99.0,3.3e-05,0.0,690429.6637928456,0.0,3.938776,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.6e-05,0.0,0.533476,0.0,0.0,0.0,,,,
SOXX,LONG,0.3605205693569116,3.605205693569116,0.0,2.1631,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,2e-05,0.0,443474.05871177115,0.0,17.652174,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,5e-06,0.0,0.288876,0.0,0.0,0.0,,,,
IWM,LONG,0.3580361391166189,3.580361391166189,0.0,2.1482,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,8,1.0,1.7029048381425878,3.3e-05,2.2e-05,13680.582344829345,24101.022039055082,20.034491,8.521368,0,1,0.416216,0.003636,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.558004,0.557219,0.0,0.0,,,,
ANET,LONG,0.3537520728118873,3.537520728118873,6.27,4.8898,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",6.2,NEGATIVE,trend_continuation,-1817024.64,,195.0,105.0,8.76,41.44,168226.0,128288.0,0.763,106905.0,63459.0,126150.0,96.5,0.687,2.65,0.0,0.0,1.4,1.98,0.24,4,1.0,99.0,1.6e-05,0.0,47.10626862003268,0.0,2.430199,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.201858,0.0,0.0,0.0,,,,
EL,LONG,0.34697150165283397,3.4697150165283395,4.54,4.3769,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.4,NEUTRAL,ema_pullback,,,105.0,75.0,35.44,3.26,107183.0,92321.0,0.861,39716.0,68194.0,143621.0,72.9,0.152,0.0,0.87,1.0,1.2,1.47,0.0,2,0.7,99.0,4.5e-05,0.0,1.4265635042818876e-07,0.0,8.16675,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297568,0.0,0.0,0.0,,,,
NVTS,LONG,0.33635781633796663,3.363578163379666,6.82,4.5278,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.0,POSITIVE,trend_continuation,2022960.84,17.43,20.0,7.0,14.65,59.87,323940.0,141793.0,0.438,219096.0,90520.0,156117.0,95.4,1.428,2.67,0.0,0.36,1.4,1.4,1.0,1,1.0,99.0,0.000186,0.0,3700.278480053089,0.0,4.884892,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.417933,0.0,0.0,0.0,,,,
PBR,LONG,0.32439157707358895,3.2439157707358897,4.92,3.918,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.1,POSITIVE,trend_continuation,6834564.81,20.52,25.0,10.0,21.83,51.27,733795.0,830114.0,1.131,170265.0,293827.0,1099817.0,85.4,0.389,1.88,0.94,0.62,1.4,0.08,0.0,1,1.0,99.0,4e-06,0.0,418571.5634863776,0.0,9.518189,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.503891,0.0,0.0,0.0,,,,
