ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,entry_price,stop_price,target_1,target_2,time_stop_days,source
CMG,SHORT,0.8616961931622262,9.726566368467658,9.0,9.4359,33.37,38.66,25.44,17.51,5,fresh
HOOD,SHORT,0.6633463150241161,4.453380074035251,9.0,6.272,70.89,85.85,48.44,26.0,5,fresh
ALAB,SHORT,0.6172971895442081,3.229151354407953,10.0,5.9375,116.04,137.68,83.58,51.13,5,fresh
QQQ,SHORT,0.6333769520732364,3.6566362824640213,9.0,5.794,582.06,619.41,526.03,470.0,5,fresh
IWM,SHORT,0.6190576045604554,3.2759524738405794,9.0,5.5656,242.22,268.75,202.42,162.62,5,fresh
LEU,SHORT,0.5449211888382188,1.3050153854263633,10.0,4.783,186.76,231.59,119.51,52.26,5,fresh
AMAT,LONG,0.5388917866718307,1.2722453674421077,10.0,4.7633,357.06,312.8,423.45,489.84,5,fresh
WFC,SHORT,0.5434941559895381,1.2670773229984729,9.0,4.3602,77.6,89.33,60.0,42.4,5,fresh
U,SHORT,0.5399696121442468,1.1733763513942692,9.0,4.304,18.39,21.97,13.02,7.65,5,fresh
RDDT,SHORT,0.531312181110628,0.9432161561876702,9.0,4.1659,139.85,158.49,111.89,83.93,5,fresh
QCOM,SHORT,0.5237921186370785,0.7432932182911071,8.0,3.646,129.9,147.97,102.8,75.7,5,fresh
