ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
ONON,LONG,0.7588239121647713,7.588239121647713,0.0,4.5529,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.924142394250974,6.0,1.0,10.944991146274303,0.000119,4e-06,51801.1645745841,23664.32456741517,714.603357,3.291339,1.0,1.0,0.396962,0.0
OXY,LONG,0.7288764862636172,7.288764862636173,0.0,4.3733,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,26.008725389069852,24.0,1.0,5.08470797769583,3.9e-05,7e-06,49697.497141953376,23736.647642280423,6.244417,12.929162,3.0,1.0,0.535907,0.601279
BTDR,LONG,0.6766507366967527,6.766507366967527,0.0,4.0599,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.88,0.0,0.0,0.0,0.0,1.26159065587025,4.0,1.0,8.728262570508557,0.000322,2.3e-05,81786.73179297867,28111.000717138133,4.485348,12.120879,0.0,0.0,0.543485,0.0
HII,LONG,0.6578694114012426,6.578694114012426,0.0,3.9472,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.4055713548497293,14.0,1.0,0.6900285898888106,4.4e-05,6.3e-05,63469.92193009268,68986.18715963645,2.655894,2.789836,0.0,5.0,0.782224,0.307588
CTRA,LONG,0.6441116164550602,6.441116164550602,0.0,3.8647,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,56.64197141965232,2.0,1.0,99.0,0.000115,0.0,17431.53561127128,0.0,134.233264,,0.0,0.0,0.017348,0.0
FIG,LONG,0.6237082043955148,6.237082043955148,0.0,3.7422,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.19,0.0,0.0,0.0,0.0,301.9958740759268,5.0,1.0,99.0,4.9e-05,0.0,27336.82150931825,0.0,181.983051,,0.0,0.0,0.506257,0.0
IBIT,LONG,0.6207312980069191,6.20731298006919,0.0,3.7244,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.62,0.0,0.0,0.0,0.0,3.681866005633211,18.0,1.0,20.671621416943847,2.8e-05,8e-06,69864.76999279842,8787.332077994844,0.470983,0.171179,8.0,1.0,0.475324,0.350656
BE,LONG,0.612285392373902,6.1228539237390205,0.0,3.6737,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.39,0.0,0.0,0.0,0.0,2.770764296656757,12.0,1.0,2.834743625775944,5.4e-05,2e-05,221326.95400202487,109307.14608028039,0.679674,0.151019,1.0,0.0,0.584104,0.516669
ADMA,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.000359,0.0,382202.46309878136,0.0,2001.2,,0.0,0.0,0.0,0.0
GDX,LONG,0.5982352310685424,5.982352310685424,0.0,3.5894,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.746797465820579,11.0,1.0,1.919224586848527,0.0,0.0,101411.77614645252,92469.95347621535,6.488787,0.420135,2.0,0.0,0.671924,0.524098
