ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio
MRVL,LONG,0.5957599624249655,5.957599624249656,0.0,3.5746,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,99.0,8e-05,2e-06,29524.59707364862,1138.980796479572,105.727082,50.90184,7,0,0.397656,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.657598,0.197832,0.0,0.0,,,,
AXTI,LONG,0.5894016701293712,5.894016701293712,5.98,5.561,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.1,POSITIVE,ema_pullback,501481.59,76.73,105.0,45.0,36.91,41.32,196017.0,83148.0,0.424,134590.0,40361.0,104214.0,92.9,1.872,2.39,0.56,0.33,1.2,0.74,0.76,11,1.0,99.0,0.003142,0.0,20287.977350946716,0.0,12.172617,,1,0,0.635169,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.8e-05,0.0,0.519083,0.0,0.0,0.0,,,,
NPO,LONG,0.5114994530821066,5.1149945308210665,7.52,5.4135,poor_rr (0.3:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.0,NEUTRAL,flag_breakout,,,300.0,270.0,3.06,7.25,1104.0,1425.0,1.291,1162.0,615.0,752.0,93.8,0.504,1.86,0.41,1.0,1.6,1.65,1.0,1,1.0,99.0,0.000107,0.0,1.6903861488980604e-22,0.0,18.181818,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53186,0.0,0.0,0.0,291.1,258.43,300.0,0.27
CRCL,LONG,0.3780443380332703,3.780443380332703,5.22,4.7162,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",6.3,NEGATIVE,ema_pullback,-12508174.82,,120.0,65.0,22.52,33.63,394362.0,290664.0,0.737,235826.0,155223.0,293977.0,81.8,0.935,1.56,0.85,1.0,1.2,0.4,0.21,3,1.0,99.0,0.000159,0.0,4877.8002099088635,0.0,9.779189,,2,0,0.281338,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.714855,0.0,0.0,0.0,,,,
SOXX,LONG,0.374125284693585,3.74125284693585,0.0,2.2448,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,2e-05,0.0,550140.6893463994,0.0,17.652174,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,6e-06,0.0,0.288876,0.0,0.0,0.0,,,,
EL,LONG,0.3500740699002587,3.500740699002587,4.58,4.3844,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.3,NEUTRAL,ema_pullback,,,105.0,75.0,35.59,3.15,107183.0,92321.0,0.861,39716.0,68194.0,143621.0,72.9,0.152,0.0,0.88,1.0,1.2,1.43,0.07,2,0.7,99.0,4.5e-05,0.0,1.7696877962192745e-07,0.0,8.16675,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297568,0.0,0.0,0.0,,,,
NVDA,LONG,0.3394496005427296,3.394496005427296,7.77,4.5082,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, room_to_target, trend_aligned",not_extended,2.4,POSITIVE,flag_breakout,2321878248.93,209.03,210.0,150.0,0.39,28.29,8358444.0,7057590.0,0.844,3744753.0,3693596.0,7977685.0,64.9,0.438,2.17,0.0,1.0,1.6,2.0,1.0,5,1.0,9.428875876067265,1e-06,0.0,1518052.0509786357,644001.2875052535,85.105263,2.868687,0,0,0.73508,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.6259,0.557244,0.0,0.0,,,,
NVTS,LONG,0.33723369350410104,3.3723369350410106,6.82,4.5322,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.0,POSITIVE,trend_continuation,1927684.58,17.18,20.0,7.0,16.48,59.23,323940.0,141793.0,0.438,219096.0,90520.0,156117.0,95.0,1.412,2.66,0.0,0.43,1.4,1.33,1.0,1,1.0,99.0,0.000186,0.0,4590.288234002673,0.0,4.884892,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.417933,0.0,0.0,0.0,,,,
PBR,LONG,0.3292991686861247,3.2929916868612468,5.32,4.0625,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.1,POSITIVE,trend_continuation,8707159.58,20.75,25.0,10.0,20.51,51.8,733795.0,830114.0,1.131,170265.0,293827.0,1099817.0,82.6,0.383,2.05,0.92,0.51,1.4,0.43,0.0,1,1.0,99.0,4e-06,0.0,519248.5196227867,0.0,9.518189,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.503891,0.0,0.0,0.0,,,,
CHTR,LONG,0.3229078262417275,3.229078262417275,3.43,4.1035,price_validation_failed,"confirmation_volume, room_to_target, trend_continuation","momentum_aligned, not_extended, trend_aligned",7.3,NEUTRAL,trend_continuation,,,400.0,160.0,113.69,14.53,74726.0,64151.0,0.858,31989.0,32674.0,74214.0,56.1,0.488,0.0,0.0,1.0,1.4,0.03,1.0,1,1.0,99.0,1.2e-05,0.0,23746.17809803809,0.0,9.605405,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.52301,0.0,0.0,0.0,,,,
