ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio
XPEV,LONG,0.32232660399622437,3.223266039962244,0.0,1.934,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,0.7,99.0,5.6e-05,4.1e-05,5.292159502216661e-13,1.7382165140722534e-22,6.849105,16.983051,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.6571,0.171373,0.0,0.0,,,,
ALAB,LONG,0.31790219603895165,3.1790219603895165,0.0,1.9074,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,4.8e-05,0.0,1.0286590171645052e-07,0.0,23.857143,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.632484,0.0,0.0,0.0,,,,
U,LONG,0.30424695981312877,3.0424695981312877,5.46,3.9792,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.1,POSITIVE,trend_continuation,2658899.01,24.66,30.0,20.0,21.73,18.85,395086.0,219561.0,0.556,220493.0,105099.0,289055.0,87.9,0.883,1.91,0.63,1.0,1.4,0.49,0.02,1,1.0,99.0,7.5e-05,0.0,1.6638556362323378e-05,0.0,17.873832,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.263663,0.0,0.0,0.0,,,,
ORCL,LONG,0.3037559865041824,3.037559865041824,6.02,4.8848,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,7.8,NEGATIVE,trend_continuation,-44586480.45,,200.0,150.0,16.01,12.99,1422464.0,1129383.0,0.794,871134.0,588029.0,1092684.0,54.9,0.532,2.2,0.54,1.0,1.4,0.17,0.72,1,1.0,99.0,1e-06,0.0,2610.5731019928626,0.0,14.0,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.499918,0.0,0.0,0.0,,,,
BURL,LONG,0.3013273885180658,3.013273885180658,4.96,4.1546,price_validation_failed,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",5.8,NEUTRAL,retest_and_confirm,,,360.0,270.0,8.91,18.32,5382.0,28912.0,5.372,17566.0,13822.0,2906.0,66.9,0.404,1.56,0.92,0.63,1.4,0.46,0.0,1,1.0,99.0,1.9e-05,0.0,342029.64502890734,0.0,,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.020512,0.0,0.0,0.0,,,,
SLB,LONG,0.3009937799464708,3.009937799464708,7.57,4.716,weak_relative_strength (-8.1% vs SPY),"confirmation_volume, consolidation_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.7,POSITIVE,unknown,30527960.32,55.57,65.0,42.5,16.69,23.7,469679.0,296380.0,0.631,163650.0,142947.0,459462.0,77.1,0.391,2.23,0.37,1.0,1.2,1.78,1.0,1,0.7,99.0,7e-06,0.0,494609.3417919182,0.0,4.324242,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.453049,0.0,0.0,0.0,,,,
HUT,LONG,0.3005895657680579,3.005895657680579,5.41,4.5459,price_validation_failed,"confirmation_volume, momentum_aligned, trend_aligned, trend_continuation","not_extended, room_to_target",7.1,NEUTRAL,trend_continuation,,,100.0,35.0,26.49,55.73,146414.0,84187.0,0.575,85252.0,57596.0,87753.0,56.1,1.048,2.37,0.0,0.12,1.4,1.13,0.39,1,1.0,99.0,0.00015,0.0,6.818799180078341e-08,0.0,2.684549,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.459926,0.0,0.0,0.0,,,,
ARM,LONG,0.29744181332194863,2.974418133219486,0.0,1.7847,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,0.45518732129443434,4e-06,5e-06,15790.761035453575,69381.37464175741,4.479348,2.904762,0,1,0.072389,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.14451,0.745486,0.0,0.0,,,,
MCHP,LONG,0.29220414140923523,2.9220414140923525,6.49,4.368,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.8,POSITIVE,trend_continuation,3725768.0,88.06,120.0,50.0,36.29,43.21,227451.0,92470.0,0.407,41288.0,170613.0,108020.0,99.5,0.606,2.75,0.0,0.34,1.4,1.39,0.61,1,1.0,99.0,1.7e-05,0.0,2.461304211893945e-22,0.0,1.597451,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.442268,0.0,0.0,0.0,,,,
SOXL,LONG,0.29095688745088416,2.9095688745088415,0.0,1.7457,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,1.8e-05,0.0,26840.029191959376,0.0,3.786008,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.416554,0.0,0.0,0.0,,,,
META,LONG,0.2832716832255845,2.832716832255845,0.0,1.6996,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,3.154033533515681e-08,1e-06,1e-06,9.025496599051956e-07,28.615728092756132,154.0,6.085714,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.784616,0.776307,0.0,0.0,,,,
RDDT,LONG,0.2799537259659537,2.799537259659537,3.72,3.7958,price_validation_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",6.4,NEGATIVE,trend_continuation,-3000948.31,151.21,220.0,115.0,45.56,23.91,230306.0,188042.0,0.816,99883.0,74725.0,243740.0,79.0,0.863,0.0,0.98,1.0,1.4,0.07,0.28,1,1.0,99.0,2.7e-05,0.0,9.616015478566289e-24,0.0,12.844828,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.167754,0.0,0.0,0.0,,,,
AMD,LONG,0.26522256223328483,2.6522256223328484,0.0,1.5913,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,0.23302917236100096,1e-06,4e-06,363000.72534290736,1557747.9920864108,15.388462,439.0,1,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.086405,0.305155,0.0,0.0,,,,
GOOGL,LONG,0.25798993090021,2.5798993090021,5.72,3.7259,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,3.6,POSITIVE,trend_continuation,215322718.68,336.71,350.0,300.0,3.93,10.92,1542596.0,1299529.0,0.842,742096.0,628768.0,1471261.0,61.8,0.357,2.35,0.13,0.45,1.4,1.02,0.36,1,1.0,99.0,0.0,0.0,1.0146139116986581e-06,0.0,5.653308,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.125475,0.0,0.0,0.0,,,,
APLD,LONG,0.2570866187292064,2.570866187292064,0.0,1.5425,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,2.819309185728161e-09,0.000198,0.000265,1.5681833295807295e-06,139.05740965899992,2.480984,4.821407,1,0,0.0,0.584186,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.410047,0.3847,0.0,0.0,,,,
VRT,LONG,0.2514536401394726,2.514536401394726,0.0,1.5087,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,99.0,3e-06,1.7e-05,1292.0286142435457,0.00018352613789219378,182.958333,42.881847,0,0,0.0,0.000283,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.003145,0.162993,0.0,0.0,,,,
QBTS,LONG,0.2513406207441657,2.513406207441657,3.94,3.2987,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",4.3,POSITIVE,ema_pullback,415031.53,18.16,30.0,5.0,65.2,72.47,324734.0,220532.0,0.679,184073.0,101568.0,259625.0,73.6,1.07,0.0,0.99,1.0,1.2,0.13,0.63,1,1.0,99.0,3.6e-05,0.0,3.853057926089566e-06,0.0,2.417592,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.109074,0.0,0.0,0.0,,,,
AAOI,LONG,0.25070916410633226,2.5070916410633224,6.45,3.9685,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,3.9,POSITIVE,retest_and_confirm,4980593.13,155.9,200.0,20.0,28.07,87.19,131190.0,120124.0,0.916,122488.0,54221.0,74605.0,94.3,1.559,2.45,0.34,0.24,1.4,1.15,0.87,2,1.0,22.167708282121527,9.3e-05,5.6e-05,3411.874457547414,153.9119161135445,2.752688,311.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.233146,0.123647,0.0,0.0,,,,
MSFT,LONG,0.24802900107324782,2.480290010732478,5.73,4.2591,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.5,NEGATIVE,trend_continuation,-159848734.66,,450.0,400.0,7.39,4.54,2683112.0,1291002.0,0.481,1159777.0,836833.0,1977504.0,97.9,0.378,2.16,0.19,1.0,1.4,0.68,0.29,1,1.0,99.0,0.0,0.0,1947.0064713541049,0.0,2.395833,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.29198,0.0,0.0,0.0,,,,
RBLX,LONG,0.23004130652723398,2.30041306527234,0.0,1.3802,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,1.4e-05,2.8e-05,1.3629171295735649e-16,3.3514675661524985e-21,2.580858,4.532394,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.429756,0.502153,0.0,0.0,,,,
BMNR,LONG,0.22622835540916889,2.262283554091689,3.92,3.1071,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",4.0,POSITIVE,trend_continuation,6310241.85,21.75,25.0,18.0,14.81,17.34,1133989.0,508941.0,0.449,641231.0,243265.0,758434.0,0.7,0.839,0.0,0.95,1.0,1.4,0.21,0.36,1,0.7,99.0,9.3e-05,0.0,67288.56230905511,0.0,2.739009,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.105305,0.0,0.0,0.0,,,,
WDAY,LONG,0.22064352943046645,2.2064352943046646,3.5,3.1732,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",5.1,NEUTRAL,trend_continuation,,,200.0,100.0,74.47,12.76,88220.0,64815.0,0.735,41724.0,32312.0,78999.0,100.0,0.736,0.0,0.29,1.0,1.4,0.11,0.7,1,1.0,99.0,2.9e-05,0.0,14.891617474465846,0.0,1.930159,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.461269,0.0,0.0,0.0,,,,
USO,LONG,0.21654605983907463,2.1654605983907462,5.9,4.0927,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.2,NEGATIVE,trend_continuation,-7716208.02,,150.0,100.0,12.47,25.02,728239.0,1047340.0,1.438,714529.0,525406.0,535644.0,83.5,0.77,2.05,0.44,0.38,1.4,1.55,0.08,1,1.0,99.0,0.000448,0.0,52130.946001138625,0.0,,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.6e-05,0.0,0.851281,0.0,0.0,0.0,,,,
CAT,LONG,0.20601440991757244,2.0601440991757243,6.6,3.9501,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.7,NEUTRAL,trend_continuation,,,900.0,700.0,7.95,16.04,110088.0,139231.0,1.265,92102.0,55329.0,101888.0,92.8,0.443,2.07,0.2,1.0,1.4,1.61,0.32,2,1.0,99.0,2e-06,0.0,2.379477967520868e-07,0.0,1.835526,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.32078,0.0,0.0,0.0,,,,
CEG,LONG,0.1830819904742357,1.830819904742357,5.37,3.5264,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,5.0,NEUTRAL,retest_and_confirm,,,350.0,200.0,14.34,34.66,85669.0,121080.0,1.413,73303.0,60201.0,73245.0,82.8,0.562,0.0,0.62,1.0,1.4,1.99,0.36,1,0.7,99.0,5e-06,0.0,455599.3114416295,0.0,1.892857,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.217091,0.0,0.0,0.0,,,,
CRWD,LONG,0.18079823641902498,1.80798236419025,5.82,3.49,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.2,POSITIVE,trend_continuation,5926231.76,440.79,470.0,300.0,6.52,32.01,210430.0,179831.0,0.855,117996.0,84225.0,188040.0,73.6,0.498,1.74,0.54,1.0,1.4,0.95,0.19,1,1.0,99.0,9e-06,0.0,2.3777432973359387e-11,0.0,1.836735,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.332835,0.0,0.0,0.0,,,,
AMZN,LONG,0.1392018986028929,1.392018986028929,0.0,0.8352,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,8.28433906365981,0.0,1e-06,0.006072980430242032,0.0007330675849425148,1.240876,1.219573,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.282821,0.465222,0.0,0.0,,,,
DG,SHORT,0.49513831544772274,4.951383154477227,7.01,5.9187,poor_rr (1.5:1),"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,6.7,NEUTRAL,retest_and_confirm,,,145.0,110.0,21.13,8.11,42932.0,49808.0,1.16,22032.0,32653.0,38055.0,63.5,0.373,2.01,0.54,1.0,1.4,1.96,0.11,1,1.0,0.0,0.0,7.6e-05,0.0,4.887784870972002e-22,,4.862237,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.385257,0.0,0.0,119.71,126.12,110.0,1.51
APH,SHORT,0.37407272168377526,3.7407272168377528,3.6,4.0504,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.5,NEUTRAL,bounce_and_fail,,,155.0,95.0,3.29,36.69,54460.0,80971.0,1.487,72343.0,31607.0,31481.0,98.4,0.604,0.0,0.3,1.0,1.0,1.07,0.22,2,1.0,0.0,0.0,7e-06,0.0,1646.6459057737984,,15.995671,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.53164,0.0,0.0,,,,
DPZ,SHORT,0.3736854613614979,3.736854613614979,6.06,4.8064,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.6,NEUTRAL,trend_continuation,,,410.0,340.0,10.96,7.98,6309.0,12504.0,1.982,9416.0,3782.0,5615.0,96.4,0.401,1.53,0.92,0.89,1.4,0.79,0.52,1,1.0,0.0,0.0,2.9e-05,0.0,4.36979939447121e-25,,27.272727,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.621069,0.0,0.0,,,,
APLD,SHORT,0.3649232435486766,3.6492324354867662,0.0,2.1895,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,2.819309185728161e-09,0.000198,0.000265,1.5681833295807295e-06,139.05740965899992,2.480984,4.821407,1,0,0.0,0.584186,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.410047,0.3847,0.0,0.0,,,,
SPY,SHORT,0.35125440469841274,3.5125440469841274,1.34,3.6583,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",7.5,NEGATIVE,unknown,-8482439673.94,,800.0,600.0,12.43,15.68,5758653.0,12551234.0,2.18,8734930.0,4662626.0,4912331.0,66.6,0.16,0.0,0.0,1.0,0.0,0.16,0.18,2,1.0,0.0,0.0,0.0,0.0,1195.6468217477177,,2.022669,0,0,0.0,0.480203,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.377635,0.0,0.0,,,,
ON,SHORT,0.32521229658445133,3.252122965844513,0.0,1.9513,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.6e-05,0.0,164.60819466022159,,14.234694,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.188261,0.0,0.0,,,,
MRVL,SHORT,0.30564611836006567,3.0564611836006566,0.0,1.8339,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,11,1.0,99.0,8e-05,2e-06,29524.59707364862,1138.980796479572,105.727082,50.90184,7,0,0.397656,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.657598,0.197832,0.0,0.0,,,,
TER,SHORT,0.30551338647867476,3.0551338647867476,1.52,2.9436,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",4.8,NEUTRAL,unknown,,,440.0,350.0,7.43,14.54,39106.0,24753.0,0.633,28475.0,12734.0,22650.0,97.7,0.84,0.0,0.0,1.0,0.0,0.23,0.3,1,0.7,0.0,0.0,1.2e-05,0.0,672206.4839044079,,25.5,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,3e-06,0.0,0.286259,0.0,0.0,,,,
XPEV,SHORT,0.29814600414771664,2.9814600414771664,0.0,1.7889,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,0.7,99.0,5.6e-05,4.1e-05,5.292159502216661e-13,1.7382165140722534e-22,6.849105,16.983051,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.6571,0.171373,0.0,0.0,,,,
ARM,SHORT,0.29279226879874387,2.9279226879874387,0.0,1.7568,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,0.45518732129443434,4e-06,5e-06,15790.761035453575,69381.37464175741,4.479348,2.904762,0,1,0.072389,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.14451,0.745486,0.0,0.0,,,,
