ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi
AXTI,LONG,0.5842445611694347,5.842445611694346,5.63,5.4302,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.1,POSITIVE,ema_pullback,512251.2,79.13,105.0,45.0,32.69,43.13,196017.0,83148.0,0.424,134590.0,40361.0,104214.0,92.4,1.839,2.39,0.47,0.22,1.2,0.97,0.39,11,1.0,99.0,0.003142,0.0,14709.654327346221,0.0,12.172617,1,0,0.635169,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-05,0.0,0.519083,0.0,0.0,0.0,
NPO,LONG,0.5114994530821066,5.1149945308210665,6.91,5.2305,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.0,NEUTRAL,flag_breakout,,,300.0,270.0,2.07,8.13,1104.0,1425.0,1.291,1162.0,615.0,752.0,93.8,0.504,1.87,0.34,1.0,1.6,1.63,0.47,1,1.0,99.0,0.000107,0.0,1.2256025083182728e-22,0.0,18.181818,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53186,0.0,0.0,0.0,
TSEM,LONG,0.3703354727494863,3.703354727494863,5.88,4.6557,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.2,NEUTRAL,ema_pullback,,,230.0,165.0,15.48,17.16,67005.0,49557.0,0.74,58837.0,44022.0,13703.0,96.4,0.941,2.35,0.98,0.63,1.2,0.37,0.36,1,0.7,99.0,3.3e-05,0.0,620995.8596769499,0.0,3.938776,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.5e-05,0.0,0.533476,0.0,0.0,0.0,
IWM,LONG,0.3580361391166189,3.580361391166189,0.0,2.1482,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,8,1.0,1.7029048381425878,3.3e-05,2.2e-05,12304.779819914562,21677.27675259137,20.034491,0,1,0.416216,0.003636,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.558004,0.557219,0.0,0.0,8.521368
ANET,LONG,0.3537520728118873,3.537520728118873,6.13,4.8478,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",6.2,NEGATIVE,trend_continuation,-1658063.04,178.82,195.0,105.0,9.01,41.3,168226.0,128288.0,0.763,106905.0,63459.0,126150.0,93.4,0.677,2.65,0.0,0.0,1.4,1.89,0.19,4,1.0,99.0,1.6e-05,0.0,42.36897588839326,0.0,2.430199,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.201858,0.0,0.0,0.0,
EL,LONG,0.34697150165283397,3.4697150165283395,4.46,4.3529,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.4,NEUTRAL,ema_pullback,,,105.0,75.0,35.82,2.99,107183.0,92321.0,0.861,39716.0,68194.0,143621.0,72.9,0.152,0.0,0.9,1.0,1.2,1.36,0.0,2,0.7,99.0,4.5e-05,0.0,1.283099606205641e-07,0.0,8.16675,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297568,0.0,0.0,0.0,
NVTS,LONG,0.3359910663664803,3.359910663664803,6.69,4.487,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.0,POSITIVE,trend_continuation,1877150.6,17.28,20.0,7.0,15.27,59.65,323940.0,141793.0,0.438,219096.0,90520.0,156117.0,95.0,1.41,2.66,0.0,0.38,1.4,1.38,0.86,1,1.0,99.0,0.000186,0.0,3328.1559820902025,0.0,4.884892,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.417933,0.0,0.0,0.0,
PBR,LONG,0.323290418305991,3.23290418305991,5.1,3.9465,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.0,POSITIVE,trend_continuation,7516559.76,20.61,25.0,10.0,21.36,51.46,733795.0,830114.0,1.131,170265.0,293827.0,1099817.0,87.7,0.401,1.88,0.99,0.58,1.4,0.25,0.0,1,1.0,99.0,4e-06,0.0,376477.462563858,0.0,9.518189,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.503891,0.0,0.0,0.0,
CIEN,LONG,0.32300282840632566,3.2300282840632564,5.5,4.345,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",5.4,NEUTRAL,ema_pullback,,,600.0,480.0,14.82,8.14,38191.0,34994.0,0.916,37129.0,18019.0,18037.0,84.0,0.862,2.3,0.18,0.0,1.2,1.82,0.0,3,1.0,99.0,3.3e-05,1e-05,1.1110789650951998e-06,1.0160473824310136e-11,22.028571,1,0,0.464773,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.613022,0.444494,0.0,0.0,8.272727
CHTR,LONG,0.321982110846803,3.21982110846803,3.45,4.0849,price_validation_failed,"confirmation_volume, room_to_target, trend_continuation","momentum_aligned, not_extended, trend_aligned",7.2,NEUTRAL,trend_continuation,,,400.0,160.0,117.14,13.14,74726.0,64151.0,0.858,31989.0,32674.0,74214.0,56.7,0.492,0.0,0.0,1.0,1.4,0.05,1.0,1,1.0,99.0,1.2e-05,0.0,17216.99829290477,0.0,9.605405,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.52301,0.0,0.0,0.0,
