ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi
WULF,SHORT,0.6278485660740385,6.278485660740385,0.0,3.7671,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.76,0.0,0.0,0.0,0.0,0.30549724413939283,12.0,1.0,0.2139409401708015,0.000659,0.003257,95299.152881123,148482.02624680768,0.5645,1.0,7.0,0.634286,0.307717,0.45915
CMG,SHORT,0.5613463102962857,5.613463102962857,4.78,6.0407,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",9.0,NEGATIVE,bounce_and_fail,-18818467.31,,40.0,27.5,21.67,16.35,386655.0,415715.0,1.075,138072.0,278396.0,385902.0,2.11,0.3,0.0,1.0,1.37,0.0,223007.86733199088,5.0,1.0,1.7599686377399104e-08,0.000425,0.000941,0.0009187495401025271,13050.652159380988,460.269231,0.0,2.0,0.0,0.001274,28.251065
ALAB,SHORT,0.4079887478084649,4.079887478084649,5.0,4.6799,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.7,NEUTRAL,ema_rally,,,130.0,80.0,6.23,34.63,105346.0,93831.0,0.891,69116.0,43456.0,86605.0,1.55,0.85,0.44,1.2,0.96,0.0,24.68592089467431,3.0,1.0,0.0,0.0,0.000722,0.0,0.40311155641369306,,0.0,1.0,0.0,0.29936,1.591286
U,SHORT,0.3687440173567736,3.687440173567736,5.79,5.0607,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",7.4,NEGATIVE,ema_rally,-33889.74,,40.0,15.0,119.54,17.67,365851.0,195698.0,0.535,165454.0,151866.0,244229.0,2.27,0.35,0.2,1.2,1.77,0.0,1645206.9911253555,2.0,1.0,0.0,0.0,0.000616,0.0,33189.05826209954,,0.0,0.0,0.0,1e-06,0.430388
XLI,SHORT,0.3598623464542209,3.598623464542209,5.15,5.1643,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",9.1,NEGATIVE,trend_continuation,-2341138.3,,185.0,145.0,12.6,11.75,89739.0,460558.0,5.132,82325.0,402930.0,65042.0,2.22,0.47,0.0,1.4,0.84,0.22,2.2435310720204815,4.0,1.0,0.22095453977464227,1.4e-05,8.1e-05,10.242351437089681,15.451672317657353,0.10819,0.0,1.0,0.0,0.428664,74.277197
DLTR,LONG,0.32249979618486807,3.224997961848681,0.0,1.935,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.25,0.0,0.0,0.0,0.0,98614.87232855799,5.0,1.0,0.04173767871966163,0.000531,0.000179,0.18523569068825702,17.752371130404708,0.521785,1.0,0.0,0.000711,0.0,0.135496
AEIS,SHORT,0.5103118576196739,5.103118576196739,0.0,3.0619,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.03,0.0,0.0,0.0,0.0,11.608018231266223,2.0,1.0,0.0,0.0,0.003508,0.0,0.030260541438745275,,0.0,0.0,0.0,0.041295,2.061561
SOFI,SHORT,0.39163836334673935,3.9163836334673934,6.01,4.6812,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.6,POSITIVE,trend_continuation,7516526.29,16.86,20.0,15.0,18.66,11.01,2638522.0,1574771.0,0.597,1279315.0,934802.0,1999176.0,2.62,0.35,0.0,1.4,1.53,0.12,0.0,1.0,1.0,0.0,0.0,0.000243,0.0,312646.71030796814,1.147092,0.0,0.0,0.0,0.0,3.280097
VSAT,LONG,0.5933333333333333,5.933333333333333,4.55,5.6917,watchlist_reeval_failed,"ema_pullback, not_extended, trend_aligned","confirmation_volume, momentum_aligned, room_to_target",6.8,NEUTRAL,ema_pullback,,,70.0,36.0,45.74,25.05,47799.0,6142.0,0.128,29078.0,15964.0,8899.0,1.85,0.9,0.01,1.2,0.59,0.0,27.502740993889613,5.0,1.0,99.0,0.01295,0.003782,1.2058974560552076,0.007834208999360466,21.275862,0.0,0.0,0.030581,0.54711,0.52014
MSTR,SHORT,0.31284262929251416,3.1284262929251416,6.22,4.3502,watchlist_reeval_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume,4.6,POSITIVE,resistance_ema_confluence,11891490.97,136.73,140.0,5.0,2.32,96.35,1191217.0,1100808.0,0.924,845419.0,539085.0,907521.0,1.52,0.9,0.61,1.6,1.42,0.17,2.312125879859373,4.0,1.0,0.21729426663912912,1.5e-05,7.6e-05,40840.71970101485,62650.40235175797,0.071956,0.0,0.0,0.0,0.564591,0.22097
