ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
FCEL,LONG,0.6964994530821067,6.964994530821067,6.75,6.6275,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, volume_capitulation_reversal",not_extended,5.6,NEUTRAL,unknown,,,10.0,7.0,4.82,26.62,52514.0,14344.0,0.273,15354.0,25006.0,26498.0,69.4,1.154,1.84,0.0,1.0,1.4,1.51,1.0,1,1.0,99.0,0.001853,0.0,486219.41689868475,0.0,27.572549,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.2e-05,0.0,0.076847,0.0,0.0,0.0,,,
GTES,LONG,0.5114994530821066,5.1149945308210665,6.09,4.9445,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,2.8,NEUTRAL,trend_continuation,,,26.0,24.0,1.19,6.6,9754.0,3786.0,0.388,12528.0,35.0,977.0,98.1,0.49,2.07,0.45,0.89,1.4,1.24,0.03,1,1.0,99.0,0.000216,0.0,946237.1148488933,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.9e-05,0.0,0.614079,0.0,0.0,0.0,,,
JBTM,LONG,0.5114994530821066,5.1149945308210665,4.36,4.9655,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.5,NEUTRAL,trend_continuation,,,220.0,125.0,64.48,6.55,1819.0,1104.0,0.607,1082.0,479.0,1362.0,91.1,0.533,0.0,0.75,1.0,1.4,1.22,0.0,1,1.0,99.0,8.6e-05,0.0,455516.3846119786,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.2e-05,0.0,0.485155,0.0,0.0,0.0,,,
LOGI,LONG,0.5114994530821066,5.1149945308210665,5.63,5.1265,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.4,NEUTRAL,trend_continuation,,,130.0,90.0,31.93,8.66,9158.0,12419.0,1.356,7523.0,7321.0,6733.0,95.6,0.424,1.8,0.38,1.0,1.4,0.74,0.32,1,1.0,99.0,4.7e-05,0.0,2.276799929565163e-08,0.0,6.024096,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.393726,0.0,0.0,0.0,,,
WEN,LONG,0.5114994530821066,5.1149945308210665,5.12,4.9735,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,4.4,POSITIVE,support_ema_confluence,278663.9,7.12,8.0,6.0,12.44,15.67,158034.0,102382.0,0.648,148186.0,2803.0,109427.0,79.8,0.478,0.0,0.78,1.0,1.6,1.36,0.39,1,1.0,99.0,0.000345,0.0,3.206265828283585e-30,0.0,100.671141,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.079619,0.0,0.0,0.0,,,
WULF,LONG,0.467586287755653,4.67586287755653,5.05,4.8729,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.1,POSITIVE,trend_continuation,12860619.84,19.77,25.0,11.0,26.49,44.35,1470020.0,721134.0,0.491,791715.0,632377.0,767062.0,67.5,1.025,1.91,0.43,0.24,1.4,0.98,0.09,1,1.0,99.0,9.8e-05,0.0,718954.5919900625,0.0,11.544776,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.8e-05,0.0,0.219905,0.0,0.0,0.0,,,
RSP,LONG,0.44633531913836205,4.463353191383621,5.35,4.4767,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",3.2,NEUTRAL,trend_continuation,,,205.0,180.0,0.78,11.51,73629.0,158852.0,2.157,33263.0,111847.0,87371.0,76.9,0.164,2.26,0.0,0.09,1.4,1.44,0.16,2,1.0,99.0,2.3e-05,9e-06,0.06623190624617925,4.670878074083988e-13,2.634082,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.224336,0.307276,0.0,0.0,79.545455,,
LCID,LONG,0.4005724194298235,4.005724194298235,2.35,3.3479,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",3.2,POSITIVE,unknown,3265.87,7.14,10.0,5.0,40.15,29.92,237541.0,292428.0,1.231,269047.0,60190.0,200732.0,98.9,1.074,0.0,0.0,1.0,0.0,0.35,1.0,1,1.0,99.0,0.000255,0.0,27589.687600240122,0.0,82.306931,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2e-06,0.0,0.16589,0.0,0.0,0.0,,,
FIG,LONG,0.3973087734439445,3.973087734439445,2.24,3.4785,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",4.1,POSITIVE,unknown,343627.1,18.84,20.0,17.5,6.04,7.21,195243.0,129526.0,0.663,120612.0,90271.0,113886.0,98.2,1.084,0.0,0.5,1.0,0.0,0.24,0.49,1,1.0,99.0,0.000102,0.0,469921.21603562764,0.0,2.166197,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.9e-05,0.0,0.525296,0.0,0.0,0.0,,,
SATS,LONG,0.382587450173837,3.8258745017383697,5.17,5.1439,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",8.4,NEGATIVE,trend_continuation,-1000821.99,,150.0,100.0,20.94,19.37,332751.0,140366.0,0.422,75654.0,212602.0,184861.0,61.6,0.63,1.88,0.96,0.57,1.4,0.06,0.3,3,1.0,8.536101779554064e-09,0.000236,9.2e-05,4.273136019280854e-27,1.0011914406915817e-18,2.79202,0,0,0.477696,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.236975,0.063842,0.0,0.0,1.587619,,
