ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
FCEL,LONG,0.6964994530821067,6.964994530821067,7.05,6.7175,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, volume_capitulation_reversal",not_extended,5.6,NEUTRAL,unknown,,,10.0,7.0,2.35,28.35,52514.0,14344.0,0.273,15354.0,25006.0,26498.0,69.5,1.155,2.0,0.0,1.0,1.4,1.65,1.0,1,1.0,99.0,0.001853,0.0,508661.88198859344,0.0,27.572549,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.5e-05,0.0,0.076847,0.0,0.0,0.0,,,
GTES,LONG,0.5114994530821066,5.1149945308210665,5.95,5.1425,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.0,NEUTRAL,trend_continuation,,,26.0,24.0,2.28,5.59,9754.0,3786.0,0.388,12528.0,35.0,977.0,98.4,0.499,2.07,0.57,1.0,1.4,0.91,0.0,1,1.0,99.0,0.000216,0.0,989912.6503760917,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.3e-05,0.0,0.614079,0.0,0.0,0.0,,,
JBTM,LONG,0.5114994530821066,5.1149945308210665,4.28,4.9415,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.5,NEUTRAL,trend_continuation,,,220.0,125.0,65.58,5.92,1819.0,1104.0,0.607,1082.0,479.0,1362.0,91.0,0.531,0.0,0.83,1.0,1.4,1.05,0.0,1,1.0,99.0,8.6e-05,0.0,476541.68760119664,0.0,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.4e-05,0.0,0.501872,0.0,0.0,0.0,,,
LOGI,LONG,0.5114994530821066,5.1149945308210665,5.57,5.1285,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.5,NEUTRAL,trend_continuation,,,130.0,90.0,32.4,8.34,9158.0,12419.0,1.356,7523.0,7321.0,6733.0,92.3,0.417,1.8,0.44,1.0,1.4,0.62,0.32,1,1.0,99.0,4.7e-05,0.0,2.381890349980472e-08,0.0,6.024096,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.393726,0.0,0.0,0.0,,,
WEN,LONG,0.5114994530821066,5.1149945308210665,5.13,4.9365,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,4.2,POSITIVE,support_ema_confluence,258176.37,7.11,8.0,6.0,12.6,15.55,158034.0,102382.0,0.648,148186.0,2803.0,109427.0,95.6,0.51,0.0,0.79,1.0,1.6,1.33,0.41,1,1.0,99.0,0.000345,0.0,3.354257673979828e-30,0.0,100.671141,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.079619,0.0,0.0,0.0,,,
WULF,LONG,0.467586287755653,4.67586287755653,5.04,4.8299,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.9,POSITIVE,trend_continuation,12272583.12,19.59,25.0,11.0,27.45,43.92,1470020.0,721134.0,0.491,791715.0,632377.0,767062.0,71.0,1.031,1.91,0.48,0.28,1.4,0.88,0.09,1,1.0,99.0,9.8e-05,0.0,752139.431532019,0.0,11.544776,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.6e-05,0.0,0.302276,0.0,0.0,0.0,,,
RSP,LONG,0.44633531913836205,4.463353191383621,5.25,4.4267,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.1,NEUTRAL,trend_continuation,,,205.0,180.0,1.03,11.29,73629.0,158852.0,2.157,33263.0,111847.0,87371.0,79.2,0.17,2.25,0.05,0.17,1.4,1.27,0.11,2,1.0,99.0,2.3e-05,9e-06,0.06928897717364023,4.886472134036338e-13,2.634082,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.224336,0.307276,0.0,0.0,79.545455,,
LCID,LONG,0.40273980979635376,4.0273980979635375,2.32,3.3497,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",3.2,POSITIVE,unknown,6973.97,7.09,10.0,5.0,40.94,29.53,237541.0,292428.0,1.231,269047.0,60190.0,200732.0,98.9,1.076,0.0,0.0,1.0,0.0,0.32,1.0,1,1.0,99.0,0.000255,0.0,28863.1468231549,0.0,82.306931,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2e-06,0.0,0.16589,0.0,0.0,0.0,,,
FIG,LONG,0.3973087734439445,3.973087734439445,2.22,3.4725,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",4.1,POSITIVE,unknown,334680.79,18.8,20.0,17.5,6.3,6.99,195243.0,129526.0,0.663,120612.0,90271.0,113886.0,98.3,1.086,0.0,0.49,1.0,0.0,0.21,0.52,1,1.0,99.0,0.000102,0.0,491611.40387953393,0.0,2.166197,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.1e-05,0.0,0.525296,0.0,0.0,0.0,,,
SATS,LONG,0.3840986188632727,3.840986188632727,5.12,5.0765,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",8.1,NEGATIVE,trend_continuation,-2369214.1,124.08,150.0,100.0,20.93,19.38,332751.0,140366.0,0.422,75654.0,212602.0,184861.0,66.0,0.635,1.88,0.97,0.57,1.4,0.02,0.29,3,1.0,8.536101779553949e-09,0.000236,9.2e-05,4.470371470198915e-27,1.0474035070449952e-18,2.79202,0,0,0.477696,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.236975,0.063842,0.0,0.0,1.587619,,
