ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
MPWR,LONG,0.5484809551972919,5.484809551972919,2.88,4.5464,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.7,NEUTRAL,ema_pullback,,,1600.0,1100.0,12.56,22.61,4569.0,6170.0,1.35,4130.0,2450.0,4159.0,98.8,0.777,0.0,0.53,0.81,1.2,0.14,0.19,False,default,2.5,False,8,1.0,76.20736297456136,9.6e-05,1.7e-05,165010.52542321975,6495.849704639496,6.96613,11.666667,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-05,0.0,0.795294,0.34061,0.0,0.0,1.0,0.5484809551972919,0.5484809551972919,n/a,2026-06-23,2026-06-23,False
MKSI,LONG,0.5362895169891202,5.3628951698912015,6.52,5.6974,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.3,NEUTRAL,trend_continuation,,,490.0,185.0,26.73,52.15,6034.0,4245.0,0.704,5906.0,408.0,3965.0,89.1,0.706,2.27,0.68,1.0,1.4,0.76,0.41,False,sustained_trend,5.0,False,3,0.7,1.906822390485033,2.5e-05,1.2e-05,324382.86354231957,340233.9569337732,31.642857,5.823529,1,0,0.356828,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,7e-06,8e-06,0.322731,0.62643,0.0,0.0,1.0,0.5362895169891202,0.5362895169891202,n/a,2026-06-23,2026-06-23,False
TRIP,LONG,0.5220719294099316,5.220719294099316,6.14,5.7124,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.3,POSITIVE,ema_pullback,888803.47,12.41,20.0,8.0,60.97,35.61,151037.0,103071.0,0.682,50209.0,31560.0,172339.0,45.2,0.567,2.44,0.69,1.0,1.2,0.76,0.06,False,default,2.5,False,2,1.0,99.0,0.000666,0.0,5.7351500621051865e-09,0.0,49.468781,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.183254,0.0,0.0,0.0,1.0,0.5220719294099316,0.5220719294099316,n/a,2026-06-23,2026-06-23,False
HUT,LONG,0.5128760339509414,5.128760339509414,5.58,5.6984,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.3,NEUTRAL,ema_pullback,,,130.0,70.0,8.8,41.42,132916.0,82856.0,0.623,74584.0,48244.0,92944.0,42.3,1.004,1.84,0.89,0.64,1.2,0.89,0.12,False,default,2.5,False,3,0.7,99.0,0.000615,0.0,2.0696316909578343,0.0,5.151961,,2,0,0.287427,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.373857,0.0,0.0,0.0,1.0,0.5128760339509414,0.5128760339509414,n/a,2026-06-23,2026-06-23,False
CXW,LONG,0.5065163738543761,5.065163738543761,7.5,5.3626,"wall_proximity (0.1%, 0.0 ATR to call wall)","momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,2.9,NEUTRAL,trend_continuation,,,30.0,20.0,0.1,33.27,113791.0,6603.0,0.058,77200.0,21978.0,21216.0,98.8,0.73,2.97,0.25,1.0,1.4,1.6,0.29,False,sustained_trend,5.0,False,1,1.0,99.0,0.001082,0.0,0.0006801450660783942,0.0,3.313478,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.903551,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-06-23,2026-06-23,False
EWJ,LONG,0.5065163738543761,5.065163738543761,4.56,5.2006,price_validation_failed,"not_extended, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned, room_to_target",6.5,NEUTRAL,trend_continuation,,,100.0,90.0,7.68,3.09,74598.0,45560.0,0.611,72155.0,15920.0,32083.0,68.2,0.241,1.64,0.94,0.0,1.4,0.29,0.3,False,default,2.5,False,1,1.0,99.0,8.7e-05,0.0,1.9172300971344632e-28,0.0,6.744604,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.377589,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-06-23,2026-06-23,False
NAMS,LONG,0.4808020881400903,4.808020881400903,0.0,2.8848,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7,99.0,0.000312,0.000226,1.0089403400785847e-35,1.7477865552363624e-62,5.298013,333.333333,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.409477,0.493394,0.0,0.0,,,,,,,False
QXO,LONG,0.43500129873779403,4.350012987377941,3.37,4.086,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.5,POSITIVE,ema_pullback,3640101.16,16.45,35.0,15.0,112.7,8.84,355662.0,152804.0,0.43,119659.0,108348.0,280459.0,73.8,0.596,0.0,0.85,1.0,1.2,0.24,0.07,False,default,2.5,False,2,0.7,3.6673143613152346e-24,0.000116,3.1e-05,1.7596808720608303e-28,4.798282063361875e-05,2.033877,1.856342,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.569652,0.299094,0.0,0.0,1.0,0.43500129873779403,0.43500129873779403,n/a,2026-06-23,2026-06-23,False
DOCN,LONG,0.42656025689726207,4.2656025689726205,5.32,4.6888,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,4.8,NEUTRAL,trend_continuation,,,180.0,67.5,15.99,56.5,72337.0,52698.0,0.729,22647.0,18850.0,83538.0,91.7,1.011,1.89,0.7,0.72,1.4,0.2,0.41,False,default,2.5,False,1,0.7,99.0,5.4e-05,0.0,611051.3347161643,0.0,18.533333,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.7e-05,0.0,0.482828,0.0,0.0,0.0,1.0,0.42656025689726207,0.42656025689726207,n/a,2026-06-23,2026-06-23,False
CROX,LONG,0.41083278138070356,4.108327813807035,5.84,5.3262,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",7.6,NEUTRAL,ema_pullback,,,135.0,120.0,11.45,0.93,19485.0,15107.0,0.775,6760.0,12969.0,14863.0,52.1,0.452,2.4,0.92,0.54,1.2,0.53,0.26,False,default,2.5,False,1,0.7,99.0,0.000115,0.0,5.4954502752220715e-12,0.0,1.099217,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.59169,0.0,0.0,0.0,1.0,0.41083278138070356,0.41083278138070356,n/a,2026-06-23,2026-06-23,False
