ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
DPZ,SHORT,0.3824202589736887,3.824202589736887,6.1,4.8221,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.4,NEUTRAL,trend_continuation,,,410.0,340.0,11.05,7.91,5291.0,9482.0,1.792,5707.0,3689.0,5377.0,93.5,0.383,1.54,0.88,0.83,1.4,1.35,0.1,1,1.0,0.0,0.0,2.9e-05,0.0,9.141752706973564e-22,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.621069,0.0,0.0,27.272727,,,,,,
RSP,SHORT,0.3457579469057545,3.457579469057545,0.0,2.0745,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,2.3e-05,9e-06,0.05430669425242741,3.8298753853891856e-13,2.634082,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.224336,0.307276,0.0,0.0,79.545455,,,,,,
LITE,SHORT,0.3217297980263627,3.217297980263627,0.0,1.9304,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,6,1.0,14.228964629612744,9e-05,4.9e-05,0.24760283512630257,0.017401324802719772,13.5,1,0,0.153539,0.277727,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.584221,0.8145,0.0,0.0,6.2475,,,,,,
PDD,SHORT,0.3200191600663631,3.200191600663631,0.0,1.9201,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,6,1.0,99.0,2.8e-05,1.3e-05,4.298002761183123,5.011185415911058e-21,2.443749,1,1,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.1561,0.150757,0.0,0.0,2.610623,,,,,,
UBS,SHORT,0.314884272420181,3.14884272420181,3.53,3.6934,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.3,NEUTRAL,bounce_and_fail,,,50.0,35.0,15.66,19.04,55627.0,64045.0,1.151,46384.0,971.0,72317.0,80.3,0.331,0.0,0.06,1.0,1.0,1.35,0.12,1,1.0,0.0,0.0,4e-06,0.0,1.269664819349518e-26,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.46111,0.0,0.0,1.237528,,,,,,
CAVA,SHORT,0.31108198808153376,3.1108198808153373,1.64,3.2074,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.8,NEUTRAL,unknown,,,135.0,65.0,40.23,32.48,73580.0,42613.0,0.579,18198.0,30288.0,67707.0,83.5,0.72,0.0,0.0,1.0,0.0,0.44,0.2,1,1.0,0.0,0.0,5.2e-05,0.0,6.441662723822707e-11,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.377228,0.0,0.0,4.495536,,,,,,
VRT,SHORT,0.30751655693924107,3.0751655693924107,3.27,3.1786,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,3.3,POSITIVE,bounce_and_fail,29942868.66,311.72,350.0,135.0,12.02,56.79,206917.0,189422.0,0.915,126084.0,106484.0,163771.0,91.6,0.731,0.0,0.01,1.0,1.0,0.7,0.57,4,1.0,6.1007274999120854e-05,4e-06,2.3e-05,4.6850807454685065e-05,0.2559848119499421,344.615385,0,0,0.0,0.000374,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.000431,0.163024,0.0,0.0,30.976787,,,,,,
STX,SHORT,0.30411460530425494,3.0411460530425494,0.0,1.8247,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,4,1.0,0.0004570200228395731,1.4e-05,8e-06,0.0013918223557758843,3.045429710339963,5.232951,1,0,8e-06,0.48894,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.093997,0.55101,0.0,0.0,118.75,,,,,,
BE,SHORT,0.3002136121367087,3.002136121367087,0.0,1.8013,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,3.139955497231165e-09,2e-05,2.4e-05,0.00249261275080636,793836.9677545952,3.644377,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,7e-06,0.320843,0.548499,0.0,0.0,8.921569,,,,,,
HL,SHORT,0.29939425246840073,2.9939425246840075,7.21,4.88,poor_rr (1.7:1),"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.1,POSITIVE,flag_breakdown,2728774.94,18.07,25.0,10.0,38.2,44.72,474713.0,241758.0,0.509,84793.0,206538.0,425140.0,51.0,0.772,1.6,0.67,1.0,1.6,1.97,0.37,1,1.0,0.0,0.0,3.2e-05,0.0,2.032427125779374e-08,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.391839,0.0,0.0,11.510504,18.09,20.05,14.77,1.7,,
