ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
FCEL,LONG,0.5428191758076455,5.428191758076455,0.0,3.2569,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.001359,0.0,2774.9750124184875,0.0,27.572549,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.076847,0.0,0.0,0.0,,,,,,,
DOCU,LONG,0.5255629878514905,5.255629878514904,3.49,4.9148,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",6.2,NEUTRAL,trend_continuation,,,50.0,40.0,13.22,9.42,65568.0,55380.0,0.845,24949.0,36606.0,59393.0,70.1,0.569,0.0,0.53,1.0,1.4,0.05,0.5,1,1.0,99.0,0.000127,0.0,1.810032262959789e-22,0.0,19.545045,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.330483,0.0,0.0,0.0,,,,,,,
AXTI,LONG,0.5248969640425397,5.248969640425397,5.79,5.2015,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,4.2,POSITIVE,trend_continuation,1484158.93,74.5,105.0,45.0,41.06,39.55,186856.0,74013.0,0.396,124197.0,35511.0,101161.0,94.9,1.949,2.47,0.62,0.42,1.4,0.32,0.56,3,1.0,99.0,0.000572,0.0,888144.589998773,0.0,15.550388,0,0,0.555034,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000311,0.0,0.563591,0.0,0.0,0.0,,,,,,,
ORA,LONG,0.5114994530821066,5.1149945308210665,5.12,5.2535,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence","room_to_target, trend_aligned",5.8,NEUTRAL,support_ema_confluence,,,120.0,100.0,6.19,11.5,17968.0,5218.0,0.29,12589.0,8793.0,1804.0,87.1,0.406,0.0,0.81,0.07,1.6,1.68,0.95,1,1.0,99.0,9.9e-05,0.0,7.292663941587845e-07,0.0,20.689655,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.250847,0.0,0.0,0.0,,,,,,,
CENX,LONG,0.49678584911212426,4.967858491121243,5.5,5.2739,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.7,NEUTRAL,ema_pullback,,,65.0,45.0,6.87,26.01,32975.0,10853.0,0.329,4965.0,25942.0,12921.0,84.7,0.83,1.58,0.94,0.64,1.2,1.12,0.02,1,1.0,99.0,0.000133,0.0,0.040508847115823816,0.0,26.338346,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.196359,0.0,0.0,0.0,,,,,,,
MRVL,LONG,0.40527979415538606,4.052797941553861,0.0,2.4317,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,99.0,2.4e-05,0.0,1527345.4046581706,0.0,95.25,2,0,0.152246,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.5e-05,0.0,0.667019,0.0,0.0,0.0,,,,,,,
AR,LONG,0.404210794885603,4.04210794885603,4.94,4.4831,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.9,NEUTRAL,trend_continuation,,,50.0,30.0,31.41,21.16,85639.0,103968.0,1.214,108612.0,32378.0,48617.0,91.3,0.481,0.0,0.82,1.0,1.4,1.62,0.09,1,1.0,99.0,2.7e-05,0.0,280758.94511521986,0.0,29500.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.032448,0.0,0.0,0.0,,,,,,,
BMNR,LONG,0.3855528146896653,3.8555281468966527,5.79,4.5448,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.4,POSITIVE,trend_continuation,12245345.01,22.78,25.0,18.0,9.77,20.97,1093745.0,492856.0,0.451,602215.0,237265.0,747121.0,7.8,0.869,1.6,0.61,1.0,1.4,0.94,0.24,1,0.7,99.0,8.7e-05,0.0,979828.0866831103,0.0,2.739009,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,8e-06,0.0,0.105305,0.0,0.0,0.0,,,,,,,
INTU,LONG,0.37074931330040817,3.707493133004082,3.37,3.8447,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",4.9,NEUTRAL,trend_continuation,,,500.0,300.0,32.64,20.41,64946.0,54975.0,0.846,35071.0,32699.0,52151.0,94.9,0.613,0.0,0.4,1.0,1.4,0.04,0.52,2,1.0,99.0,1e-05,0.0,5.574934767384924e-30,0.0,12.492674,1,0,0.480327,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.512492,0.0,0.0,0.0,,,,,,,
CHTR,LONG,0.3655232760799034,3.6552327607990343,5.4,4.6876,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.2,NEUTRAL,trend_continuation,,,400.0,200.0,63.01,18.5,72129.0,60117.0,0.833,29363.0,29780.0,73103.0,79.1,0.615,1.95,0.15,0.0,1.4,1.12,0.77,1,1.0,99.0,1.2e-05,0.0,345781.9791864679,0.0,9.605405,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,6e-06,0.0,0.52301,0.0,0.0,0.0,,,,,,,
