ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
CRDO,SHORT,0.28321318284558983,2.832131828455898,3.84,3.4881,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",4.6,NEUTRAL,trend_continuation,,,200.0,100.0,4.82,47.59,106878.0,101316.0,0.948,109437.0,5283.0,93474.0,90.9,1.109,2,1.0,99.0,8e-06,6.4e-05,0.0011887089808861678,1.5763253472041055e-06,1.310345,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.457038,0.601344,0.0,0.0,False,0.0,0.67,1.0,1.4,0.21,0.56,False,default,2.5,False,1.0,0.28321318284558983,0.28321318284558983,n/a,2026-05-21,2026-05-21,8.961039,,,,
XOP,SHORT,0.2812496013037381,2.8124960130373813,5.45,4.4612,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,7.1,NEGATIVE,retest_and_confirm,-10155579.22,,180.0,155.0,3.75,10.66,164313.0,308257.0,1.876,303678.0,8891.0,160001.0,78.4,0.351,1,1.0,0.0,0.0,0.0,0.0,0.002084747345574585,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.420457,0.0,0.0,False,0.0,0.92,1.0,1.4,1.42,0.71,False,default,2.5,False,1.0,0.2812496013037381,0.2812496013037381,n/a,2026-05-21,2026-05-21,10.311456,,,,
FSLR,SHORT,0.2810317480702109,2.810317480702109,0.0,1.6862,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,99.0,8.2e-05,2.9e-05,40812.85136849788,7.904441475125894e-12,55.091082,0,0,0.029218,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.075448,0.17696,0.0,0.0,False,,,,,,,,,,,,,,,,,13.071429,,,,
DE,SHORT,0.2809958372297302,2.8099583722973023,7.31,4.498,"wall_proximity (1.8%, 0.6 ATR to put wall)","confirmation_volume, flag_breakdown, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.5,NEUTRAL,flag_breakdown,,,700.0,520.0,32.16,1.82,32273.0,34411.0,1.066,36529.0,1510.0,28645.0,38.0,0.289,1,1.0,0.0,0.0,4e-06,0.0,7.149728705720794e-13,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.638142,0.0,0.0,False,1.69,0.53,1.0,1.6,1.49,1.0,False,sustained_trend,5.0,False,1.0,0.2809958372297302,0.2809958372297302,n/a,2026-05-21,2026-05-21,150.0,,,,
DAL,SHORT,0.2768670362145453,2.768670362145453,3.57,3.4953,price_validation_failed,"not_extended, pullback_to_resistance, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.2,POSITIVE,pullback_to_resistance,7040432.15,73.41,75.0,65.0,2.11,11.5,226312.0,270773.0,1.196,237486.0,29072.0,230527.0,58.7,0.452,1,1.0,0.0,0.0,1.1e-05,0.0,0.0016076973868612411,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.331258,0.0,0.0,False,0.0,0.57,1.0,1.4,0.42,0.18,False,default,2.5,False,1.0,0.2768670362145453,0.2768670362145453,n/a,2026-05-21,2026-05-21,1.159292,,,,
BE,SHORT,0.26906082020940003,2.6906082020940003,0.0,1.6144,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,5.187814253712835,2.5e-05,5e-06,937999.8609019463,361616.59420656203,7.384274,1,0,0.278259,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-05,0.0,0.408932,0.034128,0.0,0.0,False,,,,,,,,,,,,,,,,,8.731707,,,,
SNDK,SHORT,0.26831473790574034,2.683147379057403,0.0,1.6099,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,6,1.0,99.0,3.1e-05,5e-06,11112.20651372155,394.3791746773945,7.302164,1,0,2e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.282191,0.313611,0.0,0.0,False,,,,,,,,,,,,,,,,,1.527778,,,,
DELL,SHORT,0.26359165931662454,2.6359165931662454,1.75,3.083,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",6.2,NEGATIVE,unknown,-2546525.73,,300.0,100.0,21.28,59.57,240442.0,301069.0,1.252,202093.0,41465.0,297953.0,98.2,0.792,1,0.7,0.0,0.0,4e-06,0.0,2.3504934846647078e-07,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.566659,0.0,0.0,False,0.0,0.44,1.0,0.0,0.15,0.16,False,default,2.5,False,1.0,0.26359165931662454,0.26359165931662454,n/a,2026-05-21,2026-05-21,1.241611,,,,
MSTR,SHORT,0.26194373467224213,2.6194373467224215,0.0,1.5717,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,0.00035994220859093985,4.4e-05,7e-06,1.4230678453238992e-07,0.0011860802745763776,12.931413,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.01622,0.004902,0.0,0.0,False,,,,,,,,,,,,,,,,,1.364606,,,,
AMD,SHORT,0.25635892763974133,2.5635892763974133,3.11,3.5348,price_validation_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",6.6,NEGATIVE,trend_continuation,-13132262.13,441.43,450.0,200.0,2.08,54.63,1566622.0,1661283.0,1.06,1201299.0,183465.0,1843141.0,81.9,0.649,1,0.7,0.0,0.0,0.0,0.0,262118.73754335928,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.002842,0.0,0.0,False,0.0,0.28,1.0,1.4,0.31,0.13,False,default,2.5,False,1.0,0.25635892763974133,0.25635892763974133,n/a,2026-05-21,2026-05-21,4.993421,,,,
