ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
DELL,LONG,0.8665025442594109,8.665025442594109,0.0,5.199,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.774541258088431,24.0,1.0,4.002436629305368,0.002066,0.000168,38657.64198726972,36702.40235062,10.127601,6.578731,8.0,0.0,0.79218,0.623451
PDD,LONG,0.7432746935264533,7.432746935264532,0.0,4.4596,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.71,0.0,0.0,0.0,0.0,7.923722700947755,18.0,1.0,1.5336649894058205,0.00401,0.001284,68665.9655499389,44772.46727562176,1.386697,0.797517,3.0,4.0,0.46454,0.612689
KWEB,LONG,0.7413431520593343,7.413431520593344,0.0,4.4481,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.37,0.0,0.0,0.0,0.0,2.10624266423396,16.0,1.0,18.133017611429164,0.002113,0.00023,61162.99968734381,14616.412501842484,1.211631,0.801969,8.0,1.0,0.845597,0.15613
LUV,LONG,0.7352480217755389,7.35248021775539,0.0,4.4115,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.0,0.0,20040851.789083242,3.0,1.0,99.0,0.00363,0.0,379906.7636872905,0.0,212.550995,,0.0,0.0,0.138213,0.0
WULF,LONG,0.6439413490796986,6.439413490796985,5.03,5.8887,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",5.8,POSITIVE,ema_pullback,9350490.41,16.64,20.0,11.0,20.23,33.87,1124384.0,601640.0,0.535,611046.0,523626.0,591352.0,1.56,0.63,0.0,1.2,1.32,0.32,1.2731292484940453,6.0,1.0,29.36549441155955,0.001535,5.7e-05,93812.24102235322,15973.209867943617,12.701623,0.109231,1.0,0.0,0.681511,0.0
DDOG,LONG,0.6404612149483222,6.404612149483222,0.0,3.8428,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,13.697076086564076,6.0,1.0,99.0,0.000935,0.000402,55629.85673812303,336.75674533196883,2.991797,1.185534,1.0,0.0,0.570349,0.445388
AG,LONG,0.6265883113478057,6.265883113478057,0.0,3.7595,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.0,0.0,1.2200177046314364,3.0,1.0,99.0,0.001398,0.0,136652.9016819606,0.0,22.874152,,2.0,0.0,0.549553,0.0
GEV,LONG,0.6159209182054268,6.159209182054268,0.0,3.6955,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,83.6856290519636,19.0,1.0,1.526686942884886,0.000608,0.000649,54436.282560068175,49027.66010342273,1.433502,1.948512,3.0,3.0,0.488451,0.360831
XOP,LONG,0.6104414940622275,6.1044149406222745,0.0,3.6626,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.4061066189208433,8.0,1.0,99.0,0.000797,0.0,7568.708412857902,0.0,14.767827,,3.0,0.0,0.696992,0.0
DOW,LONG,0.60583688137708,6.0583688137708,0.0,3.635,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,14.157532367595755,11.0,1.0,0.2143472246157622,0.000729,0.002725,61512.95759916892,239148.41020777056,2.468332,168.902873,1.0,0.0,0.521266,0.06264
