ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
W,SHORT,0.27560392683902035,2.7560392683902037,0.0,1.6536,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7,2.1918224259077064e-11,2.3e-05,2.1e-05,1.345876923940937e-14,0.0006140446908620184,13.076923,9.285714,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.511184,0.627355,0.0,0.0,,,,,,,False
IAU,SHORT,0.2727751955971057,2.7277519559710575,1.49,3.0309,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",6.1,NEUTRAL,unknown,,,100.0,70.0,15.22,19.35,158276.0,35069.0,0.222,42721.0,25305.0,125319.0,58.8,0.252,0.0,0.0,1.0,0.0,0.11,0.38,True,default,2.5,False,,,,,1,0.7,0.0,0.0,4e-06,0.0,3.392099111698528e-58,,11.863636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.561893,0.0,0.0,1.0,0.2727751955971057,0.2727751955971057,n/a,2026-08-21,2026-08-21,False
MRVL,SHORT,0.2652650386081557,2.652650386081557,3.76,3.5743,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,5.6,POSITIVE,bounce_and_fail,55160919.61,237.11,250.0,200.0,5.47,15.63,843626.0,926507.0,1.098,807015.0,118576.0,844542.0,54.1,0.788,0.0,0.66,1.0,1.0,0.75,0.36,False,default,2.5,False,,,,,1,1.0,0.0,0.0,2e-06,0.0,2.491066005540474e-06,,1.921348,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.476499,0.0,0.0,1.0,0.2652650386081557,0.2652650386081557,n/a,2026-08-21,2026-08-21,False
KWEB,SHORT,0.2625964594785837,2.6259645947858368,5.27,3.574,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.4,POSITIVE,trend_continuation,9418557.03,26.68,30.0,25.0,12.53,6.23,1990583.0,886763.0,0.445,1448664.0,50156.0,1378526.0,8.0,0.273,1.62,0.53,0.16,1.4,1.32,0.24,False,default,2.5,False,,,,,1,0.7,0.0,0.0,7.7e-05,0.0,2.7482956712433645e-06,,3.181639,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.57331,0.0,0.0,1.0,0.2625964594785837,0.2625964594785837,n/a,2026-08-21,2026-08-21,False
KTOS,SHORT,0.2567764740438627,2.5677647404386272,4.96,3.7119,price_validation_failed,"consolidation_breakdown, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.7,NEUTRAL,unknown,,,85.0,50.0,48.68,12.54,97949.0,49007.0,0.5,74909.0,2063.0,69984.0,8.1,0.612,0.0,0.98,1.0,1.2,1.61,0.18,False,consolidation_break,3.0,False,,,,,1,0.7,0.0,0.0,4.7e-05,0.0,1.1207044550651538e-15,,1.775801,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.626032,0.0,0.0,1.0,0.2567764740438627,0.2567764740438627,n/a,2026-08-21,2026-08-21,False
CRWV,SHORT,0.24958135959689456,2.495813595968946,6.82,4.4539,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,5.8,NEGATIVE,retest_and_confirm,-5543240.28,,110.0,70.0,25.21,20.32,1321448.0,1054440.0,0.798,943325.0,251080.0,1181483.0,0.5,0.753,1.65,0.93,0.79,1.4,1.96,0.08,False,sustained_trend,5.0,False,,,,,2,1.0,0.021349086117781673,1.8e-05,5.5e-05,98.50861829780008,4614.184314697769,5.283678,1.169447,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.000264,0.023365,0.0,0.0,1.0,0.24958135959689456,0.24958135959689456,n/a,2026-08-21,2026-08-21,False
LLY,SHORT,0.24478523012415054,2.4478523012415057,0.0,1.4687,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.0,99.0,4e-06,2e-06,72088.56528147215,5.4356832944122665e-15,3.967312,14.190476,1,0,0.002936,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.455357,0.448461,0.0,0.0,,,,,,,False
XLV,SHORT,0.24085647059231302,2.4085647059231303,1.82,2.8103,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.3,POSITIVE,unknown,2786204.14,174.64,180.0,70.0,3.08,59.91,279044.0,392801.0,1.408,247244.0,16242.0,408359.0,62.3,0.169,0.0,0.1,1.0,0.0,0.37,0.35,False,default,2.5,False,,,,,1,0.7,0.0,0.0,7e-06,0.0,16340.180330314164,,24.285714,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.698962,0.0,0.0,1.0,0.24085647059231302,0.24085647059231302,n/a,2026-08-21,2026-08-21,False
SPCX,SHORT,0.23459392223941955,2.3459392223941955,4.71,4.086,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",7.5,NEGATIVE,trend_continuation,-52650541.97,,150.0,100.0,9.51,26.99,2300707.0,2496851.0,1.085,2503355.0,494606.0,1799597.0,61.8,0.581,0.0,0.88,1.0,1.4,1.32,0.1,False,default,2.5,False,,,,,1,1.0,0.0,0.0,0.0,0.0,20616.93595694444,,19.596154,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.533305,0.0,0.0,1.0,0.23459392223941955,0.23459392223941955,n/a,2026-08-21,2026-08-21,False
NVDA,SHORT,0.23351746769016277,2.3351746769016275,0.0,1.4011,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.8180581243346403,0.0,0.0,8.171912074428877e-06,9.989402746993586e-06,1.322783,10.191176,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.217592,0.884074,0.0,0.0,,,,,,,False
