ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_score_z_shadow,bearish_score_z_shadow
CTRA,LONG,0.5933333333333333,5.933333333333333,3.75,5.2117,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.6,NEUTRAL,bounce_and_fail,,,34.0,20.0,7.94,36.51,107019.0,16918.0,0.158,65136.0,30627.0,28174.0,94.9,0.398,0.0,0.45,1.0,1.0,1.3,0.0,3,1.0,1.3356274547088577e-24,0.000122,1.6e-05,7.400315392597817e-20,110814.06520220042,134.233264,517.241379,0,0,0.017348,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BP,LONG,0.45586008206104933,4.5586008206104935,5.42,4.8853,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.9,POSITIVE,trend_continuation,11593388.98,45.19,55.0,38.0,21.72,15.9,286538.0,153795.0,0.537,55778.0,117307.0,267248.0,93.2,0.349,1.66,0.87,0.67,1.4,0.81,0.0,16,1.0,0.04862417814991459,1.4e-05,9e-06,0.00022784589089369227,0.0036445545701301535,3.380744,44.060504,0,2,0.121762,0.0,,,,,,,,,,,,,,,,,,,,,,,,
IDYA,LONG,0.4383821597168194,4.383821597168193,5.53,4.6909,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.2,NEUTRAL,trend_continuation,,,35.0,20.0,3.03,41.12,37604.0,7591.0,0.202,40422.0,4446.0,327.0,1.6,0.508,1.69,0.61,0.19,1.4,1.65,0.0,4,1.0,99.0,6.1e-05,0.0,2163.916087690721,0.0,1.28038,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DVA,LONG,0.42426220112785673,4.242622011278567,6.24,5.1133,watchlist_reeval_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,5.6,NEUTRAL,retest_and_confirm,,,165.0,110.0,10.57,26.29,11035.0,9879.0,0.895,4809.0,5144.0,10961.0,93.0,0.447,1.66,0.96,0.84,1.4,1.39,0.0,2,1.0,99.0,2.6e-05,0.0,0.025116179218283328,0.0,4.613082,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,LONG,0.4147039300310869,4.147039300310869,5.06,4.8115,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.1,NEGATIVE,trend_continuation,-3081703.51,,490.0,240.0,24.82,38.86,155141.0,146472.0,0.944,89635.0,81101.0,130877.0,95.5,0.59,1.81,0.43,0.21,1.4,1.2,0.0,18,1.0,5.235080892574826,4e-06,2e-06,12921.060478491601,4936.336512705346,0.819715,4.647333,3,2,0.762343,0.542345,,,,,,,,,,,,,,,,,,,,,,,,
TVTX,SHORT,0.6058333333333333,6.058333333333334,3.78,5.3632,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_continuation","confirmation_volume, not_extended, trend_aligned",6.0,NEUTRAL,trend_continuation,,,40.0,37.5,0.2,6.06,14750.0,14209.0,0.963,14886.0,4425.0,9648.0,19.6,0.541,0.0,0.0,1.0,1.4,1.31,0.07,2,1.0,0.0,0.0,0.000241,0.0,174.91696666290275,,103.190476,0,1,0.0,0.000396,,,,,,,,,,,,,,,,,,,,,,,,
WEX,SHORT,0.45,4.5,1.51,3.723,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.1,NEUTRAL,unknown,,,185.0,150.0,3.55,16.04,1356.0,3878.0,2.86,2948.0,0.0,2286.0,78.1,0.447,0.0,0.0,1.0,0.0,0.1,0.41,1,1.0,0.0,0.0,0.0003,0.0,6.757506352215963e-29,,250.0,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4e-06,0.0,0.435826,0.0,0.0,0.0,,
XPEV,LONG,0.6557372525862608,6.557372525862608,4.24,5.8507,watchlist_reeval_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,6.5,POSITIVE,ema_pullback,1463554.16,17.68,20.0,17.0,13.09,3.87,257959.0,132920.0,0.515,47353.0,120351.0,223175.0,60.0,0.591,0.0,0.91,1.0,1.2,0.73,0.39,9,1.0,42.183876448609034,8.9e-05,3.9e-05,21641.567980907937,1795.6028300399453,4.294693,8.88567,1,0,0.080493,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EOSE,LONG,0.6065024774279698,6.065024774279698,4.25,5.1475,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,4.2,POSITIVE,trend_continuation,2011383.09,,10.0,5.5,41.54,22.15,1031786.0,366789.0,0.355,276882.0,153710.0,967983.0,77.1,1.227,0.0,0.33,1.0,1.4,1.17,0.35,5,1.0,99.0,0.000231,2.3e-05,18407.517635496235,0.06742628102715427,2.269779,0.14862,0,0,0.118891,0.0,,,,,,,,,,,,,,,,,,,,,,,,
NU,LONG,0.5243061154191339,5.243061154191339,3.54,4.6235,watchlist_reeval_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.7,POSITIVE,ema_pullback,3933252.58,15.18,17.0,13.0,12.03,14.33,674791.0,453297.0,0.672,196023.0,333364.0,598701.0,94.4,0.498,0.0,0.68,1.0,1.2,0.56,0.11,16,1.0,2.3790437100301043,1.9e-05,9e-06,4396.043200946462,3079.699056118389,1.779884,1.080208,3,0,0.819045,0.495591,,,,,,,,,,,,,,,,,,,,,,,,
SYF,LONG,0.5184372457895943,5.184372457895943,6.93,5.4312,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",3.8,NEUTRAL,trend_continuation,,,80.0,60.0,0.97,24.27,20859.0,39161.0,1.877,25546.0,16539.0,17935.0,59.0,0.367,2.42,0.0,1.0,1.4,1.98,0.13,9,1.0,99.0,3.9e-05,8e-06,15530.503567729043,0.03892014726152703,333.625821,0.213994,0,0,0.350649,0.0,,,,,,,,,,,,,,,,,,,,,,,,
PSKY,LONG,0.4433333333333333,4.433333333333333,6.1,4.9067,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.3,POSITIVE,trend_continuation,313526.53,11.76,17.0,10.0,44.5,15.0,423168.0,471978.0,1.115,62376.0,110411.0,722359.0,78.0,0.615,2.04,0.0,1.0,1.4,1.67,0.0,2,1.0,99.0,0.000228,0.0,0.027541932074440303,0.0,0.105648,,0,0,0.062377,0.0,,,,,,,,,,,,,,,,,,,,,,,,
URA,SHORT,0.6228232142857143,6.228232142857143,2.51,5.6271,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned",8.8,NEGATIVE,unknown,-1810461.98,55.23,60.0,50.0,8.64,9.47,166221.0,114613.0,0.69,19560.0,104584.0,156690.0,46.7,0.542,0.0,0.21,1.0,0.0,0.82,0.47,10,1.0,99.0,0.000149,0.000386,0.06825477516013012,0.0009036085056263156,3.722177,8.564394,0,0,0.439896,0.139525,,,,,,,,,,,,,,,,,,,,,,,,
TLN,SHORT,0.4778655242321543,4.778655242321543,3.53,4.4883,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.2,NEUTRAL,bounce_and_fail,,,370.0,260.0,4.39,26.65,36897.0,24910.0,0.675,15059.0,10368.0,36380.0,73.0,0.586,0.0,0.49,0.97,1.0,0.83,0.24,5,1.0,0.0,0.0,4.5e-05,0.0,33.47827003882044,12.5,2.161804,0,1,0.0,6e-06,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.634923,0.286864,0.0,0.0,,
NOW,LONG,0.4444159791053224,4.444159791053224,5.65,4.6571,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",3.7,NEGATIVE,support_ema_confluence,-8212865.02,,100.0,85.0,1.03,14.12,511227.0,407165.0,0.796,246825.0,205609.0,465958.0,97.5,0.687,0.0,0.98,1.0,1.6,1.75,0.32,18,1.0,0.23443242502988365,1.8e-05,8e-06,3708.0404422145416,31634.19430347034,1.627364,0.800873,0,3,0.377887,0.019237,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2e-06,0.349789,0.499512,0.0,0.0,,
CRM,LONG,0.39396805701241644,3.9396805701241644,5.26,4.7478,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",6.0,NEGATIVE,support_ema_confluence,-8525930.29,,190.0,180.0,2.15,3.23,459352.0,352455.0,0.767,211277.0,207660.0,392870.0,64.6,0.437,0.0,0.73,1.0,1.6,1.68,0.25,14,1.0,40.11930959777648,1.3e-05,3e-06,14680.743369579166,914.8177970136862,0.692492,0.303166,2,2,0.328717,0.339338,,,,,,,,,,,,,,,,,,,,,,,,
REGN,LONG,0.39076942509576035,3.9076942509576034,4.13,4.3928,watchlist_reeval_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",6.0,NEUTRAL,pullback_to_support,,,1000.0,700.0,33.26,6.72,18168.0,17865.0,0.983,7866.0,8786.0,19381.0,83.6,0.44,0.0,0.86,0.72,1.4,1.05,0.1,8,1.0,0.3873555579843729,9e-06,6e-06,274.84498443743655,1182.5697724488941,2.659041,16.705276,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SOFI,SHORT,0.6797794,6.797794000000001,1.88,4.7029,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",3.7,POSITIVE,unknown,25621173.75,19.45,20.0,15.0,2.88,22.84,2653794.0,1406568.0,0.53,1069101.0,794323.0,2196938.0,81.1,0.697,0.0,0.0,1.0,0.0,0.51,0.37,3,1.0,0.06938494863614161,1e-05,0.000126,91745.85619938455,2644546.3462257423,0.411069,2.16299,1,0,0.459604,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.039101,0.0,0.0,0.0,,
NNE,SHORT,0.5802375686488505,5.802375686488505,3.02,4.4872,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended","confirmation_volume, room_to_target, trend_aligned",3.4,NEUTRAL,ema_rally,,,26.0,25.0,3.54,0.44,56156.0,23282.0,0.415,14917.0,20321.0,44200.0,67.0,0.982,0.0,0.4,0.15,1.2,0.96,0.31,3,1.0,0.10100956799606706,5.4e-05,9.1e-05,310.1228570844489,1535.1162431291855,4.904255,10.663121,0,0,0.0,0.11339,,,,,,,,,,,,,,,,,,,,,,,,
SWK,SHORT,0.345154982907337,3.45154982907337,3.24,3.7578,watchlist_reeval_failed,"confirmation_volume, ema_rally, not_extended, room_to_target","momentum_aligned, trend_aligned",5.3,NEUTRAL,ema_rally,,,115.0,60.0,53.01,20.17,73870.0,18457.0,0.25,6133.0,15913.0,70281.0,90.3,0.478,0.0,0.41,0.99,1.2,0.06,0.58,1,1.0,0.0,0.0,2.5e-05,0.0,226492.00094540944,,3.463636,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SMR,LONG,0.563952318257179,5.639523182571789,5.1,5.2698,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,4.6,POSITIVE,trend_continuation,1149181.35,12.57,20.0,10.0,58.92,20.54,300676.0,162785.0,0.541,157282.0,122067.0,184112.0,74.2,1.107,0.0,0.51,1.0,1.4,1.57,0.62,5,1.0,1.8726116634177907,0.00015,8.3e-05,73284.19800154926,58702.131974171454,1.055384,0.704751,0,0,0.037987,0.026525,,,,,,,,,,,,,,,,,,,,,,,,
CNK,LONG,0.5506904931672938,5.506904931672938,5.0,5.7135,watchlist_reeval_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",7.3,NEUTRAL,ema_pullback,,,35.0,23.0,16.2,23.64,63740.0,15803.0,0.248,3165.0,66441.0,9937.0,62.5,0.452,1.65,0.59,0.13,1.2,1.18,0.25,2,1.0,99.0,7.8e-05,0.0,240.165294567037,0.0,75.956739,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
CELH,LONG,0.5432373453809393,5.432373453809393,4.19,4.9532,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.9,POSITIVE,retest_and_confirm,1247188.75,34.23,60.0,30.0,75.28,12.36,314161.0,135643.0,0.432,70200.0,131168.0,248436.0,98.1,0.804,0.0,0.47,1.0,1.4,0.69,0.64,6,1.0,99.0,0.000113,1.2e-05,20884.351394740937,0.00027148440874783794,1.38423,0.895238,0,0,0.017092,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.209357,0.0,0.0,0.0,0.48834176161234305,0.3498356837330293
MGNI,LONG,0.5355167960973193,5.355167960973192,6.11,5.5506,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",5.2,NEUTRAL,trend_continuation,,,30.0,10.0,115.75,28.08,36462.0,9005.0,0.247,18092.0,7038.0,20337.0,92.4,0.882,1.76,0.0,1.0,1.4,1.86,0.08,3,1.0,99.0,0.000115,0.0,20962.30671250445,0.0,1.15718,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
CAT,LONG,0.4869529623868778,4.869529623868778,5.13,4.4338,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",2.3,NEUTRAL,trend_continuation,,,800.0,700.0,0.76,11.84,96371.0,110076.0,1.142,57551.0,54184.0,94712.0,93.6,0.436,1.82,0.2,0.0,1.4,1.67,0.04,19,1.0,11.623995499313024,5e-06,2e-06,17859.02626644145,3328.8516769393095,3.860533,0.825023,0,1,0.418366,0.290029,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.444478,0.314532,0.0,0.0,0.5393535089139517,0.5457634906361208
ARRY,LONG,0.46274423150424887,4.627442315042488,4.28,4.8977,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal","confirmation_volume, trend_aligned",6.5,NEUTRAL,unknown,,,15.0,5.0,92.55,35.82,40254.0,18867.0,0.469,13210.0,13832.0,32079.0,84.6,0.945,0.0,0.64,1.0,1.4,1.22,0.02,1,0.7,99.0,5.7e-05,0.0,39952.359504778084,0.0,16.207407,,1,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BX,LONG,0.4209048664819141,4.209048664819141,5.71,5.1775,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.8,NEGATIVE,trend_continuation,-6322931.9,,140.0,100.0,8.59,22.44,150261.0,231584.0,1.541,51837.0,82051.0,247957.0,76.3,0.428,2.04,0.05,1.0,1.4,1.22,0.0,22,1.0,73.55466861093741,3e-05,4e-06,27108.73127452548,1253.0773107130985,0.21383,7.691045,1,2,0.324558,0.48984,,,,,,,,,,,,,,,,,,,,,,,,
EAT,SHORT,0.6211747198937296,6.211747198937296,2.9,4.9359,watchlist_reeval_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",4.8,NEUTRAL,unknown,,,160.0,40.0,0.98,74.75,4582.0,11512.0,2.512,4920.0,756.0,10418.0,93.5,0.575,0.0,0.48,1.0,0.0,0.57,0.85,7,1.0,0.22590549761296486,8e-06,6.9e-05,38827.389202825354,28645.74612916741,4.428571,3.790753,0,1,0.0,0.244838,,,,,,,,,,,,,,,,,,,,,,,,
RVMD,SHORT,0.45203956133766615,4.520395613376661,0.0,2.7122,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.06115765189607717,2e-06,3.5e-05,2506.527438952538,40984.69057006608,1.344828,44.448276,1,1,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.712038,0.0,0.0,,
APA,SHORT,0.3912185932335045,3.9121859323350447,3.68,3.8601,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.0,POSITIVE,ema_rally,2039652.61,35.7,40.0,17.5,10.36,51.72,144917.0,72717.0,0.502,30090.0,72749.0,114795.0,90.9,0.541,0.0,0.52,1.0,1.2,0.96,0.0,6,1.0,99.0,1.9e-05,4.8e-05,5205.311820983592,0.004572726868251583,2.993042,1.02335,0,0,0.478479,0.001352,,,,,,,,,,,,,,,,,,,,,,,,
BWXT,SHORT,0.3874848179658023,3.874848179658023,4.37,4.2684,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.1,NEUTRAL,bounce_and_fail,,,230.0,190.0,0.33,17.12,9664.0,5006.0,0.518,6783.0,26.0,7861.0,82.4,0.528,0.0,0.65,1.0,1.0,1.64,0.08,1,1.0,0.0,0.0,3e-05,0.0,643984.9676025393,,18.56,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
QBTS,LONG,0.5219694231510242,5.219694231510243,6.86,5.6478,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.9,POSITIVE,trend_continuation,1301674.25,21.0,30.0,5.0,42.79,76.2,279870.0,195446.0,0.698,132129.0,88261.0,254926.0,70.7,1.062,2.2,0.0,1.0,1.4,1.59,0.67,5,1.0,99.0,0.00013,0.0,31139.17258961976,0.0,1.706365,1.753676,1,0,0.70358,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.041043,0.0,0.0,0.3248371133098492,0.4821498517100328
LMND,LONG,0.5072593051955466,5.072593051955466,6.14,5.6383,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.3,NEUTRAL,trend_continuation,,,75.0,60.0,7.23,14.21,77109.0,45905.0,0.595,26605.0,27836.0,68573.0,76.4,0.949,1.7,0.16,1.0,1.4,1.57,0.3,3,1.0,0.4543217939391995,0.000228,3e-05,6626.034976346727,29168.90655363748,1.510479,0.312413,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ENPH,LONG,0.49177613498113476,4.9177613498113475,4.4,5.0789,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, trend_continuation","room_to_target, trend_aligned",6.5,NEGATIVE,trend_continuation,-158490.39,33.66,50.0,30.0,48.5,10.9,191215.0,146538.0,0.766,99101.0,93405.0,145247.0,85.0,0.882,0.0,0.7,0.0,1.4,1.85,0.45,3,1.0,99.0,7.4e-05,0.0,18875.57965004007,0.0,1.451559,,0,0,0.301031,0.0,,,,,,,,,,,,,,,,,,,,,,,,
C,LONG,0.48239940092687783,4.8239940092687785,5.52,5.608,watchlist_reeval_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",7.7,NEGATIVE,trend_continuation,-9806068.48,,140.0,100.0,5.49,24.65,747621.0,671711.0,0.898,360925.0,359967.0,698440.0,60.5,0.32,2.22,0.0,0.0,1.4,1.75,0.16,11,1.0,2.4775667208812964,6e-06,2e-06,28946.296104912803,31155.61825070721,9.682971,0.522464,1,0,0.633093,0.517832,,,,,,,,,,,,,,,,,,,,,,,,
JAZZ,LONG,0.4764931118734032,4.764931118734032,5.56,5.1705,watchlist_reeval_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",5.6,NEUTRAL,trend_continuation,,,210.0,170.0,2.68,16.87,4869.0,2688.0,0.552,2679.0,2393.0,2485.0,50.2,0.361,2.46,0.0,0.0,1.4,1.56,0.15,3,1.0,99.0,3.4e-05,0.0,20943.50587094614,0.0,2.920471,,1,0,0.159178,0.0,,,,,,,,,,,,,,,,,,,,,,,,
NUAI,LONG,0.4625,4.625,3.63,4.3015,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.5,POSITIVE,trend_continuation,246925.5,4.62,5.0,2.5,9.05,45.47,184176.0,56081.0,0.304,124179.0,2102.0,113976.0,11.1,1.299,0.0,0.98,0.35,1.4,0.74,0.16,1,1.0,99.0,0.000399,0.0,19132.72380571758,0.0,0.226657,,1,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
STNE,LONG,0.45339945310648666,4.533994531064867,5.93,5.126,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, volume_capitulation_reversal",confirmation_volume,5.4,NEUTRAL,unknown,,,20.0,12.0,31.97,20.82,78014.0,90199.0,1.156,9816.0,70310.0,88087.0,85.6,0.575,1.62,0.56,1.0,1.4,1.08,0.27,2,1.0,0.8788145430294105,4.9e-05,3.1e-05,6.151394770536775e-30,6.999650630873677e-30,38.904762,89.119048,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,LONG,0.3906480644157723,3.9064806441577233,4.85,5.1882,watchlist_reeval_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,8.9,NEGATIVE,ema_pullback,-14653795.78,248.62,400.0,220.0,60.92,11.49,291865.0,203384.0,0.697,88822.0,118320.0,288107.0,58.1,0.425,0.0,0.75,1.0,1.2,1.45,0.46,18,1.0,3.8329655323933305,1.7e-05,5e-06,6786.668261143977,4603.573220225769,0.414559,0.163153,1,2,0.440722,0.16005,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.819711,0.0,0.0,,
SEI,SHORT,0.7554913744686688,7.554913744686687,2.61,5.9805,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",7.1,NEUTRAL,unknown,,,75.0,60.0,14.39,8.49,14655.0,17927.0,1.223,18974.0,1816.0,11792.0,52.3,0.944,0.0,0.5,1.0,0.0,1.05,0.05,7,1.0,0.00010213561676440089,4.5e-05,0.000755,20.838467737626427,153020.5749799439,5.404584,35.571289,0,0,7e-06,0.08424,,,,,,,,,,,,,,,,,,,,,,,,
TTWO,SHORT,0.6591666666666667,6.591666666666667,1.51,4.7888,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",5.2,NEUTRAL,unknown,,,290.0,180.0,34.25,16.67,71530.0,62139.0,0.869,15974.0,49492.0,68203.0,98.5,0.459,0.0,0.12,1.0,0.0,0.33,0.06,9,1.0,8.297436825421562e-12,2e-05,0.000284,2.704434520449616e-07,16296.806937799212,39.182662,9.708077,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EWI,SHORT,0.6000000000000001,6.000000000000001,2.92,5.036,watchlist_reeval_failed,"bounce_and_fail, momentum_aligned, room_to_target","confirmation_volume, not_extended, trend_aligned",5.8,NEUTRAL,bounce_and_fail,,,60.0,52.0,2.57,11.1,1344.0,6655.0,4.952,69.0,7590.0,340.0,94.4,0.323,0.0,0.0,1.0,1.0,0.92,0.0,1,1.0,0.0,0.0,0.000318,0.0,42906.06932058575,,592.285714,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
HPQ,SHORT,0.5805846810623791,5.805846810623791,2.79,4.5399,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.0,POSITIVE,ema_rally,353639.48,19.82,20.0,18.0,0.93,9.16,140246.0,159702.0,1.139,111101.0,54427.0,134420.0,84.5,0.468,0.0,0.52,0.78,1.2,0.3,0.0,10,1.0,0.1874588223346963,2.8e-05,7.1e-05,35.62398806871223,285.0545065713773,3.763966,3.823282,0,0,0.611641,0.350719,,,,,,,,,,,,,,,,,,,,,,,,
BAX,SHORT,0.5532305259434824,5.532305259434825,1.85,4.2812,watchlist_reeval_failed,"ema_rally, not_extended","confirmation_volume, momentum_aligned, room_to_target, trend_aligned",4.8,NEUTRAL,ema_rally,,,20.0,17.5,6.41,6.89,59465.0,40436.0,0.68,27350.0,11934.0,60617.0,96.0,0.584,0.0,0.15,0.0,1.2,0.45,0.04,2,1.0,0.0,0.0,7.1e-05,0.0,47318.322329437884,,23.022574,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
GSAT,SHORT,0.5373571598339604,5.373571598339604,3.87,4.7678,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned,4.6,NEUTRAL,unknown,,,90.0,60.0,12.74,24.84,64525.0,37820.0,0.586,41654.0,14189.0,46502.0,0.3,0.142,0.0,0.11,1.0,1.4,0.95,0.41,3,1.0,99.0,7e-06,7.8e-05,192.44640413957745,0.1308136978903812,1.144263,7.709447,0,0,1.9e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EOSE,SHORT,0.47370950446240295,4.73709504462403,5.77,4.8995,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, shooting_star_at_resistance, trend_aligned",none,4.0,POSITIVE,unknown,2011383.09,,10.0,5.5,41.54,22.15,1031786.0,366789.0,0.355,276882.0,153710.0,967983.0,77.1,1.227,2.06,0.33,1.0,1.2,0.83,0.35,2,1.0,0.2624852978650618,3.1e-05,8.8e-05,11249.245675998305,42856.66956395138,0.20878,0.390922,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
