ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_score_z_shadow,bearish_score_z_shadow
WHR,SHORT,0.3447273015012889,3.4472730150128887,6.53,4.7626,price_validation_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.4,NEUTRAL,ema_rally,,,70.0,50.0,25.29,10.51,40398.0,36959.0,0.915,10626.0,21876.0,44855.0,98.7,0.64,2.0,0.9,0.64,1.2,1.22,0.57,4,1.0,0.0,0.0,0.000145,0.0,0.0008619327610593728,,2.328459,0,2,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.616855,0.0,0.0,,
SVIX,SHORT,0.34176511365767154,3.4176511365767155,3.75,4.0538,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.1,NEUTRAL,bounce_and_fail,,,19.0,14.0,1.85,24.95,40130.0,36658.0,0.913,28931.0,19246.0,28611.0,56.1,0.636,0.0,0.55,0.89,1.0,1.32,0.0,3,1.0,0.0,0.0,0.000386,0.0,0.021324514978410102,,11.29965,0,2,0.0,0.003554,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.724083,0.0,0.0,,
AGIO,SHORT,0.3414994530821066,3.4149945308210663,5.29,4.3145,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, pullback_to_resistance, room_to_target",trend_aligned,5.1,NEUTRAL,pullback_to_resistance,,,30.0,25.0,10.19,8.17,36662.0,5668.0,0.155,4824.0,1.0,37505.0,79.0,0.708,0.0,0.13,1.0,1.4,1.76,1.0,1,1.0,0.0,0.0,2.1e-05,0.0,2.5649474945873152e-20,,0.217949,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.902514,0.0,0.0,,
NRG,SHORT,0.3408919490749355,3.408919490749355,0.0,2.0454,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,99.0,7e-06,5e-06,41134.67347631279,0.21625824683968384,2.245009,44.086957,0,0,1e-06,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1e-06,0.0,0.446829,0.18043,0.0,0.0,,
XYZ,SHORT,0.33860386422817335,3.3860386422817337,1.3,2.863,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",3.9,POSITIVE,unknown,15032073.66,73.0,145.0,45.0,98.51,38.39,250054.0,138543.0,0.554,120012.0,53225.0,215360.0,76.0,0.63,0.0,0.0,1.0,0.0,0.05,0.26,3,1.0,0.0,0.0,1e-05,0.0,53594.6248902432,,5.962236,0,1,0.0,0.000141,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1e-06,0.0,0.295548,0.0,0.0,,
SOXX,SHORT,0.3378166601205246,3.378166601205246,2.35,3.5741,price_validation_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",5.9,NEUTRAL,bounce_and_fail,,,450.0,290.0,8.55,30.05,40142.0,101666.0,2.533,83518.0,20258.0,38032.0,78.3,0.397,0.0,0.0,1.0,1.0,0.32,0.02,4,1.0,0.0,0.0,2.1e-05,0.0,13210.479447022852,,3.120809,0,0,0.0,0.001008,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1e-06,0.0,0.506056,0.0,0.0,,
SIG,SHORT,0.33638015120367254,3.3638015120367255,1.88,3.7859,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",7.7,NEUTRAL,unknown,,,105.0,85.0,9.14,11.65,20142.0,4305.0,0.214,1062.0,20312.0,3073.0,50.0,0.458,0.0,0.33,1.0,0.0,0.09,0.46,1,1.0,0.0,0.0,1.4e-05,0.0,9.871357305870823e-18,,6.733333,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.453945,0.0,0.0,,
FRMI,SHORT,0.33294613495086917,3.3294613495086915,6.5,4.5947,price_validation_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.9,POSITIVE,ema_rally,613740.62,5.31,7.5,5.0,41.64,5.57,231088.0,83121.0,0.36,186416.0,23954.0,103839.0,32.0,1.456,1.81,0.5,0.26,1.2,1.74,1.0,1,1.0,0.0,0.0,1.2e-05,0.0,34594.823312257446,,6.401961,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,7e-06,0.0,0.793432,0.0,0.0,,
PLTR,SHORT,0.3197838431313366,3.1978384313133663,5.13,4.4579,price_validation_failed,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",6.6,NEGATIVE,ema_rally,-18041399.94,,150.0,120.0,3.31,17.36,1605524.0,1731082.0,1.078,771171.0,733618.0,1831817.0,77.5,0.607,1.54,0.86,0.93,1.2,0.43,0.16,4,1.0,0.00013321773645454268,0.0,1e-06,20.141729021990727,50398.01645547301,0.042485,2.813425,0,0,0.0,0.435063,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.474048,0.359323,0.0,0.0,,
CIEN,SHORT,0.31224456150879804,3.1224456150879805,0.0,1.8735,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,32,1.0,0.0026418709296964654,0.000105,2.4e-05,0.02168007979081132,15.666640929259477,3.150589,0.292384,2,2,0.810482,0.362633,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.514122,0.473182,0.0,0.0,,
ADI,SHORT,0.3096589064254251,3.096589064254251,0.0,1.858,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,10,1.0,0.0002448117452000828,1e-05,2e-06,6.0320040951915095,57491.83402377364,7.287326,7.030254,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1e-06,0.516371,0.551627,0.0,0.0,,
SOXS,SHORT,0.30863480763465284,3.0863480763465283,0.0,1.8518,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,99.0,0.000314,0.000108,7.253848855239166,0.01326671530126211,135.055556,66.444444,0,1,0.002337,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.39989,0.222657,0.0,0.0,,
ZETA,SHORT,0.30711242687512036,3.0711242687512037,1.65,2.9306,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",4.5,POSITIVE,unknown,2065228.41,17.7,20.0,15.0,10.25,17.31,177868.0,53504.0,0.301,55319.0,60006.0,116047.0,78.3,0.827,0.0,0.23,1.0,0.0,0.25,0.17,9,1.0,0.0561607660663825,8.8e-05,0.00014,0.0033135108083749746,0.047200364816368454,1.010673,1.131063,1,0,0.115876,0.428326,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.386678,0.322932,0.0,0.0,,
NUE,SHORT,0.3021920403109419,3.021920403109419,0.0,1.8132,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5,1.0,99.0,4e-06,3e-06,6.531597809238426e-09,1.167540051569241e-11,4.139766,5.568841,1,0,0.016438,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.095609,0.09961,0.0,0.0,,
MRK,SHORT,0.29927399790477016,2.992739979047702,0.0,1.7956,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,15,1.0,0.00041199791989092677,2e-06,1e-06,0.6628988123381726,4424.711014105586,0.35005,2.624934,1,2,0.24769,0.000791,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.185001,0.583665,0.0,0.0,,
IBM,SHORT,0.2897797993725768,2.897797993725768,0.0,1.7387,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,19,1.0,99.0,4e-06,3e-06,15572.812129647245,0.010486272829340086,1.096557,0.520958,4,3,0.536911,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.339389,0.192171,0.0,0.0,,
CC,SHORT,0.28851132018902986,2.8851132018902987,2.26,3.2206,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",5.5,NEUTRAL,unknown,,,25.0,10.0,6.56,57.37,41564.0,16478.0,0.396,8599.0,27516.0,21927.0,82.0,0.731,0.0,0.29,1.0,0.0,0.72,0.25,1,1.0,0.0,0.0,2.5e-05,0.0,7.062670214433544e-08,,129.5,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.799643,0.0,0.0,,
IREN,SHORT,0.28476272910926304,2.84762729109263,0.0,1.7086,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,1.165834091943675,2.3e-05,1.9e-05,105048.42553358532,67579.35772733897,0.16833,1.575541,1,2,0.458048,0.543177,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.023798,0.002487,0.0,0.0,,
ABBV,SHORT,0.2842468920953438,2.842468920953438,5.11,3.9342,price_validation_failed,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",4.9,NEGATIVE,ema_rally,-12432635.99,,230.0,200.0,11.89,2.7,108528.0,119470.0,1.101,63971.0,54588.0,109439.0,94.9,0.331,1.67,0.54,0.02,1.2,1.52,0.15,13,1.0,2.9087118891533956,0.0,3e-06,4.553160625665991,0.695712405304409,1.497269,0.151071,0,4,0.454996,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.412202,0.351166,0.0,0.0,,
VLO,SHORT,0.28093675008107355,2.8093675008107355,4.42,3.8507,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.6,NEUTRAL,trend_continuation,,,270.0,100.0,19.48,55.75,66845.0,42978.0,0.643,23860.0,38687.0,47276.0,90.3,0.438,0.0,0.67,1.0,1.4,1.19,0.16,12,1.0,99.0,4e-06,1.1e-05,5827.946268643068,6.754185906507693e-10,0.437307,0.792152,2,2,0.0,0.432129,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.531439,0.298694,0.0,0.0,,
SLV,SHORT,0.27986265015331985,2.7986265015331986,0.0,1.6792,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,4,1.0,1.0945263068452875,2e-06,2e-06,36511.829344033096,33358.56718626506,0.640215,2.978682,0,0,0.278757,0.401075,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1e-06,0.0,0.380945,0.278346,0.0,0.0,,
ABVX,SHORT,0.274872257975732,2.7487225797573203,4.91,3.8674,price_validation_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target","confirmation_volume, trend_aligned",5.1,NEUTRAL,resistance_ema_confluence,,,150.0,110.0,28.48,5.78,42158.0,22579.0,0.536,35772.0,19820.0,9145.0,71.4,1.009,0.0,0.81,0.43,1.6,1.92,0.15,6,1.0,0.0010493027112188984,9e-06,2.3e-05,0.024910594227007758,11.870070457585559,0.231161,0.587914,1,3,0.002827,0.666844,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.926447,0.086643,0.0,0.0,,
IWM,SHORT,0.26588550541701006,2.6588550541701004,0.0,1.5953,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,17,1.0,1.0606903785596309,1.8e-05,1.4e-05,76853.83006337991,81513.47515635232,0.509211,0.670951,1,1,0.727512,0.787346,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4e-06,3e-06,0.409216,0.313915,0.0,0.0,,
SOXL,SHORT,0.26246460046753994,2.6246460046753994,2.43,3.3413,price_validation_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",6.5,NEGATIVE,bounce_and_fail,-475384.91,94.04,100.0,20.0,6.3,78.74,479743.0,457669.0,0.954,397157.0,52313.0,487942.0,71.9,1.132,0.0,0.0,1.0,1.0,0.33,0.1,1,1.0,0.0,0.0,7e-06,0.0,34.328126900911826,,13.397436,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.32394,0.0,0.0,,
WRBY,SHORT,0.25868287336265733,2.5868287336265734,0.0,1.5521,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3,1.0,1.9347470663236004,6.9e-05,3e-05,0.00586440934418926,0.006062197427525025,2.673645,0.049048,0,0,0.342177,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.363977,0.119551,0.0,0.0,,
VRT,SHORT,0.25693234639087315,2.5693234639087317,0.0,1.5416,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,14,1.0,1.883115763550334e-05,1.2e-05,1.3e-05,0.10602155387570379,7506.817932836726,0.339742,1.377142,1,0,0.20097,0.423669,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.527386,0.601586,0.0,0.0,,
GDX,SHORT,0.2539619033011959,2.539619033011959,4.47,4.2708,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",8.3,NEGATIVE,trend_continuation,-1018138.07,98.84,100.0,75.0,1.14,24.15,829494.0,898518.0,1.083,409007.0,471768.0,847237.0,63.0,0.466,0.0,0.67,1.0,1.4,1.39,0.01,4,1.0,0.0,0.0,0.0,0.0,25.512383428266872,,0.85581,0,0,0.0,0.453193,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.338298,0.0,0.0,,
DJT,SHORT,0.2519362801102819,2.519362801102819,6.13,3.9587,price_validation_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.3,POSITIVE,ema_rally,200316.51,9.99,25.0,5.0,149.75,50.05,226149.0,214714.0,0.949,38776.0,125406.0,276681.0,81.4,0.767,1.73,0.62,1.0,1.2,1.37,0.21,5,1.0,99.0,1.2e-05,0.000113,29049.88348992084,1.799418775698734e-13,0.510204,0.525579,0,0,0.0,2e-05,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5e-06,0.0,0.452269,0.071481,0.0,0.0,,
TSM,SHORT,0.25131108266845953,2.513110826684595,0.0,1.5079,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,15,1.0,0.4843602152880425,3e-06,1e-06,21790.44629336356,51414.97258936884,0.916661,0.239803,4,4,0.003678,0.230435,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.492697,0.219306,0.0,0.0,,
ORCL,SHORT,0.25078061450543365,2.5078061450543365,3.05,3.7089,price_validation_failed,"bounce_and_fail, momentum_aligned, room_to_target","confirmation_volume, not_extended, trend_aligned",7.7,NEGATIVE,bounce_and_fail,-4949040.2,175.28,200.0,140.0,14.1,20.13,1282196.0,1000656.0,0.78,649745.0,577961.0,1055146.0,53.2,0.529,0.0,0.0,1.0,1.0,0.8,0.25,7,1.0,0.5306820053675513,1e-06,6e-06,205057.94779368996,64400.760317115106,0.142825,0.106743,0,1,0.0,0.595063,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.012871,0.24452,0.0,0.0,,
BURL,LONG,0.6283401503148106,6.283401503148106,4.92,5.5577,watchlist_reeval_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.7,NEUTRAL,trend_continuation,,,360.0,270.0,3.43,22.43,4269.0,24374.0,5.71,16292.0,9713.0,2638.0,29.2,0.332,1.71,0.18,0.0,1.4,1.63,0.0,7,1.0,99.0,8e-05,1.7e-05,2989.0878856596196,0.000277505514505824,281.106753,6.564103,0,0,0.383188,0.0,,,,,,,,,,,,,,,,,,,,,,,,
