ticker,direction,pattern,flow_score_raw,flow_score_scaled,price_score,final_score,options_context_score,gamma_regime,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,entry_price,stop_price,target_1,target_2,rr_ratio,time_stop_days,regime_score,agg_premium_alignment,agg_volume_unusualness,source,checks_passed,checks_failed,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,streak_bonus,freight_train,freight_train_reason
NAMS,SHORT,flow_promoted,0.9199999999999999,9.2,,9.2,,,,,,,,,,,,,,,,,30.82,32.58,28.18,25.54,1.5,15,,,,flow_promoted,,,,,,,,,,False,
EWC,SHORT,flow_promoted,0.89,8.9,,8.9,,,,,,,,,,,,,,,,,57.89,58.62,56.8,55.71,1.5,10,,,,flow_promoted,,,,,,,,,,False,
ADSK,SHORT,flow_promoted,0.8699999999999999,8.7,,8.7,,,,,,,,,,,,,,,,,187.72,197.39,173.21,158.7,1.5,7,,,,flow_promoted,,,,,,,,,,False,
CNC,LONG,flow_promoted,0.8400000000000001,8.4,,8.4,,,,,,,,,,,,,,,,,63.68,61.29,67.26,70.85,1.5,15,,,,flow_promoted,,,,,,,,,,False,
FCNCA,LONG,flow_promoted,0.8400000000000001,8.4,,8.4,,,,,,,,,,,,,,,,,2084.99,2032.77,2163.32,2241.65,1.5,10,,,,flow_promoted,,,,,,,,,,False,
ARCC,SHORT,flow_promoted,0.8300000000000001,8.3,,8.3,,,,,,,,,,,,,,,,,17.84,18.18,17.33,16.83,1.5,5,,,,flow_promoted,,,,,,,,,,False,
COIN,SHORT,flow_promoted,0.8300000000000001,8.3,,8.3,,,,,,,,,,,,,,,,,164.84,176.19,147.82,130.79,1.5,15,,,,flow_promoted,,,,,,,,,,False,
