ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio
TQQQ,LONG,0.3226853685240173,3.2268536852401732,5.48,4.8374,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,7.9,NEGATIVE,bounce_and_fail,-267412.56,,80.0,55.0,18.46,18.56,790829.0,590986.0,0.747,472235.0,233610.0,675970.0,57.9,0.651,0.0,0.96,0.97,1.0,1.99,0.56,False,default,2.5,False,1,1.0,99.0,0.0,0.0,0.8995448874668218,0.0,24.438889,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.058665,0.0,0.0,0.0,1.0,0.3226853685240173,0.3226853685240173,n/a,2026-08-03,2026-08-03,False,,,,
KORU,LONG,0.3213691595414457,3.2136915954144567,0.0,1.9282,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,1.198217137305015,0.001073,0.000897,2.1325152569795927e-10,1.7797402412186876e-10,7.800127,11.312925,1,2,0.38531,0.408256,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.009363,0.014782,0.0,0.0,,,,,,,False,,,,
SOXS,LONG,0.3087729912770217,3.0877299127702167,4.57,4.0349,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.6,NEUTRAL,trend_continuation,,,80.0,40.0,47.74,26.13,45314.0,19913.0,0.439,47724.0,9493.0,8010.0,84.7,1.835,0.0,0.74,1.0,1.4,0.64,0.79,False,default,2.5,False,2,1.0,99.0,0.00096,0.0,3.5963768282023487,0.0,1.680098,,2,0,0.076927,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.489352,0.0,0.0,0.0,1.0,0.3087729912770217,0.3087729912770217,n/a,2026-08-03,2026-08-03,False,,,,
AVGO,LONG,0.30168020109176136,3.0168020109176137,0.0,1.8101,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,4.8350698025064205e-05,2e-06,2e-06,0.005378075016687475,111.23055584222526,15.618521,247.901786,1,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.705211,0.504212,0.0,0.0,,,,,,,False,,,,
AAOI,LONG,0.30137038487069334,3.0137038487069336,5.62,4.4929,price_validation_failed,"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, room_to_target",trend_aligned,6.5,NEGATIVE,unknown,-309325.12,106.66,200.0,50.0,87.36,53.16,132927.0,117251.0,0.882,66672.0,43132.0,140374.0,86.1,1.494,0.0,0.96,0.39,1.6,1.95,0.73,False,default,2.5,False,2,1.0,99.0,0.000219,0.0,9.96157618409303,0.0,2.161729,,0,0,0.335971,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.084462,0.0,0.0,0.0,1.0,0.30137038487069334,0.30137038487069334,n/a,2026-08-03,2026-08-03,False,,,,
MPWR,LONG,0.2973023370708463,2.973023370708463,4.58,3.9405,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,5.4,NEUTRAL,ema_pullback,,,1580.0,1000.0,16.48,26.28,6966.0,8193.0,1.176,3786.0,4159.0,7214.0,85.3,0.769,0.0,0.99,1.0,1.2,0.71,0.68,False,default,2.5,False,1,0.7,99.0,1.2e-05,0.0,807239.4338723168,0.0,6.5,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.191536,0.0,0.0,0.0,1.0,0.2973023370708463,0.2973023370708463,n/a,2026-08-03,2026-08-03,False,,,,
GE,LONG,0.29680097163997704,2.9680097163997705,0.0,1.7808,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,1.0785217543549507e-10,3e-06,7e-06,6.127571019245337e-11,0.2840726668007802,10.703704,2.779527,0,0,0.0,0.452792,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.485422,0.419448,0.0,0.0,,,,,,,False,,,,
RKLB,LONG,0.2958550021592177,2.9585500215921767,5.8,4.5793,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,6.8,NEGATIVE,flag_breakout,-1423872.94,69.89,100.0,60.0,42.93,14.24,594851.0,407004.0,0.684,228235.0,137382.0,636238.0,92.0,1.04,0.0,0.84,1.0,1.6,1.91,0.45,False,default,2.5,False,4,1.0,99.0,7e-05,2.1e-05,0.016745635177102768,3.395555282103338e-07,21.482013,2.331518,1,0,0.0,0.01708,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.814106,0.03242,0.0,0.0,1.0,0.2958550021592177,0.2958550021592177,n/a,2026-08-03,2026-08-03,False,,,,
CRM,LONG,0.29217664888503514,2.921766488850351,0.0,1.7531,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,2.3182927910309575e-26,6e-06,2.2e-05,6.860212205177852e-21,147958.27843054885,1.61011,3.193057,0,2,3.5e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,2e-06,0.045012,0.450505,0.0,0.0,,,,,,,False,,,,
MSTR,LONG,0.289813295540396,2.89813295540396,4.75,3.7341,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,4.3,POSITIVE,retest_and_confirm,8077186.96,95.24,100.0,50.0,4.83,47.59,1307287.0,1171275.0,0.896,856147.0,467630.0,1154785.0,54.1,0.748,0.0,0.88,1.0,1.4,1.14,0.33,False,default,2.5,False,2,1.0,99.0,5.4e-05,0.0,74.17184661936156,0.0,6.317556,,0,0,1.9e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.003118,0.0,0.0,0.0,1.0,0.289813295540396,0.289813295540396,n/a,2026-08-03,2026-08-03,False,,,,
