ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_pattern_vol,price_pattern_candle,price_momentum,price_confirm_vol
ACHR,LONG,0.4550174586299671,4.550174586299671,0.0,2.7301,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
HD,LONG,0.44068301301274854,4.406830130127485,0.0,2.6441,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRE,LONG,0.43225023318193173,4.322502331819317,0.0,2.5935,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0
AGRO,LONG,0.42155706475975463,4.215570647597547,0.0,2.5293,price_over_extended,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USAR,LONG,0.4121972921342345,4.121972921342345,0.0,2.4732,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0
CMG,LONG,0.4046433970269144,4.046433970269144,0.0,2.4279,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
SMH,LONG,0.399058148950895,3.9905814895089495,0.0,2.3943,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0
JBL,LONG,0.396428139794654,3.9642813979465403,5.19,4.7591,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence, trend_aligned","bounce_and_fail, flag_breakout, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_continuation",6.1,NEUTRAL,unknown,,,300.0,240.0,18.28,5.37,32086.0,28445.0,0.887,12080.0,4265.0,13711.0,1.3,0.88,0.0,1.6,0.0,0.0,0.72,0.68
GLXY,LONG,0.3866205215788709,3.866205215788709,0.0,2.3197,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
RKLB,LONG,0.3834653041796087,3.8346530417960873,0.0,2.3008,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0
