ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio
CRS,LONG,0.47601567868540023,4.760156786854003,5.32,5.4561,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,7.4,NEUTRAL,trend_continuation,,,470.0,360.0,7.69,17.52,8044.0,4191.0,0.521,5816.0,4144.0,2275.0,53.8,0.484,1.62,0.94,0.57,1.4,0.63,0.15,False,sustained_trend,5.0,False,2,1.0,5.332300962478595,6.4e-05,1.2e-05,2.6894630705714953e-05,5.043719567774287e-06,16.214286,9.512605,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.239361,0.064042,0.0,0.0,1.0,0.47601567868540023,0.47601567868540023,n/a,2026-05-08,2026-05-08,False,,,,
LRCX,LONG,0.3933907455273848,3.933907455273848,5.81,4.97,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",6.3,NEGATIVE,trend_continuation,-111286.17,,370.0,240.0,26.77,17.77,285680.0,311448.0,1.09,176544.0,155601.0,264983.0,76.0,0.638,1.94,0.58,0.0,1.4,1.71,0.17,False,sustained_trend,5.0,False,5,1.0,1.1097555152518812,6e-06,3e-06,1411.8275902972348,5088.7878308107975,15.783247,,2,0,0.569427,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.505764,0.745201,0.0,0.0,1.0,0.3933907455273848,0.3933907455273848,n/a,2026-05-08,2026-05-08,False,,,,
WIX,LONG,0.37252754348304856,3.7252754348304857,3.79,4.0796,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.4,NEUTRAL,ema_pullback,,,120.0,70.0,58.79,7.37,30405.0,28132.0,0.925,17728.0,18960.0,21849.0,93.9,0.926,0.0,0.91,1.0,1.2,0.42,0.27,False,default,2.5,False,1,1.0,99.0,0.000147,0.0,3.153882838432313e-14,0.0,9.5,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.533409,0.0,0.0,0.0,1.0,0.37252754348304856,0.37252754348304856,n/a,2026-05-08,2026-05-08,False,,,,
SPOT,LONG,0.3721720314725031,3.7217203147250313,2.02,3.9269,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",7.3,NEGATIVE,unknown,-7210487.31,,600.0,400.0,41.39,5.74,85086.0,80529.0,0.946,50095.0,49162.0,66358.0,63.7,0.48,0.0,0.22,1.0,0.0,0.8,0.0,False,default,2.5,False,2,1.0,99.0,3.3e-05,0.0,1.154318933714464e-06,0.0,17.133242,,2,0,0.221132,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.586648,0.0,0.0,0.0,1.0,0.3721720314725031,0.3721720314725031,n/a,2026-05-08,2026-05-08,False,,,,
NOK,LONG,0.36123682056529194,3.6123682056529196,0.0,2.1674,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,0.45891867657004043,1.4e-05,1.2e-05,40.02927195604082,174.45039393567384,30.2612,39.515528,2,1,0.110384,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.556028,0.651732,0.0,0.0,,,,,,,False,,,,
DVN,LONG,0.36065986700624253,3.606598670062425,3.75,4.3883,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",7.3,POSITIVE,trend_continuation,22270193.5,45.82,50.0,40.0,9.21,12.64,430208.0,155092.0,0.361,155046.0,239260.0,190994.0,46.5,0.36,0.0,0.49,1.0,1.4,0.41,0.46,False,default,2.5,False,3,1.0,0.1309987017958304,5.5e-05,2e-05,318.64091528487194,1216.1987520360835,4.212394,9.400837,1,1,0.0,0.489127,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.31465,0.20071,0.0,0.0,1.0,0.36065986700624253,0.36065986700624253,n/a,2026-05-08,2026-05-08,False,,,,
MDB,LONG,0.34761253896021366,3.4761253896021365,6.83,4.8871,price_validation_failed,"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.5,NEUTRAL,unknown,,,500.0,250.0,69.28,15.36,135596.0,74241.0,0.548,97481.0,29469.0,82887.0,90.0,0.849,1.64,0.36,1.0,1.6,1.64,0.59,False,consolidation_break,3.0,False,2,1.0,99.0,4.5e-05,0.0,20039.706256082238,0.0,5.838399,,1,0,0.00018,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.097419,0.0,0.0,0.0,1.0,0.34761253896021366,0.34761253896021366,n/a,2026-05-08,2026-05-08,False,,,,
TOST,LONG,0.34426324656313434,3.4426324656313434,2.39,4.1983,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",8.8,NEGATIVE,unknown,-2297682.84,,50.0,20.0,100.84,19.66,182794.0,119755.0,0.655,66100.0,62818.0,173631.0,49.1,0.511,0.0,0.12,1.0,0.0,0.27,1.0,False,default,2.5,False,1,1.0,99.0,2.7e-05,0.0,0.0014005169231844834,0.0,72.314286,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.545981,0.0,0.0,0.0,1.0,0.34426324656313434,0.34426324656313434,n/a,2026-05-08,2026-05-08,False,,,,
XHB,LONG,0.3278720852059578,3.278720852059578,3.66,4.0374,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.5,NEUTRAL,ema_pullback,,,122.0,100.0,18.35,2.99,112087.0,52165.0,0.465,27567.0,83973.0,52804.0,87.0,0.797,0.0,0.78,1.0,1.2,0.64,0.03,False,default,2.5,False,1,1.0,99.0,0.0,0.0,0.000264168211269677,0.0,555.555556,,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.387539,0.0,0.0,0.0,1.0,0.3278720852059578,0.3278720852059578,n/a,2026-05-08,2026-05-08,False,,,,
QCOM,LONG,0.32693694513548566,3.269369451354857,8.31,4.9277,poor_rr (0.9:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.0,POSITIVE,trend_continuation,106441134.79,224.51,250.0,120.0,11.32,46.56,567090.0,388655.0,0.685,360142.0,252536.0,343067.0,100.0,0.725,2.92,0.01,1.0,1.4,1.99,1.0,False,sustained_trend,5.0,False,1,1.0,99.0,4e-06,0.0,902683.3356271058,0.0,3.556222,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.024389,0.0,0.0,0.0,1.0,0.32693694513548566,0.32693694513548566,n/a,2026-05-08,2026-05-08,False,224.57,197.62,250.0,0.94
ORCL,LONG,0.3230957779605154,3.2309577796051543,5.47,3.5765,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned",continuation_pattern,1.6,POSITIVE,unknown,198843956.54,196.75,200.0,150.0,1.49,23.88,1414163.0,1159471.0,0.82,721784.0,663800.0,1188050.0,74.7,0.608,2.32,0.03,1.0,0.0,1.76,0.36,False,default,2.5,False,2,1.0,99.0,3e-06,0.0,70.44848461206445,0.0,9.145833,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.86794,0.0,0.0,0.0,1.0,0.3230957779605154,0.3230957779605154,n/a,2026-05-08,2026-05-08,False,,,,
APH,LONG,0.32270026360302456,3.2270026360302455,0.0,1.9362,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.5953224725397871,3e-06,5e-06,502885.79395504185,844728.3903287097,5.272727,1.635546,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,1e-06,0.488561,0.289316,0.0,0.0,,,,,,,False,,,,
ANET,LONG,0.3145833118024217,3.145833118024217,1.08,3.5169,price_validation_failed,"confirmation_volume, not_extended","continuation_pattern, momentum_aligned, room_to_target, trend_aligned",8.1,NEGATIVE,unknown,-7196702.36,139.12,160.0,115.0,15.18,17.21,224610.0,194228.0,0.865,167301.0,102325.0,149212.0,37.8,0.496,0.0,0.07,0.0,0.0,0.01,1.0,False,default,2.5,False,4,1.0,99.0,1.5e-05,7e-06,2545.933720770755,4.8487879405331915,23.891172,47.045886,0,0,0.0,0.000235,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.039084,0.431896,0.0,0.0,1.0,0.3145833118024217,0.3145833118024217,n/a,2026-05-08,2026-05-08,False,,,,
SEDG,LONG,0.3086423807723367,3.0864238077233668,4.03,4.0322,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,6.4,NEUTRAL,ema_pullback,,,70.0,35.0,74.83,12.59,120066.0,93366.0,0.778,68096.0,52468.0,92868.0,21.0,0.839,0.0,0.75,1.0,1.2,0.67,0.41,False,default,2.5,False,1,1.0,99.0,0.000155,0.0,6.787167793188438,0.0,63.217391,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.234701,0.0,0.0,0.0,1.0,0.3086423807723367,0.3086423807723367,n/a,2026-05-08,2026-05-08,False,,,,
AMD,LONG,0.3053627579028856,3.0536275790288556,8.0,4.3868,poor_rr (0.3:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,2.3,POSITIVE,trend_continuation,445601244.4,435.96,450.0,200.0,3.23,54.12,1740830.0,1852504.0,1.064,1140567.0,771371.0,1681396.0,88.0,0.65,2.96,0.06,1.0,1.4,1.9,0.68,False,sustained_trend,5.0,False,1,1.0,99.0,1e-06,0.0,401600.0458032509,0.0,6.111111,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.722828,0.0,0.0,0.0,1.0,0.3053627579028856,0.3053627579028856,n/a,2026-05-08,2026-05-08,False,435.9,383.59,450.0,0.27
