ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
FCEL,LONG,0.5400260177215033,5.400260177215033,0.0,3.2402,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.001359,0.0,2346.7857112828456,0.0,27.572549,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.076847,0.0,0.0,0.0,,,,,,,
DOCU,LONG,0.5255629878514905,5.255629878514904,3.29,4.8748,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",6.3,NEUTRAL,trend_continuation,,,50.0,40.0,13.83,8.94,65568.0,55380.0,0.845,24949.0,36606.0,59393.0,69.5,0.567,0.0,0.49,1.0,1.4,0.04,0.36,1,1.0,99.0,0.000127,0.0,1.5307373337293278e-22,0.0,19.545045,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.330483,0.0,0.0,0.0,,,,,,,
AXTI,LONG,0.5248969640425397,5.248969640425397,5.54,5.1265,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,4.2,POSITIVE,trend_continuation,868210.42,71.76,105.0,45.0,45.99,37.43,186856.0,74013.0,0.396,124197.0,35511.0,101161.0,94.5,1.925,2.44,0.73,0.51,1.4,0.06,0.4,3,1.0,99.0,0.000572,0.0,751100.469025758,0.0,15.550388,0,0,0.555034,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000263,0.0,0.563591,0.0,0.0,0.0,,,,,,,
ORA,LONG,0.5114994530821066,5.1149945308210665,5.12,5.2935,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence","room_to_target, trend_aligned",6.0,NEUTRAL,support_ema_confluence,,,120.0,100.0,6.13,11.56,17968.0,5218.0,0.29,12589.0,8793.0,1804.0,76.6,0.39,0.0,0.8,0.06,1.6,1.7,0.95,1,1.0,99.0,9.9e-05,0.0,6.167377889428385e-07,0.0,20.689655,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.250847,0.0,0.0,0.0,,,,,,,
CENX,LONG,0.49678584911212426,4.967858491121243,5.39,5.2609,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.8,NEUTRAL,ema_pullback,,,65.0,45.0,7.28,25.73,32975.0,10853.0,0.329,4965.0,25942.0,12921.0,79.0,0.82,1.58,0.91,0.67,1.2,1.04,0.0,1,1.0,99.0,0.000133,0.0,0.034258176439975925,0.0,26.338346,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.196359,0.0,0.0,0.0,,,,,,,
EXPE,LONG,0.45473870539204647,4.547387053920465,5.54,4.9357,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",5.0,NEUTRAL,trend_continuation,,,270.0,230.0,8.14,7.88,28260.0,33703.0,1.193,16182.0,18500.0,27281.0,97.0,0.635,2.03,0.93,0.81,1.4,0.1,0.27,2,1.0,1.3936820873658615e-19,6.4e-05,2e-05,6.803207457882956e-21,0.048814629387548526,9.722222,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.464026,0.414665,0.0,0.0,42.0,,,,,,
MRVL,LONG,0.43775326704816,4.3775326704815996,0.0,2.6265,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,99.0,2.9e-05,0.0,1092132.0711471206,0.0,100.648148,3,0,0.331571,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.6e-05,0.0,0.67259,0.0,0.0,0.0,,,,,,,
AR,LONG,0.39152715018273193,3.9152715018273194,0.0,2.3492,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,2.7e-05,4.4e-05,237436.761687092,3.17436416771951e-20,29500.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.032448,0.255527,0.0,0.0,3.135731,,,,,,
FXI,LONG,0.3791102638930351,3.791102638930351,3.12,4.6116,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",8.9,NEGATIVE,ema_pullback,-57864178.65,,40.0,36.0,9.84,1.14,1840693.0,2067587.0,1.123,726796.0,1818444.0,1363040.0,42.6,0.233,0.0,0.83,1.0,1.2,0.03,0.06,1,1.0,99.0,0.00025,0.0,248.52722331619427,0.0,4.633136,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.448939,0.0,0.0,0.0,,,,,,,
CHTR,LONG,0.35884159643661945,3.5884159643661944,5.17,4.7052,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.8,NEUTRAL,trend_continuation,,,400.0,200.0,64.62,17.69,72129.0,60117.0,0.833,29363.0,29780.0,73103.0,66.8,0.591,1.95,0.27,0.08,1.4,0.88,0.6,1,1.0,99.0,1.2e-05,0.0,292426.4918935888,0.0,9.605405,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,5e-06,0.0,0.52301,0.0,0.0,0.0,,,,,,,
