ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
CXW,LONG,0.6495306782345034,6.495306782345034,7.0,6.8277,poor_rr (0.6:1),"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,7.4,NEUTRAL,trend_continuation,,,30.0,20.0,7.6,28.26,95914.0,9244.0,0.096,17983.0,47977.0,39198.0,65.1,0.463,3.0,0.24,0.0,1.4,1.96,0.4,False,sustained_trend,5.0,False,27.88,24.53,30.0,0.63,1,1.0,99.0,0.001155,0.0,111935.22972948904,0.0,3.313478,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.7e-05,0.0,0.903551,0.0,0.0,0.0,1.0,0.6495306782345034,0.6495306782345034,n/a,2026-06-16,2026-06-16,False,
CSX,LONG,0.5065163738543761,5.065163738543761,3.83,4.4016,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern",3.6,POSITIVE,unknown,62343212.57,46.9,47.5,32.5,1.28,30.7,266580.0,115759.0,0.434,228801.0,32569.0,120969.0,38.5,0.239,1.89,0.82,0.28,0.0,0.63,0.21,False,default,2.5,False,,,,,1,1.0,99.0,4.3e-05,0.0,2.5043737237370351e-29,0.0,1.042394,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.399919,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-06-16,2026-06-16,False,
GDDY,LONG,0.4759893995937507,4.759893995937507,0.0,2.8559,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,2.9e-05,5e-05,0.15942268030966064,2.1077054012092864e-19,16.290323,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.255297,0.658068,0.0,0.0,,,,,,,False,36.363636
EPD,LONG,0.4708000123010173,4.708000123010173,3.29,4.481,price_validation_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",5.7,POSITIVE,bounce_and_fail,13207386.82,36.5,42.0,35.0,15.23,3.98,203732.0,56571.0,0.278,62517.0,14587.0,183199.0,61.0,0.189,0.0,0.35,0.91,1.0,0.43,0.6,False,default,2.5,False,,,,,1,0.7,99.0,8e-06,0.0,4.378254826900017e-12,0.0,2.992174,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.320906,0.0,0.0,0.0,1.0,0.4708000123010173,0.4708000123010173,n/a,2026-06-16,2026-06-16,False,
NVT,LONG,0.4604657515606914,4.604657515606914,5.62,4.9483,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.8,NEUTRAL,ema_pullback,,,175.0,145.0,4.58,13.35,41833.0,14263.0,0.341,35456.0,12410.0,8230.0,65.4,0.507,1.58,0.9,0.34,1.2,1.35,0.26,False,default,2.5,False,,,,,1,1.0,99.0,4.4e-05,0.0,4.278600218620288e-13,0.0,13.8,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.443869,0.0,0.0,0.0,1.0,0.4604657515606914,0.4604657515606914,n/a,2026-06-16,2026-06-16,False,
QXO,LONG,0.4460325775083719,4.460325775083719,4.88,4.7142,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.1,POSITIVE,ema_pullback,2758629.43,16.9,35.0,15.0,105.76,11.82,322050.0,171508.0,0.533,76389.0,119606.0,297563.0,78.6,0.604,0.0,0.92,1.0,1.2,1.56,0.2,False,default,2.5,False,,,,,2,0.7,3.667314361315274e-24,0.000117,3.1e-05,2.89600399221328e-20,7896.797784127333,2.033877,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.569652,0.299094,0.0,0.0,1.0,0.4460325775083719,0.4460325775083719,n/a,2026-06-16,2026-06-16,False,1.856342
SPCX,LONG,0.4215519761904762,4.215519761904762,0.0,2.5293,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1.0,1.1085097218942241,5e-06,5e-06,850340.4060565012,596635.1564757754,,1,1,0.425061,0.729037,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.096301,0.113473,0.0,0.0,,,,,,,False,
ALAB,LONG,0.42138243239600276,4.2138243239600275,6.3,5.3169,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.6,NEGATIVE,trend_continuation,-36886.0,362.15,380.0,80.0,5.06,77.88,151041.0,118674.0,0.786,73717.0,62272.0,133726.0,75.4,1.027,2.63,0.78,0.27,1.4,0.94,0.28,False,sustained_trend,5.0,False,,,,,4,1.0,99.0,3.1e-05,0.0,9527.654651999523,0.0,134.535714,4,0,0.561776,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.778476,0.0,0.0,0.0,1.0,0.42138243239600276,0.42138243239600276,n/a,2026-06-16,2026-06-16,False,
AMKR,LONG,0.39468788830123086,3.9468788830123085,7.08,5.0974,poor_rr (1.3:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.0,NEUTRAL,trend_continuation,,,100.0,70.0,15.54,19.12,102496.0,80018.0,0.781,94178.0,42872.0,45464.0,96.0,0.961,1.78,0.63,1.0,1.4,1.27,1.0,False,sustained_trend,5.0,False,86.55,76.16,100.0,1.3,3,1.0,99.0,0.000108,0.0,2.3962440989337455,0.0,3.378687,1,0,0.020368,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.422662,0.0,0.0,0.0,1.0,0.39468788830123086,0.39468788830123086,n/a,2026-06-16,2026-06-16,False,
DOCN,LONG,0.37700697971954983,3.7700697971954984,5.67,4.206,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.1,NEUTRAL,trend_continuation,,,175.0,67.5,0.47,61.25,96728.0,55210.0,0.571,43466.0,26784.0,81688.0,80.8,0.928,2.33,0.86,0.15,1.4,0.9,0.02,False,sustained_trend,5.0,False,,,,,1,1.0,99.0,0.000198,0.0,5.212160906510114e-10,0.0,24.617021,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.48493,0.0,0.0,0.0,1.0,0.37700697971954983,0.37700697971954983,n/a,2026-06-16,2026-06-16,False,
ITT,LONG,0.3700169207722694,3.700169207722694,4.79,4.1671,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",4.4,NEUTRAL,ema_pullback,,,195.0,175.0,0.47,9.84,4409.0,4150.0,0.941,1672.0,6569.0,318.0,58.4,0.325,0.0,0.97,1.0,1.2,1.47,0.15,False,default,2.5,False,,,,,1,1.0,99.0,3.3e-05,0.0,1.5014754618030853e-26,0.0,8.426966,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.55878,0.0,0.0,0.0,1.0,0.3700169207722694,0.3700169207722694,n/a,2026-06-16,2026-06-16,False,
HIMS,LONG,0.36746580558734115,3.6746580558734117,7.06,5.1553,poor_rr (1.7:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.0,POSITIVE,trend_continuation,10253515.4,31.32,40.0,20.0,27.11,36.45,676906.0,405439.0,0.599,320454.0,229634.0,532257.0,53.8,0.877,1.83,0.64,1.0,1.4,1.81,0.39,False,sustained_trend,5.0,False,31.47,27.69,37.89,1.7,1,1.0,99.0,9.3e-05,0.0,219150.2594834708,0.0,1.785377,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.6e-05,0.0,0.478498,0.0,0.0,0.0,1.0,0.36746580558734115,0.36746580558734115,n/a,2026-06-16,2026-06-16,False,
GEV,LONG,0.3648039424038934,3.648039424038934,5.18,4.178,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",4.0,NEUTRAL,trend_continuation,,,1000.0,800.0,1.8,18.56,100067.0,129267.0,1.292,83148.0,34925.0,111261.0,35.9,0.493,0.0,0.89,1.0,1.4,1.65,0.24,False,default,2.5,False,,,,,11,1.0,4.626358628682999e-05,3.4e-05,1.2e-05,2.8713371470311387e-08,0.0005172061113084186,9.268436,1,2,0.37188,0.672966,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.48716,0.167524,0.0,0.0,1.0,0.3648039424038934,0.3648039424038934,n/a,2026-06-16,2026-06-16,False,4.774301
SMCI,LONG,0.35542828588355796,3.5542828588355797,2.34,3.5191,price_validation_failed,"not_extended, pullback_to_support, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",5.2,POSITIVE,pullback_to_support,7451877.3,29.16,35.0,10.0,19.78,65.78,1414550.0,1154511.0,0.816,723629.0,420521.0,1424911.0,57.1,0.797,0.0,0.24,0.34,1.4,0.15,0.2,False,default,2.5,False,,,,,1,1.0,99.0,6e-05,0.0,364635.8784184662,0.0,111.111111,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,7e-06,0.0,0.349715,0.0,0.0,0.0,1.0,0.35542828588355796,0.35542828588355796,n/a,2026-06-16,2026-06-16,False,
AXTI,LONG,0.3483152491920068,3.483152491920068,5.98,5.3356,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,9.0,NEGATIVE,ema_pullback,-953337.23,93.29,105.0,40.0,12.85,57.01,129839.0,123314.0,0.95,96837.0,99605.0,56711.0,39.4,1.43,1.75,0.8,1.0,1.2,0.72,0.5,False,default,2.5,False,,,,,6,1.0,99.0,0.000434,5.2e-05,2137.9261548397453,2.5879266637588613e-17,25.736222,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.037786,0.199482,0.0,0.0,1.0,0.3483152491920068,0.3483152491920068,n/a,2026-06-16,2026-06-16,False,6.14
SLS,LONG,0.3413628681595417,3.413628681595417,5.77,4.5378,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.5,POSITIVE,ema_pullback,906638.62,,10.0,6.0,32.8,20.32,644934.0,156854.0,0.243,73848.0,172168.0,555772.0,69.8,1.469,1.86,0.9,0.94,1.2,0.87,0.0,False,default,2.5,False,,,,,2,1.0,0.09697030461158342,0.000457,0.000283,1.3205668166571126e-20,1.3618259960579382e-19,3.845668,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.022308,5.8e-05,0.0,0.0,1.0,0.3413628681595417,0.3413628681595417,n/a,2026-06-16,2026-06-16,False,23.852679
COST,LONG,0.3362663577167479,3.362663577167479,4.4,3.5413,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",2.7,POSITIVE,pullback_to_support,14026359.87,986.99,1000.0,900.0,1.35,8.79,148781.0,158744.0,1.067,137259.0,59665.0,110601.0,34.7,0.215,0.0,0.98,0.53,1.4,1.44,0.06,False,default,2.5,False,,,,,4,1.0,99.0,9e-06,0.0,3815.239908227894,0.0,2.215759,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.502298,0.0,0.0,0.0,1.0,0.3362663577167479,0.3362663577167479,n/a,2026-06-16,2026-06-16,False,
JBL,LONG,0.33374131876255886,3.3374131876255886,5.89,4.4757,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.2,NEUTRAL,trend_continuation,,,400.0,230.0,6.52,38.75,25307.0,15828.0,0.625,17108.0,1721.0,22306.0,89.6,0.648,1.62,0.88,0.36,1.4,1.02,0.6,False,sustained_trend,5.0,False,,,,,2,0.7,99.0,3.4e-05,0.0,7.615475840845042e-09,0.0,2.596318,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.734329,0.0,0.0,0.0,1.0,0.33374131876255886,0.33374131876255886,n/a,2026-06-16,2026-06-16,False,
