ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
AXTI,LONG,0.572714117954125,5.72714117954125,5.54,5.3856,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.3,POSITIVE,ema_pullback,499163.84,78.97,105.0,45.0,32.85,43.06,196017.0,83148.0,0.424,134590.0,40361.0,104214.0,92.4,1.838,2.39,0.47,0.22,1.2,0.96,0.3,11,1.0,99.0,0.003142,0.0,13144.739480392194,0.0,12.172617,1,0,0.635169,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.8e-05,0.0,0.519083,0.0,0.0,0.0,,,,,
NPO,LONG,0.5114994530821066,5.1149945308210665,6.78,5.1915,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.0,NEUTRAL,flag_breakout,,,300.0,270.0,2.06,8.15,1104.0,1425.0,1.291,1162.0,615.0,752.0,93.8,0.504,1.87,0.34,1.0,1.6,1.64,0.34,1,1.0,99.0,0.000107,0.0,1.0952144299141595e-22,0.0,18.181818,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53186,0.0,0.0,0.0,,,,,
TSEM,LONG,0.3655726390115128,3.6557263901151282,5.54,4.5099,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",5.1,NEUTRAL,ema_pullback,,,230.0,165.0,16.28,16.58,67005.0,49557.0,0.74,58837.0,44022.0,13703.0,95.8,0.935,2.09,0.98,0.66,1.2,0.29,0.31,1,0.7,99.0,3.3e-05,0.0,554930.0216171944,0.0,3.938776,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.3e-05,0.0,0.533476,0.0,0.0,0.0,,,,,
IWM,LONG,0.3580361391166189,3.580361391166189,0.0,2.1482,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,8,1.0,1.7029048381425886,3.3e-05,2.2e-05,10995.712169501698,19371.098002449267,20.034491,0,1,0.416216,0.003636,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558004,0.557219,0.0,0.0,8.521368,,,,
ANET,LONG,0.3537520728118873,3.537520728118873,6.14,4.8708,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",6.3,NEGATIVE,trend_continuation,-1772156.16,,195.0,105.0,8.85,41.39,168226.0,128288.0,0.763,106905.0,63459.0,126150.0,88.1,0.661,2.65,0.0,0.0,1.4,1.92,0.17,4,1.0,99.0,1.6e-05,0.0,37.861470957110086,0.0,2.430199,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.201858,0.0,0.0,0.0,,,,,
EL,LONG,0.34697150165283397,3.4697150165283395,4.51,4.4279,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.7,NEUTRAL,ema_pullback,,,105.0,75.0,35.57,3.16,107183.0,92321.0,0.861,39716.0,68194.0,143621.0,67.6,0.146,0.0,0.88,1.0,1.2,1.44,0.0,2,0.7,99.0,4.5e-05,0.0,1.1465945885357709e-07,0.0,8.16675,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297568,0.0,0.0,0.0,,,,,
NVTS,LONG,0.33564181159586753,3.3564181159586752,6.52,4.4342,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.0,POSITIVE,trend_continuation,1904527.5,17.36,20.0,7.0,15.27,59.65,323940.0,141793.0,0.438,219096.0,90520.0,156117.0,95.1,1.413,2.66,0.0,0.38,1.4,1.38,0.7,1,1.0,99.0,0.000186,0.0,2974.0837113591842,0.0,4.884892,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.417933,0.0,0.0,0.0,,,,,
CIEN,LONG,0.3249270907927443,3.2492709079274427,5.54,4.3866,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",5.5,NEUTRAL,ema_pullback,,,600.0,480.0,14.41,8.48,38191.0,34994.0,0.916,37129.0,18019.0,18037.0,83.6,0.857,2.3,0.15,0.0,1.2,1.89,0.0,3,1.0,99.0,3.3e-05,1e-05,9.92874693946327e-07,9.07953228850589e-12,22.028571,1,0,0.464773,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.613022,0.444494,0.0,0.0,8.272727,,,,
CHTR,LONG,0.32172205226283573,3.2172205226283572,3.45,4.1036,price_validation_failed,"confirmation_volume, room_to_target, trend_continuation","momentum_aligned, not_extended, trend_aligned",7.3,NEUTRAL,trend_continuation,,,400.0,160.0,121.02,11.59,74726.0,64151.0,0.858,31989.0,32674.0,74214.0,55.5,0.486,0.0,0.0,1.0,1.4,0.05,1.0,1,1.0,99.0,1.2e-05,0.0,15385.334839164736,0.0,9.605405,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.52301,0.0,0.0,0.0,,,,,
XPEV,LONG,0.31996390321961754,3.1996390321961754,0.0,1.9198,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,0.7,99.0,5.6e-05,4.1e-05,3.428831605141432e-13,1.1262040982576767e-22,6.849105,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.6571,0.171373,0.0,0.0,16.983051,,,,
