ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
WULF,LONG,0.3172877571933929,3.1728775719339293,3.53,3.7654,price_validation_failed,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned",5.6,POSITIVE,unknown,15381623.88,20.04,25.0,11.0,24.87,45.06,1564104.0,765778.0,0.49,860920.0,676066.0,792896.0,55.5,1.0,1.91,0.54,0.24,0.0,0.54,0.31,2,1.0,99.0,0.000159,0.0,91.28666574894766,0.0,50.231848,0,0,1e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.302273,0.0,0.0,0.0,,,,,
HUT,LONG,0.2955415233368789,2.9554152333687886,5.14,4.4797,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",7.3,NEUTRAL,trend_continuation,,,100.0,35.0,27.68,55.31,146414.0,84187.0,0.575,85252.0,57596.0,87753.0,53.2,1.034,2.37,0.0,0.18,1.4,0.97,0.23,1,1.0,99.0,0.00015,0.0,4.4179534135303514e-08,0.0,2.684549,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.459926,0.0,0.0,0.0,,,,,
SMH,LONG,0.29340020593112737,2.9340020593112737,0.0,1.7604,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,1.2e-05,0.0,491938.9090060487,0.0,239.5,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4e-06,0.0,0.509444,0.0,0.0,0.0,,,,,
NVDA,LONG,0.2902491967379641,2.902491967379641,6.96,4.0392,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,2.5,POSITIVE,flag_breakout,2809910441.15,207.98,210.0,150.0,0.95,27.89,8358444.0,7057590.0,0.844,3744753.0,3693596.0,7977685.0,61.7,0.43,2.16,0.07,1.0,1.6,1.57,0.56,2,1.0,99.0,1e-06,0.0,882702.725583056,0.0,3.613197,0,0,0.405032,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.490434,0.0,0.0,0.0,,,,,
GOOGL,LONG,0.28682241578371737,2.8682241578371737,5.9,3.6441,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",2.2,POSITIVE,trend_continuation,454770199.95,343.78,350.0,300.0,1.79,12.75,1542596.0,1299529.0,0.842,742096.0,628768.0,1471261.0,66.9,0.365,2.38,0.0,0.06,1.4,1.82,0.24,3,1.0,2.4191420738941716,2e-06,1e-06,1180964.192625044,976349.5954778774,50.5,0,0,0.492074,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.526899,0.482822,0.0,0.0,1.199234,,,,
FIG,LONG,0.28494228291904555,2.8494228291904555,3.28,3.7487,price_validation_failed,"confirmation_volume, hammer_at_support, not_extended, room_to_target","momentum_aligned, trend_aligned",6.7,NEGATIVE,unknown,-826536.14,,20.0,15.0,15.27,13.55,241529.0,155750.0,0.645,163867.0,111376.0,122036.0,97.7,1.085,0.0,0.24,1.0,1.2,0.36,0.47,2,1.0,99.0,0.000145,0.0,4934.358883096422,0.0,2.938552,0,0,0.012092,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.166533,0.0,0.0,0.0,,,,,
AAOI,LONG,0.251299203500168,2.51299203500168,7.26,4.6945,poor_rr (1.8:1),"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,6.3,NEGATIVE,retest_and_confirm,-67410.41,164.34,200.0,20.0,21.62,87.84,131190.0,120124.0,0.916,122488.0,54221.0,74605.0,98.0,1.601,2.47,0.42,1.0,1.4,1.56,0.41,2,1.0,22.16770828212153,9.3e-05,5.6e-05,2210.580192814168,99.72073633777572,2.752688,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.233146,0.123647,0.0,0.0,311.0,164.44,144.71,200.0,1.8
GEV,LONG,0.2460872520919488,2.4608725209194877,6.69,4.1774,price_validation_failed,"confirmation_volume, consolidation_breakout, momentum_aligned, room_to_target, trend_aligned",not_extended,4.7,NEUTRAL,unknown,,,1200.0,800.0,4.36,30.43,93980.0,117442.0,1.25,81701.0,52238.0,77483.0,60.2,0.511,2.29,0.0,1.0,1.2,1.68,0.52,2,1.0,0.09623351610940009,5e-06,3e-06,234.65757043462938,2438.4183382415977,8.748387,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.092156,0.183548,0.0,0.0,475.0,,,,
QBTS,LONG,0.243945730298456,2.43945730298456,3.52,3.6557,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.9,NEGATIVE,ema_pullback,-246161.56,,30.0,5.0,62.65,72.89,324734.0,220532.0,0.679,184073.0,101568.0,259625.0,76.6,1.083,0.0,0.91,1.0,1.2,0.27,0.14,1,1.0,99.0,3.6e-05,0.0,2.496426418720547e-06,0.0,2.417592,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.109074,0.0,0.0,0.0,,,,,
RBLX,LONG,0.2326279147138443,2.326279147138443,0.0,1.3958,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,1.4e-05,2.8e-05,8.83044686599702e-17,2.171442094596169e-21,2.580858,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.429756,0.502153,0.0,0.0,4.532394,,,,
MU,LONG,0.22604537694164276,2.2604537694164275,5.37,2.9412,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",1.0,POSITIVE,trend_continuation,501166937.53,497.07,500.0,300.0,0.6,39.64,1268655.0,1472302.0,1.161,988554.0,653088.0,1099315.0,90.0,0.76,2.08,0.0,0.0,1.4,1.72,0.17,1,0.7,99.0,3e-06,0.0,1239409.27955456,0.0,3.733068,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.471011,0.0,0.0,0.0,,,,,
VST,LONG,0.21520361138744143,2.152036113874414,0.0,1.2912,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,1.8069889080433592e-23,1.7e-05,1.4e-05,1.1109522283647697e-28,6.148085488624992e-06,1.960912,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.425939,0.702832,0.0,0.0,27.1,,,,
ARM,LONG,0.1870353818219228,1.870353818219228,0.0,1.1222,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,0.42223695503953584,1e-06,5e-06,18980.70646561956,44952.73622803176,1.643478,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.1238,0.745486,0.0,0.0,2.904762,,,,
CRWD,LONG,0.17742914657175674,1.7742914657175675,5.79,3.7441,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.6,NEGATIVE,trend_continuation,-8736595.51,,470.0,300.0,4.51,33.29,210430.0,179831.0,0.855,117996.0,84225.0,188040.0,72.1,0.491,1.75,0.35,1.0,1.4,1.28,0.0,1,1.0,99.0,9e-06,0.0,1.5405585117764934e-11,0.0,1.836735,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.332835,0.0,0.0,0.0,,,,,
VG,LONG,0.16746909126763976,1.6746909126763976,3.53,2.4763,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",2.9,POSITIVE,ema_pullback,2334452.1,11.93,12.5,7.5,4.82,37.11,496528.0,283509.0,0.571,208674.0,106209.0,465154.0,88.4,0.914,0.0,0.49,1.0,1.2,0.69,0.16,1,1.0,99.0,6.8e-05,0.0,2.809809197511769e-07,0.0,1.140794,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.497685,0.0,0.0,0.0,,,,,
BE,LONG,0.15271491965840117,1.5271491965840118,0.0,0.9163,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,88.7200911565384,9e-06,2.2e-05,21812.154322623937,245.85360585505268,1.207569,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.007523,0.548499,0.0,0.0,8.921569,,,,
AMZN,LONG,0.1427319063174447,1.427319063174447,0.0,0.8564,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,8.28433906365981,0.0,1e-06,0.003934731602079921,0.0004749602318113784,1.240876,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.282821,0.465222,0.0,0.0,1.219573,,,,
QQQ,LONG,0.13557003491789332,1.3557003491789332,0.0,0.8134,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,0.6263298678831941,1e-06,1e-06,186189.61407723807,297270.85298758425,1.486316,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.227645,0.462769,0.0,0.0,7.475248,,,,
FCX,LONG,0.12610973335117148,1.2610973335117148,2.16,2.8585,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",7.9,NEGATIVE,unknown,-9226219.77,,70.0,35.0,13.34,43.33,576333.0,593236.0,1.029,241089.0,335674.0,592806.0,64.3,0.483,0.0,0.51,1.0,0.0,0.35,0.3,1,0.7,99.0,1.8e-05,0.0,66153.82064502763,0.0,1.107675,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.381911,0.0,0.0,0.0,,,,,
CDNS,SHORT,0.6814994530821066,6.814994530821066,1.44,4.9595,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.6,NEUTRAL,unknown,,,400.0,265.0,20.82,19.96,48380.0,55375.0,1.145,25618.0,48933.0,29204.0,99.8,0.552,0.0,0.0,0.71,0.0,0.3,0.43,1,1.0,0.0,0.0,0.000184,0.0,12639937.633592213,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,3.1e-05,0.0,0.209118,0.0,0.0,10.699911,,,,
IP,SHORT,0.47055576626817813,4.705557662681781,5.53,4.5518,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",2.7,NEUTRAL,trend_continuation,,,37.5,32.5,14.12,1.1,32149.0,39498.0,1.229,16296.0,16874.0,38477.0,99.2,0.534,2.05,0.0,0.0,1.4,1.92,0.17,1,1.0,0.0,0.0,2e-05,0.0,4.8414813044844194e-24,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.412671,0.0,0.0,36.372263,,,,
URA,SHORT,0.4202589150877482,4.202589150877482,3.97,5.0123,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",8.6,NEGATIVE,bounce_and_fail,-1871538.04,55.61,60.0,50.0,7.89,10.09,187756.0,122550.0,0.653,30584.0,111607.0,168115.0,52.0,0.551,0.0,0.51,1.0,1.0,1.27,0.2,1,1.0,0.0,0.0,0.000331,0.0,2.9171001815513915e-14,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.148329,0.0,0.0,18.164502,,,,
TER,SHORT,0.3930149151170629,3.930149151170629,1.29,3.2721,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",4.6,NEUTRAL,unknown,,,440.0,350.0,4.74,16.68,39106.0,24753.0,0.633,28475.0,12734.0,22650.0,95.3,0.826,0.0,0.0,1.0,0.0,0.08,0.21,3,1.0,0.0,0.0,3.8e-05,0.0,145175.94920243262,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,2e-06,0.0,0.286259,0.0,0.0,11.386939,,,,
DPZ,SHORT,0.3736854613614979,3.736854613614979,5.21,4.4914,price_validation_failed,"confirmation_volume, ema_rally, not_extended, room_to_target, trend_aligned",momentum_aligned,5.3,NEUTRAL,ema_rally,,,410.0,340.0,9.68,9.05,6309.0,12504.0,1.982,9416.0,3782.0,5615.0,95.7,0.398,1.51,0.85,1.0,1.2,0.27,0.39,1,1.0,0.0,0.0,2.9e-05,0.0,2.8312272647139226e-25,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.621069,0.0,0.0,27.272727,,,,
APH,SHORT,0.372534734053995,3.72534734053995,3.28,3.9267,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.4,NEUTRAL,bounce_and_fail,,,155.0,95.0,3.07,36.83,54460.0,80971.0,1.487,72343.0,31607.0,31481.0,98.8,0.615,0.0,0.27,1.0,1.0,1.01,0.0,2,1.0,0.0,0.0,7e-06,0.0,1066.8747836925684,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.53164,0.0,0.0,15.995671,,,,
APLD,SHORT,0.3706259295658262,3.7062592956582616,3.55,3.8781,price_validation_failed,"confirmation_volume, momentum_aligned, pullback_to_resistance, room_to_target","not_extended, trend_aligned",4.8,POSITIVE,pullback_to_resistance,5507652.45,35.96,40.0,25.0,11.23,30.48,558573.0,262687.0,0.47,302580.0,161220.0,357460.0,27.2,1.05,0.0,0.0,1.0,1.4,0.63,0.53,4,1.0,0.0,0.0,0.000265,0.0,90.09638522198127,,0,0,0.0,0.584186,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.3847,0.0,0.0,4.821407,,,,
MRVL,SHORT,0.370289029668896,3.7028902966889596,0.0,2.2217,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,1e-05,0.0,586682.788279823,,0,1,0.0,0.336907,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,2e-06,0.0,0.192819,0.0,0.0,25.596639,,,,
LULU,SHORT,0.3448964273786221,3.448964273786221,3.99,4.4415,price_validation_failed,"confirmation_volume, momentum_aligned, trend_aligned","continuation_pattern, not_extended, room_to_target",7.6,NEGATIVE,unknown,-12295650.81,,200.0,140.0,38.5,3.05,187206.0,165068.0,0.882,81832.0,83324.0,187118.0,47.9,0.432,1.69,0.0,0.0,0.0,1.79,0.51,2,1.0,0.0,0.0,7.6e-05,0.0,20301.515560435648,,0,0,0.0,0.359611,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.0,0.460279,0.0,0.0,4.211408,,,,
TLN,SHORT,0.322115387966553,3.22115387966553,1.69,3.0776,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",4.8,NEUTRAL,unknown,,,370.0,260.0,2.55,27.94,36637.0,26099.0,0.712,15846.0,10718.0,36172.0,85.3,0.605,0.0,0.37,1.0,0.0,0.18,0.14,1,1.0,0.0,0.0,3.4e-05,0.0,1996.2464680175367,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.534105,0.0,0.0,7.388889,,,,
LEN,SHORT,0.3164335685680316,3.1643356856803164,5.84,4.5342,price_validation_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.0,NEUTRAL,ema_rally,,,100.0,80.0,5.64,15.49,48889.0,59449.0,1.216,41429.0,15995.0,50914.0,64.3,0.416,2.0,0.63,1.0,1.2,1.02,0.0,1,1.0,0.0,0.0,2.6e-05,0.0,423396.05254715716,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-05,0.0,0.483122,0.0,0.0,1.408197,,,,
XPEV,SHORT,0.30765065242553524,3.076506524255352,0.0,1.8459,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,0.7,99.0,5.6e-05,4.1e-05,3.428831605141432e-13,1.1262040982576767e-22,6.849105,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.6571,0.171373,0.0,0.0,16.983051,,,,
SCHW,SHORT,0.3047190480994228,3.047190480994228,5.13,4.5226,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",7.3,NEGATIVE,trend_continuation,-48594887.32,,100.0,85.0,12.42,4.44,217481.0,267616.0,1.231,185531.0,115355.0,184211.0,50.0,0.28,1.88,0.21,0.0,1.4,1.65,0.0,1,1.0,0.0,0.0,3e-06,0.0,355984.9938705348,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,1e-06,0.0,0.350784,0.0,0.0,3.177936,,,,
LYB,SHORT,0.3034337827792328,3.034337827792328,4.11,3.8902,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.7,NEUTRAL,retest_and_confirm,,,90.0,60.0,29.48,13.68,79116.0,79907.0,1.01,38750.0,48878.0,71395.0,91.5,0.57,0.0,0.61,1.0,1.4,1.1,0.0,1,1.0,0.0,0.0,1.2e-05,0.0,7.723799685516673e-22,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.426785,0.0,0.0,6.147436,,,,
STX,SHORT,0.2997887866447542,2.997887866447542,2.52,3.2349,price_validation_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",4.9,NEUTRAL,bounce_and_fail,,,600.0,200.0,1.33,66.22,76809.0,88544.0,1.153,54554.0,29328.0,81471.0,99.6,0.855,0.0,0.0,1.0,1.0,0.41,0.11,3,1.0,0.0,0.0,1.2e-05,0.0,121374.4064728142,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,2e-06,0.0,0.757772,0.0,0.0,118.75,,,,
ARM,SHORT,0.29279226879874387,2.9279226879874387,0.0,1.7568,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.42223695503953584,1e-06,5e-06,18980.70646561956,44952.73622803176,1.643478,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.1238,0.745486,0.0,0.0,2.904762,,,,
