ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
TRIP,LONG,0.67851587576401,6.785158757640099,7.42,6.9186,poor_rr (1.7:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.5,POSITIVE,flag_breakout,2055048.24,12.41,20.0,8.0,61.16,35.54,185178.0,106076.0,0.573,52692.0,46833.0,191729.0,49.1,0.577,2.23,0.39,1.0,1.6,1.33,0.86,False,consolidation_break,3.0,False,12.41,10.92,14.94,1.7,2,1.0,99.0,0.000691,0.0,62759.400457707605,0.0,49.468781,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.7e-05,0.0,0.183254,0.0,0.0,0.0,1.0,0.67851587576401,0.67851587576401,n/a,2026-06-12,2026-06-12,False,
EMN,LONG,0.5065163738543761,5.065163738543761,5.76,5.6406,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,6.9,NEUTRAL,retest_and_confirm,,,80.0,70.0,6.35,6.94,20378.0,5517.0,0.271,11659.0,7543.0,6693.0,23.9,0.377,1.54,0.69,0.21,1.4,1.81,0.1,False,default,2.5,False,,,,,1,1.0,99.0,6.7e-05,0.0,1.0539975477595217e-14,0.0,4.118644,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.341436,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-06-12,2026-06-12,False,
FWONK,LONG,0.4808020881400903,4.808020881400903,4.07,4.785,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.8,NEUTRAL,trend_continuation,,,100.0,80.0,12.45,10.04,9137.0,10051.0,1.1,351.0,11549.0,7288.0,64.3,0.343,0.0,0.98,0.37,1.4,1.03,0.28,False,default,2.5,False,,,,,1,0.7,99.0,0.000267,0.0,7.183468454641596e-22,0.0,361.363636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.2377,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-06-12,2026-06-12,False,
ACMR,LONG,0.4662852014846729,4.662852014846729,7.58,5.7254,poor_rr (0.5:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.6,NEUTRAL,trend_continuation,,,100.0,75.0,6.44,20.17,37546.0,11432.0,0.304,16954.0,14043.0,17981.0,96.4,1.021,2.48,0.66,1.0,1.4,1.56,0.48,False,sustained_trend,5.0,False,93.95,82.68,100.0,0.54,2,1.0,99.0,0.000216,0.0,9.160323145508249e-15,0.0,154.37931,1,0,0.039691,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.074323,0.0,0.0,0.0,1.0,0.4662852014846729,0.4662852014846729,n/a,2026-06-12,2026-06-12,False,
AMKR,LONG,0.4376525316410587,4.3765253164105875,7.14,5.3503,poor_rr (1.7:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.1,NEUTRAL,trend_continuation,,,100.0,70.0,20.8,15.44,92101.0,77099.0,0.837,93203.0,33521.0,42476.0,95.9,0.945,1.57,0.64,1.0,1.4,1.94,0.59,False,sustained_trend,5.0,False,82.78,72.85,100.0,1.73,3,1.0,99.0,0.000121,0.0,159330.82822103382,0.0,3.378687,1,0,0.020368,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.1e-05,0.0,0.422662,0.0,0.0,0.0,1.0,0.4376525316410587,0.4376525316410587,n/a,2026-06-12,2026-06-12,False,
JCI,LONG,0.39192121265582036,3.919212126558204,5.1,4.4096,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.6,NEUTRAL,trend_continuation,,,150.0,80.0,3.48,44.81,46984.0,48285.0,1.028,46731.0,11127.0,37411.0,59.9,0.33,1.58,0.87,0.0,1.4,1.21,0.04,False,sustained_trend,5.0,False,,,,,1,0.7,99.0,8e-06,0.0,9.178986642037242e-16,0.0,1.130117,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.479221,0.0,0.0,0.0,1.0,0.39192121265582036,0.39192121265582036,n/a,2026-06-12,2026-06-12,False,
ITT,LONG,0.3700169207722694,3.700169207722694,4.28,4.0541,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,4.6,NEUTRAL,bounce_and_fail,,,190.0,175.0,0.46,7.47,4251.0,3263.0,0.768,1851.0,5350.0,313.0,59.6,0.325,0.0,0.68,1.0,1.0,1.02,0.59,False,default,2.5,False,,,,,1,1.0,99.0,3.4e-05,0.0,9.983595952895221e-22,0.0,8.426966,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.55878,0.0,0.0,0.0,1.0,0.3700169207722694,0.3700169207722694,n/a,2026-06-12,2026-06-12,False,
UEC,LONG,0.3621764178936347,3.621764178936347,4.05,4.7259,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned,8.5,NEGATIVE,unknown,-503494.57,11.02,15.0,10.0,35.99,9.34,172786.0,80049.0,0.463,97185.0,65778.0,89872.0,33.9,0.832,0.0,0.43,1.0,1.4,0.85,0.37,False,default,2.5,False,,,,,1,1.0,99.0,0.000143,0.0,9.832895224297789e-16,0.0,6.326279,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.481814,0.0,0.0,0.0,1.0,0.3621764178936347,0.3621764178936347,n/a,2026-06-12,2026-06-12,False,
SOXX,LONG,0.35550528388183167,3.555052838818317,6.36,3.8655,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",0.9,POSITIVE,trend_continuation,34615685.59,596.29,600.0,500.0,0.63,16.14,105232.0,298755.0,2.839,206313.0,56024.0,141650.0,99.1,0.614,2.08,0.74,0.1,1.4,1.84,0.21,False,sustained_trend,5.0,False,,,,,2,1.0,99.0,3.9e-05,0.0,375795.44702773134,0.0,1.559787,0,0,0.292806,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.008516,0.0,0.0,0.0,1.0,0.35550528388183167,0.35550528388183167,n/a,2026-06-12,2026-06-12,False,
AXTI,LONG,0.3444128423343522,3.444128423343522,5.49,4.4891,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,5.6,POSITIVE,flag_breakout,267859.83,,105.0,40.0,8.05,58.84,130656.0,136330.0,1.043,118067.0,93446.0,55473.0,40.1,1.429,0.0,0.92,1.0,1.6,1.54,0.43,False,default,2.5,False,,,,,5,1.0,5.365815185994984,0.000452,6.5e-05,2.308322269331118e-12,1.7207616657062223e-12,31.897071,0,0,0.291853,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.656633,0.199482,0.0,0.0,1.0,0.3444128423343522,0.3444128423343522,n/a,2026-06-12,2026-06-12,False,6.14
