ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio
PWR,LONG,0.517292830501678,5.17292830501678,3.48,4.2905,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",3.3,NEUTRAL,ema_pullback,,,700.0,540.0,4.74,19.2,15758.0,20984.0,1.332,14014.0,11680.0,11048.0,99.4,0.56,0.0,0.54,1.0,1.2,0.51,0.23,False,default,2.5,False,13,1.0,0.00035906094315655255,4.6e-05,2.8e-05,1.0967966425166797,6872.906933201471,57.014991,47.4375,0,0,6e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.619191,0.492874,0.0,0.0,1.0,0.517292830501678,0.517292830501678,n/a,2026-07-03,2026-07-03,False,,,,
ITT,LONG,0.5065163738543761,5.065163738543761,2.32,3.7086,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",2.4,NEUTRAL,unknown,,,190.0,185.0,1.71,0.96,4551.0,5871.0,1.29,9381.0,623.0,418.0,92.4,0.395,0.0,0.58,1.0,0.0,0.39,0.34,False,default,2.5,False,1,1.0,99.0,3.4e-05,0.0,1.0193621494095122e-46,0.0,8.426966,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.55878,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-07-03,2026-07-03,False,,,,
EQIX,LONG,0.45293933373105605,4.529393337310561,1.84,3.9167,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",5.5,NEUTRAL,unknown,,,1120.0,1000.0,11.77,0.2,3575.0,10707.0,2.995,2353.0,8945.0,2984.0,99.2,0.362,0.0,0.11,1.0,0.0,0.14,0.6,False,default,2.5,False,2,1.0,99.0,8e-06,4e-06,2356.126406340365,3.4522918761503877e-37,17.2,49.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.647151,0.842842,0.0,0.0,1.0,0.45293933373105605,0.45293933373105605,n/a,2026-07-03,2026-07-03,False,,,,
MTSI,LONG,0.4485092173696755,4.485092173696755,3.23,4.4315,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",6.1,NEUTRAL,ema_pullback,,,400.0,250.0,24.12,22.42,10182.0,4532.0,0.445,3605.0,8451.0,2658.0,97.7,0.825,0.0,0.29,1.0,1.2,0.25,0.49,False,default,2.5,False,3,1.0,99.0,8.9e-05,1e-05,4.5979246306374904e-32,1.4480608876612654e-37,18.470857,40.75,1,0,0.482903,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.25272,0.174674,0.0,0.0,1.0,0.4485092173696755,0.4485092173696755,n/a,2026-07-03,2026-07-03,False,,,,
KWEB,LONG,0.42267686869801724,4.226768686980172,4.44,4.4654,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned",5.1,POSITIVE,unknown,44157799.75,24.98,35.0,24.0,40.06,3.96,2313198.0,792041.0,0.342,765614.0,1112888.0,1172005.0,81.1,0.347,0.0,0.74,1.0,0.0,1.7,1.0,False,default,2.5,False,4,1.0,99.0,0.001073,0.0,2787.8006771182495,0.0,89.989373,,0,0,0.293801,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.353287,0.0,0.0,0.0,1.0,0.42267686869801724,0.42267686869801724,n/a,2026-07-03,2026-07-03,False,,,,
TER,LONG,0.40276961537269973,4.027696153726997,2.47,3.7348,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",4.9,NEUTRAL,ema_pullback,,,520.0,340.0,40.89,7.88,43214.0,35086.0,0.812,26684.0,15005.0,28548.0,100.0,1.092,0.0,0.48,0.37,1.2,0.11,0.32,False,default,2.5,False,7,1.0,99.0,4.3e-05,4e-06,0.7699837740282184,5.459896819597964e-16,31.672091,25.0,1,0,0.000203,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.147398,0.55377,0.0,0.0,1.0,0.40276961537269973,0.40276961537269973,n/a,2026-07-03,2026-07-03,False,,,,
COHR,LONG,0.3983460895970713,3.9834608959707127,0.0,2.3901,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,14,1.0,0.2003464348517964,7.8e-05,0.000255,0.0001245341359272447,0.00034532998364493315,27.004644,9.716043,2,3,0.649186,0.579443,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.615123,0.127365,0.0,0.0,,,,,,,False,,,,
UEC,LONG,0.37495303970301924,3.7495303970301923,3.74,4.1968,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.0,NEUTRAL,bounce_and_fail,,,15.0,10.0,39.28,7.15,143450.0,62270.0,0.434,40615.0,51797.0,94102.0,2.2,0.733,0.0,0.69,1.0,1.0,0.99,0.06,False,default,2.5,False,1,1.0,99.0,0.000141,0.0,1.0039750464713203e-40,0.0,6.326279,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.481814,0.0,0.0,0.0,1.0,0.37495303970301924,0.37495303970301924,n/a,2026-07-03,2026-07-03,False,,,,
PG,LONG,0.35939625662057456,3.5939625662057457,6.04,4.149,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, trend_aligned",room_to_target,2.7,POSITIVE,retest_and_confirm,81740484.87,151.25,155.0,130.0,2.37,14.14,216279.0,150123.0,0.694,135674.0,83149.0,133079.0,92.5,0.256,1.57,0.8,0.0,1.4,1.93,0.34,False,sustained_trend,5.0,False,1,1.0,99.0,5e-06,0.0,3.2338254856106103e-16,0.0,1.330232,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.397151,0.0,0.0,0.0,1.0,0.35939625662057456,0.35939625662057456,n/a,2026-07-03,2026-07-03,False,,,,
SPOT,LONG,0.3558311877168453,3.558311877168453,5.02,4.9652,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",8.4,NEGATIVE,retest_and_confirm,-3685290.17,484.76,600.0,370.0,23.46,23.86,74710.0,68331.0,0.915,36546.0,40568.0,57132.0,61.3,0.467,0.0,0.69,0.84,1.4,1.85,0.25,False,default,2.5,False,7,1.0,99.0,3e-05,1.2e-05,436.05665667285194,5.365004355917408e-06,4.083634,5.250794,1,0,0.0,0.039225,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.716396,0.590494,0.0,0.0,1.0,0.3558311877168453,0.3558311877168453,n/a,2026-07-03,2026-07-03,False,,,,
