ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
ANET,LONG,0.3236785444820719,3.236785444820719,6.91,5.0314,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,6.7,NEGATIVE,trend_continuation,-2011131.97,,195.0,105.0,17.55,36.7,150837.0,110258.0,0.731,82230.0,57606.0,121259.0,76.6,0.616,2.32,0.0,1.0,1.4,1.82,0.37,5,1.0,99.0,3e-06,2e-06,473.7329356092024,5.774220307873732,66.484809,4.8,2,0,0.22164,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.307546,0.527616,0.0,0.0,,,,,0.6051926751026276,0.5058689142638241
GAP,SHORT,0.3006573426283946,3.0065734262839463,1.53,3.6423,watchlist_reeval_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",8.4,NEUTRAL,unknown,,,30.0,22.0,10.66,18.85,43175.0,59165.0,1.37,13058.0,23453.0,65829.0,43.2,0.425,0.0,0.25,1.0,0.0,0.26,0.01,3,1.0,5.902490775845216e-07,6e-06,1.5e-05,2.8606534716365572e-15,2.4232595867351626e-09,0.368322,6.72684,0,0,0.0,1e-06,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.474846,0.365706,0.0,0.0,,,,,0.4145065530389754,0.6581527679542841
GM,SHORT,0.28847803404796013,2.884780340479601,3.38,3.2964,watchlist_reeval_failed,"momentum_aligned, not_extended, pullback_to_resistance, room_to_target","confirmation_volume, trend_aligned",4.2,POSITIVE,pullback_to_resistance,12762078.11,80.79,85.0,60.0,5.32,25.66,186813.0,141101.0,0.755,45872.0,130624.0,151418.0,93.5,0.422,0.0,0.18,1.0,1.4,0.69,0.1,12,1.0,9.502711783703508e-11,7e-06,1.4e-05,1.4199530518717008e-07,298.85217697685454,0.26618,0.824757,1,1,0.001641,0.012377,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.509044,0.524442,0.0,0.0,,,,,0.4451736206405292,0.7084943237136289
AAL,SHORT,0.28716745850505393,2.871674585050539,4.93,4.4548,watchlist_reeval_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,7.7,NEGATIVE,bounce_and_fail,-2466920.17,,15.0,10.0,22.65,18.23,951076.0,1554885.0,1.635,529655.0,636919.0,1339387.0,84.7,0.575,0.0,0.49,1.0,1.0,1.48,0.97,3,1.0,0.29301045611208065,1.4e-05,5.6e-05,8011.545609507672,13671.091666508895,2.115489,0.61761,0,0,0.0,0.301255,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2e-06,0.383992,0.536609,0.0,0.0,,,,,0.6421748023988,0.7089420484437089
USAR,LONG,0.5688989379688314,5.688989379688314,6.91,6.3375,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,7.1,POSITIVE,trend_continuation,2942109.22,22.09,25.0,11.0,12.98,50.29,262236.0,120842.0,0.461,124736.0,128375.0,129967.0,41.9,1.05,1.78,0.16,1.0,1.4,1.57,1.0,5,1.0,99.0,9.6e-05,1e-05,1479.1367962435402,0.658130580925854,2.717762,0.179794,2,0,0.006115,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.00505,0.680236,0.0,0.0,,,,,0.46676728033100956,0.42360934818285967
UVXY,LONG,0.49176009911111107,4.917600991111111,4.66,5.1168,watchlist_reeval_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,6.3,POSITIVE,bounce_and_fail,1516814.27,38.73,50.0,35.0,27.26,10.92,143307.0,63294.0,0.442,106088.0,49135.0,51378.0,48.1,1.046,0.0,0.39,1.0,1.0,1.48,0.79,5,1.0,30.0994308909658,0.001145,0.000311,11.216506371850132,0.5589726802052284,2.127191,75.296392,0,1,0.0,0.037303,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.006668,0.05475,0.0,0.0,,,,,0.6500080797195371,0.5
NVAX,LONG,0.3896214174769785,3.896214174769785,4.7,4.4981,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.7,POSITIVE,trend_continuation,588844.09,8.68,10.0,2.0,16.08,76.78,124398.0,62112.0,0.499,27623.0,30976.0,127911.0,71.4,0.835,0.0,0.95,1.0,1.4,1.12,0.23,1,1.0,99.0,4.2e-05,0.0,4.9370737061610775e-15,0.0,524.0,,1,0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.792614,0.0,0.0,0.0,,,,,0.6937649667124247,0.3978400915792585
TFIN,LONG,0.3741988672833563,3.7419886728335627,6.39,4.628,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.2,NEUTRAL,trend_continuation,,,70.0,50.0,4.28,25.51,951.0,1187.0,1.248,584.0,505.0,1049.0,72.5,0.572,1.94,0.28,1.0,1.4,1.61,0.16,2,1.0,99.0,9.5e-05,0.0,2439.860127227627,0.0,,,1,0,0.080824,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1e-06,0.0,0.447187,0.0,0.0,0.0,,,,,0.6037223143260039,0.3978400915792585
ARKK,SHORT,0.4452938898641422,4.452938898641422,0.83,4.1355,watchlist_reeval_failed,confirmation_volume,"continuation_pattern, momentum_aligned, not_extended, room_to_target, trend_aligned",8.3,NEGATIVE,unknown,-6497099.05,,85.0,70.0,7.94,11.11,241282.0,293470.0,1.216,231003.0,149393.0,154356.0,50.0,0.415,0.0,0.0,0.0,0.0,0.48,0.34,6,1.0,71.30024426186917,4.1e-05,8.9e-05,5834.544862460839,40.91532169954367,0.500381,0.916022,0,1,0.275259,0.510906,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1e-06,0.0,0.37537,0.375335,0.0,0.0,,,,,0.48329319992928566,0.641750340328295
MNDY,SHORT,0.3662422374918207,3.662422374918207,6.11,4.5642,watchlist_reeval_failed,"confirmation_volume, ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.5,NEUTRAL,ema_rally,,,80.0,60.0,20.41,9.69,29496.0,28171.0,0.955,22328.0,273.0,35066.0,95.2,0.954,2.11,0.9,0.67,1.2,0.65,0.58,1,1.0,0.0,0.0,4.1e-05,0.0,0.17177749117548968,,2.920892,0,0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.008995,0.0,0.0,,,,,0.37893969352083734,0.6844872909619183
