ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
SIMO,LONG,0.81,8.100000000000001,0.0,4.86,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,629030281.4212937,15,1.0,99.0,0.000682,9.1e-05,302922.2659508412,0.0009845219991840809,215.398504,176.0,0,3,0.0,0.577604,,,,
U,LONG,0.7601701326529116,7.601701326529115,0.0,4.561,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.713524941363543,11,1.0,8.024563880794423,0.000129,1.8e-05,126237.7144918661,41950.42999375021,6.019581,9.240408,2,0,0.374893,0.552582,,,,
DAVE,LONG,0.7178519200000001,7.178519200000001,0.0,4.3071,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9469436612.634075,19,1.0,1.8313175282297337e-08,0.000938,0.000501,0.0006991418306298391,82716.80232112955,2.856607,15.628246,2,1,0.120377,0.435115,,,,
AKAM,LONG,0.6870779098769866,6.870779098769866,0.0,4.1225,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.139887264670715,11,1.0,99.0,9.4e-05,0.0,48466.345694172574,0.0,0.458485,,8,0,0.60747,0.0,,,,
RGTI,LONG,0.675857791975277,6.75857791975277,0.0,4.0551,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.3677086881533025,7,1.0,99.0,0.000124,0.0,65086.060065547405,0.0,19.273331,,0,0,0.762186,0.0,,,,
CIFR,LONG,0.6428447375761939,6.428447375761939,6.15,6.2992,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.2,POSITIVE,trend_continuation,6586834.45,18.0,25.0,10.0,38.89,44.44,801106.0,423625.0,0.529,426237.0,170833.0,627661.0,50.0,1.108,1.79,0.38,1.0,1.4,1.35,0.23,32.302469327247024,5,1.0,19.239099817854097,0.000105,4e-06,99770.75576650901,20743.33138475027,2.567704,0.978482,0,0,0.152096,0.0,,,,
LRCX,LONG,0.6411938501300579,6.411938501300579,0.0,3.8472,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.3672337083023685,31,1.0,0.4106143631120207,1.7e-05,1.1e-05,56034.994908355184,188953.24420443288,3.624743,3.349703,9,3,0.623363,0.800678,,,,
USO,LONG,0.6362557387369445,6.362557387369446,5.46,6.0393,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",6.1,NEGATIVE,ema_pullback,-7374081.94,,130.0,80.0,6.04,34.74,767270.0,1142988.0,1.49,1053568.0,178155.0,678535.0,83.0,0.684,2.28,0.99,0.94,1.2,0.05,0.0,1.6982538609624565,8,1.0,6.658996071781614,0.001128,0.000158,187780.96973093817,84598.77481833266,0.156808,0.104665,1,1,0.568973,0.461837,,,,
ORBS,LONG,0.6125,6.125,4.74,5.7045,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",6.1,NEUTRAL,retest_and_confirm,,,1.5,1.0,31.58,12.28,96823.0,58415.0,0.603,111813.0,527.0,42898.0,73.8,2.101,0.0,0.45,1.0,1.4,1.75,0.13,0.0,1,1.0,99.0,0.000249,0.0,81791.47234935369,0.0,4.004373,,1,0,0.0,0.0,,,,
CAR,LONG,0.6081997750144331,6.081997750144331,0.0,3.6492,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5622401132413959,8,1.0,99.0,6.9e-05,0.0,116815.43139035699,0.0,20.260417,,2,0,0.816142,0.0,,,,
KWEB,LONG,0.6040248628254314,6.040248628254314,5.16,5.5481,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",4.9,POSITIVE,retest_and_confirm,81138046.67,29.64,33.0,28.0,11.34,5.53,2517965.0,862396.0,0.342,1483235.0,733612.0,1163514.0,72.5,0.329,0.0,0.55,1.0,1.4,1.94,0.28,0.6785477421322615,13,1.0,28.189137998619035,0.000311,1.1e-05,62780.65961420476,26725.468349098297,0.178858,0.112109,5,1,0.689141,0.0,,,,
VSCO,LONG,0.6012304116999496,6.012304116999497,4.07,5.6072,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",6.9,NEUTRAL,retest_and_confirm,,,55.0,40.0,10.95,19.31,22064.0,10697.0,0.485,12290.0,6363.0,14108.0,49.2,0.66,0.0,0.86,1.0,1.4,0.77,0.04,1.1168866473369088e+17,4,1.0,99.0,9e-05,0.0,38.965045004533955,0.0,11.366577,,0,0,0.0,0.0,,,,
CROX,LONG,0.5955992273103328,5.955992273103328,0.0,3.5736,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.6824406515332581e+19,7,1.0,99.0,9e-05,8e-06,14606.367387202003,85.7088423405988,1.482671,0.678445,4,0,1e-06,0.0,,,,
W,LONG,0.5879077866666667,5.879077866666666,0.0,3.5274,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,539186631.0951962,13,1.0,99.0,0.000101,0.000241,0.00022098535029492595,2.6689746900996756e-11,1.812352,2.388663,1,2,0.000136,0.250996,,,,
LYFT,LONG,0.586291561168923,5.86291561168923,5.03,5.0405,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,3.0,POSITIVE,retest_and_confirm,2698954.5,14.66,15.0,12.0,2.32,18.14,413291.0,233450.0,0.565,174358.0,146118.0,326265.0,91.1,0.799,0.0,0.42,1.0,1.4,1.86,0.35,3325698998.3280363,7,1.0,99.0,0.000114,5.9e-05,30495.10498481046,0.00021071922805471175,1.233696,0.241976,1,0,0.491179,0.001652,,,,
UUUU,LONG,0.5853914376316037,5.8539143763160375,0.0,3.5123,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2.642935267522378,4,1.0,2.1133219908267553,6.2e-05,4.2e-05,82590.13503845614,39080.71528946044,64.292563,46.117547,0,0,0.465712,0.0,,,,
APO,LONG,0.5789668504600708,5.789668504600708,0.0,3.4738,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,393.8076228513915,28,1.0,7.1182889597417445,3.5e-05,6e-06,32205.39044753285,20811.854772474126,1.761406,6.972621,4,1,0.759502,0.498304,,,,
TE,LONG,0.5719193823273406,5.7191938232734065,6.4,5.9596,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,5.9,NEUTRAL,trend_continuation,,,10.0,5.0,87.27,6.37,156062.0,35031.0,0.224,66038.0,22915.0,102140.0,72.8,1.324,0.0,1.0,1.0,1.4,2.0,1.0,0.7474150300393486,2,1.0,99.0,8.6e-05,0.0,32835.39072620192,0.0,3.184172,,0,0,0.427726,0.0,,,,
