ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
KLAC,SHORT,0.34071676065534023,3.4071676065534025,2.02,3.7496,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",7.2,NEGATIVE,unknown,-140552.59,,260.0,224.0,0.72,13.23,159253.0,210594.0,1.322,57690.0,158784.0,153373.0,99.0,0.814,0.0,0.31,1.0,0.0,0.67,0.04,False,default,2.5,False,4,1.0,5.395296408438087e-07,1e-06,1.3e-05,3.2872032952350344e-12,2.0309068284576812e-06,3.368421,0,1,0.0,5e-06,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.03714,0.459428,0.0,0.0,1.0,0.34071676065534023,0.34071676065534023,n/a,2026-06-25,2026-06-25,False,5.903846,,,,
RKLB,SHORT,0.32595891379631603,3.25958913796316,6.38,4.9438,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,7.0,NEGATIVE,trend_continuation,-2532423.37,,110.0,60.0,36.58,25.5,566396.0,429714.0,0.759,346471.0,97471.0,552168.0,20.8,0.87,2.01,0.01,0.78,1.4,1.96,0.21,False,default,2.5,False,4,1.0,0.8628885074434756,1.9e-05,4.3e-05,2621.2601427997874,1012.5912831102327,3.584046,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.304902,0.112424,0.0,0.0,1.0,0.32595891379631603,0.32595891379631603,n/a,2026-06-25,2026-06-25,False,1.854525,,,,
NEM,SHORT,0.3209839801277202,3.2098398012772025,0.0,1.9259,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,0.08464548607467111,3.7e-05,1.2e-05,3.1274526324747784e-13,5.542148986626155e-12,2.804518,1,1,0.0,0.208665,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.1331,0.333703,0.0,0.0,,,,,,,False,1.737761,,,,
EWZ,SHORT,0.32094476676532063,3.2094476676532064,4.41,4.1477,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern",6.1,POSITIVE,unknown,61739615.79,34.24,45.0,30.0,31.46,12.36,3009101.0,1059864.0,0.352,842272.0,1135457.0,2091236.0,41.1,0.284,1.98,0.69,1.0,0.0,0.63,0.11,False,default,2.5,False,2,1.0,2.0222269599208793e-06,2.6e-05,0.00014,6.713517860635587e-16,3.3198636917085987e-10,4.969536,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.41349,0.245826,0.0,0.0,1.0,0.32094476676532063,0.32094476676532063,n/a,2026-06-25,2026-06-25,False,2.383578,,,,
SMH,SHORT,0.3126131390630604,3.126131390630604,0.0,1.8757,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,9,1.0,0.07954479183820094,2.5e-05,3.1e-05,755.2813104750918,18990.0883017302,36.455808,2,0,0.79896,0.507012,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.501121,0.258697,0.0,0.0,,,,,,,False,56.823727,,,,
BB,SHORT,0.3095256870474892,3.0952568704748917,2.2,2.8676,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",3.3,POSITIVE,unknown,5950339.82,,13.0,7.0,25.06,32.66,641895.0,122943.0,0.192,272432.0,180941.0,311465.0,89.1,0.939,0.0,0.2,1.0,0.0,0.22,0.78,False,default,2.5,False,2,0.7,0.0,0.0,0.000162,0.0,5.611084389890048e-21,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.007214,0.0,0.0,1.0,0.3095256870474892,0.3095256870474892,n/a,2026-06-25,2026-06-25,False,12.022642,,,,
APP,SHORT,0.3093327947343521,3.093327947343521,0.0,1.856,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,2.268385620770149e-30,1.1e-05,7e-06,4.74180313740026e-27,1045.1933511618608,5.916667,0,1,0.0,0.4226,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.421066,0.514681,0.0,0.0,,,,,,,False,87.125,,,,
NFLX,SHORT,0.3081372092273832,3.081372092273832,6.49,4.1877,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.5,POSITIVE,trend_continuation,243912.04,72.14,100.0,5.0,38.62,93.07,3125947.0,2489317.0,0.796,1211445.0,1195851.0,3207968.0,92.9,0.447,2.84,0.39,0.0,1.4,1.71,0.15,False,sustained_trend,5.0,False,5,1.0,3.713663695713567e-33,4e-06,9e-06,1.0886411089750954e-29,732.8619378160446,1.153499,0,0,0.0,0.350196,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.395512,0.459601,0.0,0.0,1.0,0.3081372092273832,0.3081372092273832,n/a,2026-06-25,2026-06-25,False,103.182061,,,,
IONQ,SHORT,0.29803544850620844,2.9803544850620844,4.97,4.5412,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",7.8,NEGATIVE,retest_and_confirm,-4632477.28,50.65,60.0,30.0,18.5,40.75,327298.0,326575.0,0.998,265154.0,160807.0,227912.0,51.7,0.954,0.0,0.5,1.0,1.4,1.95,0.12,False,default,2.5,False,1,0.7,0.0,0.0,2.2e-05,0.0,343124.5161723717,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.005279,0.0,0.0,1.0,0.29803544850620844,0.29803544850620844,n/a,2026-06-25,2026-06-25,False,18.929688,,,,
DRAM,SHORT,0.2976790282787121,2.976790282787121,0.0,1.7861,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,5.942867777344893,0.0,0.0,3266.40706099833,2198.539279941826,15.644299,1,1,0.596277,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.29528,0.48208,0.0,0.0,,,,,,,False,13.532051,,,,
