ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio
MRVL,LONG,0.5796256965213863,5.796256965213863,0.0,3.4778,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,0.16099917821355073,7.3e-05,1.2e-05,13505.20921941528,251651.14572513875,115.837181,34.031706,7,1,0.390447,0.337324,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,1e-06,0.660451,0.192822,0.0,0.0,,,,
AXTI,LONG,0.5540235454155564,5.540235454155564,5.55,5.2951,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.3,POSITIVE,ema_pullback,440587.84,76.2,105.0,45.0,37.87,40.91,196017.0,83148.0,0.424,134590.0,40361.0,104214.0,92.5,1.846,2.38,0.59,0.33,1.2,0.69,0.36,10,1.0,99.0,0.002727,0.0,9297.334152281508,0.0,12.172617,,1,0,0.635169,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.2e-05,0.0,0.519083,0.0,0.0,0.0,,,,
NPO,LONG,0.5114994530821066,5.1149945308210665,6.83,5.0065,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,2.0,NEUTRAL,flag_breakout,,,300.0,270.0,1.87,8.32,1104.0,1425.0,1.291,1162.0,615.0,752.0,90.9,0.496,1.87,0.33,1.0,1.6,1.69,0.35,1,1.0,99.0,0.000107,0.0,7.042274180914269e-23,0.0,18.181818,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53186,0.0,0.0,0.0,,,,
TSEM,LONG,0.5006856180414517,5.006856180414517,5.91,5.2964,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,5.1,NEUTRAL,ema_pullback,,,230.0,200.0,14.69,0.27,67005.0,49557.0,0.74,58837.0,44022.0,13703.0,96.1,0.939,2.35,0.93,0.59,1.2,0.44,0.4,5,0.7,99.0,0.00038,0.0,71364.4608162615,0.0,77.459954,,3,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,8e-06,0.0,0.533476,0.0,0.0,0.0,,,,
FN,LONG,0.4104620236025331,4.1046202360253305,0.0,2.4628,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,4,1.0,99.0,8e-05,0.000228,34.24735820788306,4.405935288799227e-12,12.911932,51.613636,0,0,0.0,0.292166,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.247044,0.471274,0.0,0.0,,,,
SMH,LONG,0.3965252304843849,3.9652523048438493,0.0,2.3792,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,99.0,2.5e-05,0.0,315634.08486568235,0.0,16.448158,,3,0,0.642279,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,6e-06,0.0,0.364533,0.0,0.0,0.0,,,,
NVDA,LONG,0.3813146541735814,3.813146541735814,7.04,4.5186,"wall_proximity (0.8%, 0.3 ATR to call wall)","confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,2.5,POSITIVE,flag_breakout,2466844456.5,208.27,210.0,150.0,0.83,27.98,8358444.0,7057590.0,0.844,3744753.0,3693596.0,7977685.0,61.5,0.428,2.16,0.05,1.0,1.6,1.61,0.61,7,1.0,13.659890202653367,2e-06,0.0,610815.0061745405,268295.717072115,57.941241,2.868687,0,0,0.815715,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.561827,0.557244,0.0,0.0,,,,
BURL,LONG,0.380140600668232,3.80140600668232,5.09,4.5877,price_validation_failed,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",5.8,NEUTRAL,retest_and_confirm,,,360.0,270.0,8.51,18.62,5382.0,28912.0,5.372,17566.0,13822.0,2906.0,66.9,0.404,1.56,0.98,0.57,1.4,0.55,0.03,3,1.0,99.0,5.8e-05,0.0,47497.36305053742,0.0,,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.020512,0.0,0.0,0.0,,,,
CRCL,LONG,0.3780443380332703,3.780443380332703,5.47,4.8312,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.5,NEGATIVE,ema_pullback,-22416580.04,,120.0,65.0,20.41,34.78,394362.0,290664.0,0.737,235826.0,155223.0,293977.0,77.1,0.915,1.56,0.95,1.0,1.2,0.72,0.03,3,1.0,99.0,0.000159,0.0,2032.12777744848,0.0,9.779189,,2,0,0.281338,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.714855,0.0,0.0,0.0,,,,
IWM,LONG,0.35384822705532315,3.5384822705532315,0.0,2.1231,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,8,1.0,1.7029048381425875,3.3e-05,2.2e-05,7070.28850214431,12455.69630864887,20.034491,8.521368,0,1,0.416216,0.003636,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558004,0.557219,0.0,0.0,,,,
