ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
ALAB,0.0,557.412637741012,0,2,557.412637741012,2,44.0,1.653596,,1.653596,2,0,0,0.0,0.0,0.0,434.1305857409779,0,2,-557.412637741012,SHORT,0.0,278.706318870506,0.0,0.778832,0.0,1.0,562772275.9501362,0.0,1e-06,0.05,0.2620149609030707
AMAT,152306.3997228584,0.0,1,0,152306.3997228584,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,152306.3997228584,0.0,1,0,152306.3997228584,LONG,152306.3997228584,0.0,1.0,0.0,inf,1.0,2529371657.304361,6e-05,0.0,0.29874193711699193,0.05
BMNR,34601.221639729854,0.0,1,0,34601.221639729854,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,34601.221639729854,0.0,1,0,34601.221639729854,LONG,34601.221639729854,0.0,1.0,0.0,inf,1.0,977961590.406112,3.5e-05,0.0,0.2728741846095148,0.05
CIA,0.0,94770.05896414378,0,1,94770.05896414378,1,56.0,0.217389,,0.217389,1,0,0,0.0,0.0,0.0,94770.05896414378,0,1,-94770.05896414378,SHORT,0.0,94770.05896414378,0.0,1.0,0.0,1.0,713209.6161285877,0.0,0.132878,0.05,0.5901579208177311
CMG,0.0,102428.13889522628,0,3,102428.13889522628,3,54.0,37.623958,,37.623958,3,0,2,0.0,102070.55027213768,0.0,84292.58453334907,0,3,-102428.13889522628,SHORT,0.0,34142.71296507543,0.0,0.822944,0.0,1.0,561417946.5549946,0.0,0.000182,0.05,0.5700032429016572
CRM,2283.3807942663907,478.9312639992397,1,3,2762.3120582656306,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2283.3807942663907,203.30281831731926,1,3,1804.449530267151,LONG,2283.3807942663907,159.64375466641323,1.0,0.424493,4.767658672351812,1.0,2818850071.0199037,1e-06,0.0,0.23714719888882269,0.30674628461157427
GLNG,190241.5269266348,0.0,5,0,190241.5269266348,5,83.6,16.43556,16.43556,,5,1,0,67700.75056344297,0.0,67700.75056344297,0.0,5,0,190241.5269266348,LONG,38048.30538532696,0.0,0.355867,0.0,inf,1.0,156350828.99401626,0.001217,0.0,0.8980635505834301,0.05
HIMS,0.0,37571.46859757966,0,1,37571.46859757966,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,37571.46859757966,0,1,-37571.46859757966,SHORT,0.0,37571.46859757966,0.0,1.0,0.0,0.7,1103238451.7217174,0.0,3.4e-05,0.0,0.2300856824329942
HOOD,6.044379383844195,43993.609922981814,1,3,43999.654302365656,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,6.044379383844195,43142.27729776962,1,3,-43987.56554359797,SHORT,6.044379383844195,14664.536640993938,1.0,0.980649,0.00013739221206047637,1.0,1916649833.3274515,0.0,2.3e-05,0.16576936227497902,0.36661702336143787
HPQ,0.0,1.0942192928647643,0,1,1.0942192928647643,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,1.0942192928647643,0,1,-1.0942192928647643,SHORT,0.0,1.0942192928647643,0.0,1.0,0.0,1.0,358721314.5704355,0.0,0.0,0.05,0.16169392137930397
IWM,0.0,140252.7004255769,0,1,140252.7004255769,1,56.0,0.517895,,0.517895,1,0,1,0.0,140252.7004255769,0.0,140252.7004255769,0,1,-140252.7004255769,SHORT,0.0,140252.7004255769,0.0,1.0,0.0,1.0,12309687908.195473,0.0,1.1e-05,0.05,0.3457663027266527
LEU,0.0,65726.73330637245,0,1,65726.73330637245,1,90.0,0.772152,,0.772152,1,0,0,0.0,0.0,0.0,65726.73330637245,0,1,-65726.73330637245,SHORT,0.0,65726.73330637245,0.0,1.0,0.0,1.0,143239854.59089205,0.0,0.000459,0.05,0.2882308093645461
NEM,243268.21233430377,0.0,2,0,243268.21233430377,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,121722.10761760159,0.0,2,0,243268.21233430377,LONG,121634.10616715188,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000234,0.0,0.3430867779531632,0.05
NFLX,187953.84271265645,0.0,1,0,187953.84271265645,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,187953.84271265645,0.0,1,0,187953.84271265645,LONG,187953.84271265645,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.7e-05,0.0,0.29229269169899164,0.05
NOW,273.0424357373169,0.0,1,0,273.0424357373169,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,273.0424357373169,0.0,1,0,273.0424357373169,LONG,273.0424357373169,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.20438810868050156,0.05
ORCL,54179.33210016613,90974.58138745409,1,1,145153.91348762022,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,54179.33210016613,90974.58138745409,1,1,-36795.24928728796,SHORT,54179.33210016613,90974.58138745409,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.2e-05,2e-05,0.27479966483551244,0.28924889510809026
PLTR,0.0,44531.67707488273,0,1,44531.67707488273,1,56.0,0.111087,,0.111087,1,0,0,0.0,0.0,0.0,44531.67707488273,0,1,-44531.67707488273,SHORT,0.0,44531.67707488273,0.0,1.0,0.0,1.0,7481292179.187055,0.0,6e-06,0.05,0.2806864503168114
QCOM,0.0,36920.02544037198,0,1,36920.02544037198,1,56.0,0.121536,,0.121536,1,0,0,0.0,0.0,0.0,36920.02544037198,0,1,-36920.02544037198,SHORT,0.0,36920.02544037198,0.0,1.0,0.0,1.0,1689881062.3287992,0.0,2.2e-05,0.05,0.27846767634675984
QQQ,0.0,446179.59197470767,0,2,446179.59197470767,2,90.0,0.135121,,0.135121,2,0,0,0.0,0.0,0.0,293956.2410921945,0,2,-446179.59197470767,SHORT,0.0,223089.79598735383,0.0,0.658829,0.0,1.0,41537768904.985,0.0,1.1e-05,0.05,0.3333301138336679
