ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,0.0,25624.794173480645,0,1,51249.58834696129,1,49.0,1.264706,,1.264706,1,0,0,0.0,0.0,0.0,25624.794173480645,0,1,0.0,0.0,33755.0,-25624.794173480645,SHORT,0.0,25624.794173480645,0.0,0.0,0.0,1.0,15197169139.0,0.0,2e-06,0.05,0.16593246779408666
AAPL,1213646.3485743261,1329196.7921657015,10,14,3401808.010918659,24,74.291667,0.437236,0.254525,0.567744,24,2,3,64409.81370335692,312068.40744061524,310633.7058144429,483213.9896964803,10,14,1.2802555629763006,1960931.5,2062487.0,-115550.44359137537,SHORT,121364.63485743261,94942.62801183583,0.744049,0.636462,0.9130674673062478,1.0,3712713494600.0,1e-06,1e-06,0.42616852774326736,0.4250641542986811
ABBV,0.0,6.002503498809688,0,2,10.641027741506402,2,52.5,0.140073,,0.140073,2,0,1,0.0,4.638524242696715,0.0,4.638524242696715,0,2,6.801458632025592,0.0,139050.0,-6.002503498809688,SHORT,0.0,3.001251749404844,0.0,0.227235,0.0,1.0,373295841813.0,0.0,0.0,0.18,0.21492154761904764
ADBE,189538.5904620597,169033.03383585456,6,4,527377.9957401849,10,80.3,0.348591,0.426235,0.232125,10,0,1,0.0,1274.3746723244221,104132.84691400701,64883.16834709689,6,4,17.586028743999933,635007.0,237563.5,20505.556626205158,LONG,31589.765077009954,42258.25845896364,0.450598,0.616151,1.1213109423695122,1.0,97363696000.0,7e-06,2e-06,0.3677810444238785,0.3597595987565917
ADMA,1242291.2748914803,0.0,3,0,1242291.2748914803,3,60.666667,745.720988,745.720988,,3,2,0,1205540.8671436643,0.0,966907.7067501651,0.0,3,0,32.80346915920422,2329138.0,0.0,1242291.2748914803,LONG,414097.09163049347,0.0,0.221674,0.0,99.0,1.0,1974339569.0,0.00118,0.0,0.7903576666666667,0.18
ALAB,0.0,42064.72026351881,0,1,84129.44052703762,1,112.0,0.516129,,0.516129,1,0,1,0.0,42064.72026351881,0.0,42064.72026351881,0,1,0.0,0.0,60242.5,-42064.72026351881,SHORT,0.0,42064.72026351881,0.0,0.0,0.0,0.7,19337218613.0,0.0,3e-06,0.02857142857142857,0.13581421993944123
AMAT,189129.6613678864,737450.0233538297,7,11,1143183.5561549198,18,77.333333,0.7503,1.069048,0.527175,18,2,2,135197.27041069433,301514.0647762966,133410.68656981472,196757.7084599718,7,11,20.764702691941196,634692.0,1257829.0,-548320.3619859433,SHORT,27018.5230525552,67040.91121398452,0.294607,0.733192,0.25646437775911723,1.0,268676620473.0,2e-06,5e-06,0.4052471113415504,0.4916241147357157
AON,0.0,65374.17614968768,0,1,65374.17614968768,1,112.0,0.646018,,0.646018,1,0,0,0.0,0.0,0.0,65374.17614968768,0,1,0.0,0.0,65696.0,-65374.17614968768,SHORT,0.0,65374.17614968768,0.0,0.0,0.0,0.7,69369178170.0,0.0,1e-06,0.02857142857142857,0.14186183640271507
APLD,149882.34616873553,0.0,1,0,149882.34616873553,1,49.0,17.423077,17.423077,,1,0,0,0.0,0.0,149882.34616873553,0.0,1,0,0.0,192369.0,0.0,149882.34616873553,LONG,149882.34616873553,0.0,0.0,0.0,99.0,1.0,7189549438.0,2.7e-05,0.0,0.4220911801437206,0.05
APP,76693.93968795765,5887.2085351225,2,2,161939.5426240052,4,105.25,0.157453,0.112971,0.201935,4,0,0,0.0,0.0,56095.792086518406,3222.7538221551135,2,2,17.93661360673624,91225.0,117065.0,70806.73115283516,LONG,38346.969843978826,2943.60426756125,0.268576,0.452584,13.027216418512992,0.7,120128854700.0,1e-06,1e-06,0.2667829044037935,0.19708933333333334
