ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
CRCL,0.026749399811392547,0.0018992197226924067,1,1,0.0553980193454775,2,63.0,5.785767,6.093117,5.478417,2,0,0,0.0,0.0,0.026749399811392547,0.0018992197226924067,1,1,723947.0,540000.0,0.022802911326522624,0.0010377802596356327,0,0,0.02485018008870014,LONG,0.026749399811392547,0.0018992197226924067,0.0,0.0,14.084415558549262,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,24158172144.0,3e-05,2.2e-05,0.0,0.0,0.852464,0.546425,0.0,0.0,1.1072609157657697e-08,7.861603565748673e-10,0.27984518744178094,0.2840481378251077,0.4985,0.0,1.7,0.0,0.0,0.6,0.0,0.5405,0.0,1.7,0.0,0.0,0.6,0.0,0.337143410833306,0.31018355633839767,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,1447894.0,540000.0,0.0,0.0
CVNA,0.021120369027127887,4.01199528311491,1,1,8.066231304284075,2,93.0,7.32971,4.937198,9.722222,2,1,0,0.021120369027127887,0.0,0.021120369027127887,4.01199528311491,1,1,374669.0,300863.0,0.00013461532095484266,0.38198494326157273,0,0,-3.990874914087782,SHORT,0.021120369027127887,4.01199528311491,0.0,0.0,0.005264305547919301,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,55314558423.0,7e-06,5e-06,0.0,0.0,0.006374,0.095211,0.0,0.0,3.818229708283445e-09,7.253054887348982e-07,0.2725692256122588,0.2729393565282302,0.5328,0.0,1.7,0.0,0.15,0.3429,0.0,0.6865,0.0,1.7,0.0,0.0,0.3429,0.0,0.24378145386233888,0.22077225351163543,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,749338.0,601726.0,0.0,5758316.0
DAVE,0.0,0.34433364258389665,0,1,0.34433364258389665,1,30.0,1.312336,,1.312336,1,0,0,0.0,0.0,0.0,0.34433364258389665,0,1,0.0,600000.0,0.0,0.10446535909225475,0,0,-0.34433364258389665,SHORT,0.0,0.34433364258389665,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,3070073316.0,0.0,0.000195,0.0,0.0,0.0,0.303384,0.0,0.0,0.0,1.1215811713334883e-06,0.12693770933997045,0.27072897020590997,0.6694,0.0,0.0,0.0,0.0,0.6,0.0,1.5549,0.0,0.5524,0.0,0.0,0.6,0.0,0.06,0.405238848,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,600000.0,0.0,0.0
DIA,305.4556977113993,119.94016945821014,1,1,425.39586716960946,2,76.5,87.621406,172.0,3.242812,2,0,0,0.0,0.0,305.4556977113993,119.94016945821014,1,1,1054000.0,768797.0,197.2866369358557,50.50271549064062,0,0,185.51552825318916,LONG,305.4556977113993,119.94016945821014,0.0,0.0,2.5467339181793216,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,494.310441,0.0,0.0,0.0,0.0,0.645876,0.421066,0.0,0.0,0.0,0.0,0.3278720852059578,0.3278720852059578,0.9787,0.0,1.7,0.0,0.0,0.6,0.0,0.9787,0.0,1.7,0.0,0.0,0.6,0.0,0.23,0.23,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0.0,0.0,1054000.0,768797.0,0.0,0.0
EEFT,0.0,239026.10749440335,0,1,478052.2149888067,1,59.0,507.0,,507.0,1,0,0,0.0,0.0,0.0,239026.10749440335,0,1,0.0,272500.0,0.0,128867.44454325111,0,1,-239026.10749440335,SHORT,0.0,239026.10749440335,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,2926201922.0,0.0,9.3e-05,0.0,4.4e-05,0.0,0.539135,0.0,0.0,0.0,0.8168476197672436,0.14433459328970433,0.6814994530821066,0.8433,0.0,0.0,0.0,0.0,0.6,0.0,2.815,1.7,1.7,0.0,0.0,0.6,0.0,0.06,0.674877152871902,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,545000.0,0.0,0.0
FISV,1.2899838561128825e-08,0.0,1,0,2.579967712225765e-08,1,36.0,119.010417,119.010417,,1,0,0,0.0,0.0,1.2899838561128825e-08,0.0,1,0,308475.0,0.0,1.492090849192127e-11,0.0,0,0,1.2899838561128825e-08,LONG,1.2899838561128825e-08,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,34209717443.0,9e-06,0.0,0.0,0.0,0.001157,0.0,0.0,0.0,3.770811197906691e-15,0.0,0.2855162160317315,0.09579025130172067,0.5552,0.0,1.7,0.0,0.0,0.6,0.0,0.3579,0.0,0.0,0.0,0.0,0.6,0.0,0.26235661284441536,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,616950.0,0.0,0.0,0.0
FSLR,0.0,0.008141229348834001,0,1,0.008141229348834001,1,32.0,1.127711,,1.127711,1,0,0,0.0,0.0,0.0,0.008141229348834001,0,1,0.0,1934855.0,0.0,0.003980781802542437,0,0,-0.008141229348834001,SHORT,0.0,0.008141229348834001,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,20436305697.0,0.0,9.5e-05,0.0,0.0,0.0,0.488966,0.0,0.0,0.0,3.983708929363449e-09,0.1036619845911615,0.17474140590453868,0.4366,0.0,0.0,0.0,0.0,0.6,0.0,0.7206,0.0,0.4268,0.0,0.0,0.6,0.0,0.06,0.3819375708177058,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,616275.0,0.0,0.0,1934855.0,0.0,0.0
GDX,0.0,1.2616004321085322e-16,0,1,2.5232008642170643e-16,1,43.0,6.822835,,6.822835,1,0,0,0.0,0.0,0.0,1.2616004321085322e-16,0,1,0.0,516157.5,0.0,5.607210196739286e-17,0,0,-1.2616004321085322e-16,SHORT,0.0,1.2616004321085322e-16,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,52.3404,0.0,0.0,0.0,0.0,0.0,0.444452,0.0,0.0,0.0,0.0,0.15787208520595777,0.3278720852059578,0.9787,0.0,0.0,0.0,0.0,0.6,0.0,0.9787,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.23,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1032315.0,0.0,0.0
HYG,4.382130309640692e-07,0.0,1,0,4.382130309640692e-07,1,98.0,44.117647,44.117647,,1,0,0,0.0,0.0,4.382130309640692e-07,0.0,1,0,678000.0,0.0,2.2532972621142777e-07,0.0,0,0,4.382130309640692e-07,LONG,4.382130309640692e-07,0.0,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,1.0,17528477317.0,3.9e-05,0.0,0.0,0.0,0.514201,0.0,0.0,0.0,2.500006264315202e-13,0.0,0.27441923474450736,0.0873391219263257,0.7013,0.0,1.7,0.0,0.0,0.3429,0.0,0.5305,0.0,0.0,0.0,0.0,0.3429,0.0,0.33984326371481943,0.03428571428571428,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,678000.0,0.0,0.0,0.0
INTC,0.04389368086872175,283.8451929118677,2,2,567.7781731854727,4,77.0,34.153205,45.522396,22.784014,4,1,0,0.0054469936897047055,0.0,0.038446687179017044,171.20687477393955,2,2,2593611.0,1395990.0,0.02577961392258936,21.65488900200809,0,0,-283.80129923099895,SHORT,0.021946840434360876,141.92259645593384,0.124095,0.39683,0.00015463950760776312,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,342157500000.0,8e-06,4e-06,0.0,0.0,0.587319,0.076291,0.0,0.0,6.414250874045104e-10,4.147873317286158e-06,0.3253584904005021,0.3190715378718691,0.6308,0.0,1.7,0.1556,0.15,0.6,0.0172,0.5231,0.0,1.7,0.1556,0.0,0.6,0.212,0.290720999920564,0.2791822446773306,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,2333939.0,5187222.0,2791980.0,0.0,1827800.0
