ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier
COP,8615.763380979502,167.88483585177192,10,2,8785.368048080552,12,60.583333,0.297097,0.331312,0.12602,12,1,0,3902.7286340797395,0.0,4118.238444071172,166.84863290352445,10,2,957118.0,96379.5,4065.229328234706,55.936557686414176,0,0,8447.87854512773,LONG,861.5763380979503,83.94241792588596,0.522011,0.006172,51.31948539167939,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.1,0,0.0,141840235198.0,7e-06,1e-06,0.0,0.0,0.471853,0.332925,0.0,0.0,6.074273191208716e-05,5.918096357405757e-06,0.2696393824337675,0.07555555555555556,0.245,0.0,0.0,1.4,0.15,0.6,0.3014,0.0,0.0,0.0,0.1556,0.0,0.6,0.0,0.4521879649277233,0.30423576925746854,3,3
CPNG,16924.45778109581,0.0,6,0,16931.894662098537,6,51.5,0.340249,0.340249,,6,2,0,10947.642299170198,0.0,7277.855227581167,0.0,6,0,538802.5,0.0,6929.9204534429655,0.0,0,0,16924.45778109581,LONG,2820.7429635159683,0.0,0.56998,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,35996873597.0,1.5e-05,0.0,0.0,0.0,0.409304,0.0,0.0,0.0,0.0007836077641340081,0.0,0.2564495648506169,0.06,0.551,0.0,0.0,0.7778,0.3,0.6,0.3357,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6968984767042737,0.3498356837330293,3,3
CRCL,2666.0563266480403,2585.8277308625456,1,1,10503.768115021172,2,62.0,0.137685,0.059516,0.215855,2,1,0,2666.0563266480403,0.0,2666.0563266480403,2585.8277308625456,1,1,35967.5,25000.0,913.6887667706982,501.72497416648116,0,1,80.22859578549469,LONG,2666.0563266480403,2585.8277308625456,0.0,0.0,1.031026272488281,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,1.0,0,0.0,24158172144.0,1e-06,1e-06,0.0,0.0,0.342712,0.194029,0.0,0.0,0.0011035836282465561,0.0010703739154805097,0.075,0.06,0.0,0.0,0.0,0.0,0.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.39640611908014733,0.3824143791114084,2,2
CRDO,605.7062145051009,11126.757939862371,4,4,14042.84834293574,8,59.0,0.46648,0.208854,0.724107,8,1,2,512.624304690574,1629.8257558186647,512.624304690574,9362.090827173291,4,4,435277.0,682411.0,249.2913861461013,2664.0935657810696,0,0,-10521.05172535727,SHORT,151.42655362627522,2781.689484965593,0.153675,0.158597,0.05443690046811542,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,29639260859.0,1.5e-05,2.3e-05,0.0,0.0,0.396574,0.207346,0.0,0.0,5.108985488762428e-05,0.0009385151330860295,0.18060238231093428,0.23974012049438725,0.551,0.0,0.0,0.4667,0.15,0.6,0.0383,0.8365,0.0,0.1524,0.4667,0.3,0.6,0.0419,0.6003098301995703,0.7522148471917532,3,3
CRS,3.14203347067881e-05,2.3994210236128957e-08,5,1,3.146832312726035e-05,6,81.666667,15.755556,6.7,33.866667,6,0,0,0.0,0.0,3.140447643930447e-05,2.3994210236128957e-08,5,1,600357.0,337725.0,6.500468553869671e-06,1.0947754460088469e-08,0,0,3.139634049655197e-05,LONG,6.28406694135762e-06,2.3994210236128957e-08,0.000505,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,22199692770.0,2.7e-05,1.5e-05,0.0,0.0,0.206887,0.456267,0.0,0.0,2.830699958987595e-12,1.0808352387900617e-14,0.3894552601344099,0.28510178707283906,0.9723,0.0,1.7,0.6222,0.0,0.6,0.0,0.551,0.0,1.7,0.0,0.0,0.6,0.0,0.7075103794887,0.6354013608258656,3,3
CRWD,10105.00477086955,2320.9951857223477,7,2,14765.432370839091,9,65.555556,0.212121,0.208815,0.223694,9,1,2,17.32114143566816,2320.9951857223477,5817.812309693844,2153.5502132167385,7,2,629099.0,78997.5,2824.3351270072585,302.12185033880075,0,0,7784.0095851472015,LONG,1443.5721101242214,1160.4975928611739,0.424264,0.072144,4.3537379280365185,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.1429,0,0.0,107519693456.0,6e-06,1e-06,0.0,0.0,0.279162,0.130169,0.0,0.0,0.00013426118171690757,0.00010793349158273793,0.21200507692399573,0.10555555555555556,0.2051,0.0,0.0,0.9333,0.15,0.6,0.2316,0.0,0.0,0.0,0.1556,0.3,0.6,0.0,0.4999864600912684,0.5978772890867654,3,3
CRWV,18509.854622352195,170134.19500104035,1,5,188644.04962339252,6,76.5,1.751484,0.152443,2.071292,6,0,1,0.0,11914.604546656965,18509.854622352195,90751.35293518864,1,5,207220.0,2120049.0,5922.63493597231,37040.02792847229,1,1,-151624.34037868815,SHORT,18509.854622352195,34026.83900020807,0.0,0.46659,0.10879561643818286,1.0,1.0,0.2,0.6923076923076923,-0.1076923076923077,31-90,0.2,0,0.0,48963431265.0,4e-06,4.3e-05,0.0,1e-06,0.319972,0.217711,0.0,0.0,0.0037803426239009104,0.0069494392286455434,0.07242454626463221,0.41867788910874393,0.1242,0.0,0.0,0.0,0.0,0.6,0.0,1.476,0.0082,1.0685,0.6222,0.15,0.6,0.2619,0.3944243377519181,0.5381234323544672,2,2
CVNA,19905.182935193898,45919.89902680922,2,11,111744.98098881233,13,63.230769,2.935021,11.150685,1.441264,13,0,1,0.0,373.9411775178914,13993.149247188881,14868.219760652804,2,11,293400.0,843087.5,3472.6132296737505,6359.819339600132,0,3,-26014.71609161532,SHORT,9952.591467596949,4174.536275164474,0.29701,0.676214,0.433476191303747,1.0,0.0,0.2727272727272727,-0.3076923076923077,-0.034965034965035,31-90,0.0909,0,0.0,55314558423.0,5e-06,1.5e-05,0.0,0.0,0.174458,0.138498,0.0,0.0,0.0017992716115507528,0.0007546903372600524,0.27611423763861953,0.375265881929982,0.1649,0.0,1.7,0.1556,0.0,0.6,0.1407,0.551,0.0,0.6401,1.4,0.15,0.6,0.4116,0.544218449353982,0.6618756005971423,3,3
CZR,12.999915364506471,0.08052058834146426,2,2,13.080435952847935,4,59.75,0.137202,0.048274,0.31506,4,0,1,0.0,0.08052058834146422,12.999915364506471,0.08052058834146422,2,2,144630.0,192704.0,3.423775516430592,0.025453739290222162,0,0,12.919394776165007,LONG,6.4999576822532354,0.04026029417073213,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,5539842192.0,2.6e-05,3.5e-05,0.0,0.0,0.263369,0.316115,0.0,0.0,1.1733109819697973e-05,7.267408127414062e-08,0.16943304219720268,0.21371879306066632,0.9388,0.0,0.0,0.1556,0.0,0.6,0.0,1.2316,0.0,0.0,0.1556,0.15,0.6,0.0,0.5451406046170209,0.5877839041586507,3,3
DAL,0.0,4848.3536119304545,0,1,9696.707223860909,1,62.0,0.039993,,0.039993,1,0,0,0.0,0.0,0.0,4848.3536119304545,0,1,0.0,63525.0,0.0,3567.226602930547,0,0,-4848.3536119304545,SHORT,0.0,4848.3536119304545,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,47119617713.0,0.0,1e-06,0.0,0.0,0.0,0.73576,0.0,0.0,0.0,0.0010289458716454792,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2934369031619507,0.45376024594257514,3,3
