ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
ADBE,11296.124480792061,24523.5894432333,4,7,47115.83840481743,11,91.090909,0.287839,0.138177,0.373361,11,1,1,1585.2245524565392,5251.901871937962,6762.075816606044,7546.117780296118,4,7,3.286472294898148,323927.0,1342940.0,-13227.46496244124,SHORT,2824.0311201980153,3503.3699204619,0.401381,0.692291,0.46062280185125826,0.7,1603470976.6729736,0.000202,0.000838,0.26441020248815716,0.4126729284675582
AG,369898.5754753879,0.0,3,0,369898.5754753879,3,44.0,22.874152,22.874152,,3,2,0,203278.92433310216,0.0,166619.65114228576,0.0,3,0,1.2200177046314364,625073.0,0.0,369898.5754753879,LONG,123299.52515846264,0.0,0.549553,0.0,99.0,1.0,447269429.48854446,0.001398,0.0,0.6224068696017467,0.10286743386736225
AMD,223620.04157927912,680346.3577091806,5,2,1355174.5168509206,7,60.714286,0.108651,0.113618,0.096233,7,0,0,0.0,0.0,68597.98249336252,384160.2992326362,5,2,0.23385734320494275,265116.5,826705.0,-456726.31612990145,SHORT,44724.00831585583,340173.1788545903,0.693239,0.435346,0.3286855864595769,1.0,6688798055.969238,4e-05,0.000124,0.2449338975228914,0.2561685027821223
AMGN,0.0,319223.5309683395,0,2,638447.0217190152,2,87.5,6.376931,,6.376931,2,0,2,0.0,319223.5309683395,0.0,319223.4907506757,0,2,15874790.355131818,0.0,513682.5,-319223.5309683395,SHORT,0.0,159611.76548416974,0.0,0.0,0.0,1.0,967654549.2092896,0.0,0.000531,0.18,0.5978531779745548
AR,0.005047489303921019,0.0,1,0,0.005047489303921019,1,91.0,0.629305,0.629305,,1,1,0,0.005047489303921019,0.0,0.005047489303921019,0.0,1,0,0.0,165958.0,0.0,0.005047489303921019,LONG,0.005047489303921019,0.0,0.0,0.0,99.0,0.7,288031222.25637436,0.000576,0.0,0.14283996511413258,0.02857142857142857
ASML,452931.68345753493,14454.714417308205,2,2,481841.1122921514,4,77.25,0.644149,0.915803,0.10084,4,2,0,452931.68345753493,0.0,443541.19180669327,11302.960296660289,2,2,29.702250261486704,1060320.0,293351.0,438476.9690402267,LONG,226465.84172876747,7227.357208654103,0.020733,0.218043,31.334530062744822,1.0,2309371936.220093,0.000459,0.000127,0.4726219080180983,0.22651989040286435
ASTS,17637.782608682937,100000.57168382348,1,2,235276.70858501285,3,73.666667,0.099334,0.087379,0.105311,3,0,0,0.0,0.0,17637.782608682937,80485.34079858227,1,2,5.028027799633812,27150.0,148081.5,-82362.78907514055,SHORT,17637.782608682937,50000.28584191174,0.0,0.195151,0.1763768177690938,1.0,1120272000.2361298,2.4e-05,0.000132,0.2312565720176613,0.30521398262855715
AVGO,136760.36552032523,248809.64092286534,7,4,424207.07257902477,11,61.181818,0.075427,0.095221,0.040789,11,1,3,368.18769374791026,215554.2000928503,121176.02307739298,80830.45147479614,7,4,29.597960951512025,1545040.0,389234.0,-112049.27540254011,SHORT,19537.195074332176,62202.410230716334,0.113954,0.675131,0.5496586266234071,1.0,9700085350.211792,0.000159,4e-05,0.34886708854082227,0.401087734344598
BE,71630.46543190184,346486.02954576735,5,6,503820.6758670976,11,52.363636,1.456406,0.389113,2.345817,11,0,0,0.0,0.0,40132.11098093921,254559.4598753119,5,6,3.6296767972769115,647398.5,6865771.0,-274855.5641138655,SHORT,14326.09308638037,57747.671590961225,0.439734,0.265311,0.20673406522568083,1.0,1551774481.7401123,0.000417,0.004424,0.37371163938409224,0.709457781914597
BMNR,6559.944696337747,0.0,2,0,13119.889392675494,2,52.0,2.56127,2.56127,,2,0,0,0.0,0.0,3317.576326333038,0.0,2,0,0.9773304518327517,150026.0,0.0,6559.944696337747,LONG,3279.9723481688734,0.0,0.494268,0.0,99.0,1.0,1001897795.2506065,0.00015,0.0,0.27474741197071895,0.09235098624608591
BNS,0.0,81592.83065507551,0,1,163185.66131015102,1,51.0,,,,1,0,0,0.0,0.0,0.0,81592.83065507551,0,1,0.0,0.0,87500.0,-81592.83065507551,SHORT,0.0,81592.83065507551,0.0,0.0,0.0,1.0,149177396.2878418,0.0,0.000587,0.05,0.25879732836529656
BRZE,0.0,0.0018463274756646813,0,1,0.0036926549513293626,1,57.0,0.857633,,0.857633,1,0,1,0.0,0.0018463274756646813,0.0,0.0018463274756646813,0,1,0.0,0.0,55529.5,-0.0018463274756646813,SHORT,0.0,0.0018463274756646813,0.0,0.0,0.0,1.0,46205894.07377243,0.0,0.001202,0.05,0.22856476050398472
BX,24864.66072124349,0.0,1,0,49729.32144248698,1,85.0,2.604361,2.604361,,1,0,0,0.0,0.0,24864.66072124349,0.0,1,0,0.0,25000.0,0.0,24864.66072124349,LONG,24864.66072124349,0.0,0.0,0.0,99.0,1.0,1268185186.825943,2e-05,0.0,0.24148206105270043,0.05
CAR,0.0,0.003274770682807866,0,1,0.003274770682807866,1,91.0,87.5,,87.5,1,0,0,0.0,0.0,0.0,0.003274770682807866,0,1,0.0,0.0,108493.0,-0.003274770682807866,SHORT,0.0,0.003274770682807866,0.0,0.0,0.0,0.7,79718138.45054626,0.0,0.001361,0.02857142857142857,0.3320722372016992
