ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
AMD,0.0,346718.9762654413,0,1,346718.9762654413,1,36.0,2.388889,,2.388889,1,0,1,0.0,346718.9762654413,0.0,346718.9762654413,0,1,0.0,569020.0,0.0,72816.17775312475,0,1,-346718.9762654413,SHORT,0.0,346718.9762654413,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,900629650939.0,0.0,1e-06,,,,,0.0,0.0,0.0,0.210015,0.0,0.0,0.0,0.003849739744899035,0.07523353377036188,0.24851746769016275,0.085,0.0,0.0673,0.0,0.0,0.6,0.0,0.085,0.0,1.6502,0.0,0.15,0.6,0.0,0.06,0.203444452,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.4864639397989166,1,507000.0,3049195.0,0.0,569020.0,2831875.0,0.0
ARM,1069.1524089762056,0.0,1,0,1069.1524089762056,1,31.0,2.666667,2.666667,,1,0,0,0.0,0.0,1069.1524089762056,0.0,1,0,574532.0,0.0,0.11856350837700862,0.0,1,0,1069.1524089762056,LONG,1069.1524089762056,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,301553258417.0,2e-06,0.0,,,,,0.0,0.0,0.000111,0.0,0.0,0.0,3.545484517689206e-05,0.0,0.2835297795256465,0.11677728028750248,0.5851,0.0,1.6502,0.0,0.0,0.6,0.0,0.4996,0.0,0.0681,0.0,0.0,0.6,0.0,0.21151540978098515,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.4662485895824315,1,1166581.0,1165442.0,574532.0,0.0,0.0,0.0
AXP,9.083312520885357e-33,4.18494173402609e-07,2,1,4.18494173402609e-07,3,91.666667,1.785435,2.045906,1.264493,3,1,0,2.6382082196891666e-37,0.0,9.083048700063387e-33,4.18494173402609e-07,2,1,1155784.5,564195.0,4.411554517140972e-33,1.8496527046198706e-07,0,1,-4.18494173402609e-07,SHORT,4.541656260442678e-33,4.18494173402609e-07,2.9e-05,0.0,2.1704752654099268e-26,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,237954523732.0,5e-06,2e-06,,,,,0.0,0.0,0.485677,0.441978,0.0,0.0,1.908623626570676e-40,1.758714929386863e-14,0.2712785822590609,0.2273947797744678,0.4142,0.0,1.6502,0.1556,0.15,0.3429,0.0,0.2809,0.0,1.6502,0.0,0.0,0.3429,0.0,0.18644941706719095,0.09045329206669944,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.423627199751941,1,-2.5471575065709406,1,0.0,0.0,1526258.0,564195.0,0.0,0.0
BA,183.02955793247247,0.0,3,0,183.02955793247247,3,78.0,122.042189,122.042189,,3,0,0,0.0,0.0,183.02955761049876,0.0,3,0,3209879.0,0.0,49.35718170670708,0.0,1,0,183.02955793247247,LONG,61.00985264415749,0.0,0.0,0.0,99.0,1.0,0.3333333333333333,0.0,0.025641025641025605,-0.3076923076923077,31-90,0.0,1,0.3333,164479281363.0,2e-05,0.0,,,,,0.0,0.0,0.269668,0.0,0.0,0.0,3.709272811662576e-06,0.0,0.2986986931678306,0.08038262141233388,0.4257,0.0,1.6502,0.3111,0.0,0.6,0.0,0.154,0.0,0.0498,0.0,0.0,0.6,0.0,0.33427839158712974,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,0.0,0.0,3209879.0,0.0,0.0,0.0
BB,0.0,1.729411176338797e-54,0,1,3.458822352677594e-54,1,78.0,5.944921,,5.944921,1,0,0,0.0,0.0,0.0,1.729411176338797e-54,0,1,0.0,329576.0,0.0,1.2476753286368362e-56,0,1,-1.729411176338797e-54,SHORT,0.0,1.729411176338797e-54,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,5245598857.0,0.0,6.3e-05,,,,,0.0,0.0,0.0,0.007214,0.0,0.0,0.0,3.2968803438543166e-60,0.15247242131036431,0.29231275138660207,0.6388,0.0,0.2859,0.0,0.0,0.6,0.0,0.673,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.43316634716563585,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.8292590044712884,1,0.0,0.0,0.0,659152.0,0.0,0.0
BNO,1064909.3492070967,0.013463218727418142,1,1,1064909.3626703154,2,35.5,4.704203,5.0187,4.389706,2,0,0,0.0,0.0,1064909.3492070967,0.013463218727418142,1,1,2469267.0,500520.0,459749.92029015213,0.011816458714239978,1,0,1064909.335743878,LONG,1064909.3492070967,0.013463218727418142,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,215640000.0,0.011451,0.002321,,,,,0.002132,0.0,0.431727,0.877685,0.0,0.0,49.383664867700645,6.243377261833677e-07,0.5448626542425036,0.30304527658755087,1.4985,1.7,1.6502,0.0,0.0,0.6,0.0,0.7803,0.0,1.6502,0.0,0.0,0.6,0.0,0.69,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.2000952258109305,1,0.0,0.0,2469267.0,500520.0,0.0,0.0
CAPR,0.0,1289.68388444787,0,4,1289.68388444787,4,51.75,1933.194481,,1933.194481,4,0,3,0.0,0.003738709850037634,0.0,1289.68014573802,0,4,0.0,5297629.0,0.0,34.47282314443039,0,1,-1289.68388444787,SHORT,0.0,322.4209711119675,0.0,3e-06,0.0,1.0,0.0,0.25,-0.3076923076923077,-0.05769230769230771,31-90,0.75,0,0.0,1095113897.0,0.0,0.004838,,,,,0.0,0.0,0.0,0.02673,0.0,0.0,0.0,0.002944177514277015,0.1855852139351008,0.5981830405210427,0.7989,0.0,0.457,0.0,0.0,0.6,0.0,2.815,0.0,1.6502,0.4667,0.45,0.6,0.0,0.06,0.6116666666666666,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.8598258528364957,1,-1.1216998360784054,1,0.0,0.0,0.0,5297629.0,0.0,0.0
CBRS,589380.9648570861,0.0,2,0,589380.9648570861,2,47.5,3.201388,3.201388,,2,1,0,589380.9648509342,0.0,589380.9648509342,0.0,2,0,1618705.0,0.0,256076.52318955044,0.0,1,0,589380.9648570861,LONG,294690.48242854304,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,19328913442.0,8.4e-05,0.0,,,,,1.3e-05,0.0,0.434484,0.0,0.0,0.0,0.15246096647533586,0.0,0.37108013163234904,0.11813717115868268,0.5739,0.5812,1.6502,0.1556,0.15,0.6,0.0,0.2096,0.0,0.3718,0.0,0.0,0.6,0.0,0.5732803928900536,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.8751052154326313,1,844434.0,0.0,1618705.0,0.0,5534000.0,0.0
CCJ,2.1787386975387805e-07,1.2564180599944276e-21,2,1,4.357477395077333e-07,3,39.666667,1782.033333,1048.05,3250.0,3,0,0,0.0,0.0,2.1787386975385399e-07,1.2564180599944276e-21,2,1,1008705.0,897000.0,5.170264805742649e-09,1.111187954776236e-23,1,0,2.178738697538768e-07,LONG,1.0893693487693902e-07,1.2564180599944276e-21,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,39352337472.0,2.6e-05,2.3e-05,,,,,0.0,0.0,0.023731,0.008844,0.0,0.0,2.7682455954350845e-14,3.1927406113763767e-28,0.3088128748551181,0.2821394484087739,0.6824,0.0,1.6502,0.1556,0.0,0.6,0.0,0.5712,0.0,1.6502,0.0,0.0,0.6,0.0,0.33943304219720266,0.3136486778277206,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.6532717806566417,1,-2.4330454154409193,1,0.0,0.0,1432005.0,897000.0,0.0,0.0
CF,0.0,171.62998780171833,0,1,171.62998780171833,1,32.0,11.111111,,11.111111,1,0,0,0.0,0.0,0.0,171.62998780171833,0,1,0.0,1257244.0,0.0,58.03719407585102,0,1,-171.62998780171833,SHORT,0.0,171.62998780171833,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,19564688044.0,0.0,6.4e-05,3731586.0,4683316.0,0.0,0.2684516697143648,0.0,0.0,0.0,0.338153,0.0,0.0,0.0,8.77243671944736e-05,0.1305606281495203,0.3845222706917922,0.4242,0.0,0.2814,0.0,0.0,0.6,0.0,1.5951,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.4357625327830282,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.017165795305151,1,-1.2705684966345268,1,0.0,0.0,0.0,1257244.0,0.0,0.0
