ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
SOFI,0.0,4.6380267781956856e-11,0,1,9.276053556391371e-11,1,30.0,2.16299,,2.16299,1,0,0,0.0,0.0,0.0,4.6380267781956856e-11,0,1,0.0,2885626.0,0.0,1.0992406453616072e-11,0,0,-4.6380267781956856e-11,SHORT,0.0,4.6380267781956856e-11,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,1,1.0,23413844286.0,0.0,0.000123,,,,,0.0,0.0,0.0,0.237006,0.0,0.0,0.0,1.980890759134728e-17,0.07813732816431315,0.2098063892390215,0.1814,0.0,0.0,0.0,0.0,0.6,0.0,0.3672,0.0,1.1308,0.0,0.0,0.6,0.0,0.06,0.46308332,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,782793.0,0.0,5771252.0,0.0,0.0
SOXX,0.5342033768994023,15621.262862346417,1,1,15621.797065723316,2,68.0,22.062929,17.652174,26.473684,2,0,0,0.0,0.0,0.5342033768994023,15621.262862346417,1,1,554985.0,2262728.0,0.15431831051857817,4792.729328564929,0,0,-15620.728658969518,SHORT,0.5342033768994023,15621.262862346417,0.0,0.0,3.4197195297638146e-05,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,28383710716.0,2e-05,8e-05,,,,,0.0,0.0,0.288876,0.306808,0.0,0.0,1.8820773021699024e-07,0.005503601350312754,0.30416214265862707,0.3089281289987968,0.7416,0.0,1.7,0.0,0.0,0.6,0.0,0.7872,0.0021,1.7,0.0,0.0,0.6,0.0,0.3031672804760186,0.4754897509687656,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,1232640.0,554985.0,2262728.0,0.0,6688856.0
SPY,233806.8429405789,368069.4278936784,1,2,835683.1137748363,3,50.666667,299.282222,1.346667,448.25,3,0,0,0.0,0.0,233806.8429405789,293125.65603422746,1,2,268200.0,3225291.0,133012.2813989883,118575.26877461051,1,0,-134262.58495309952,SHORT,233806.8429405789,184034.7139468392,0.0,0.203613,0.6352248386359245,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.0,0,0.0,711.527617,0.0,0.0,,,,,0.0,0.0,0.568898,0.322155,0.0,0.0,0.0,0.0,0.262573356,0.3508285693329419,1.45,0.0,0.5757,0.0,0.0,0.6,0.0,0.9787,0.0,1.7,0.1556,0.0,0.6,0.074,0.11757335600000002,0.2529564841269841,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,0.0,2313038.0,536400.0,3225291.0,0.0,0.0
TGT,18164.651788714636,0.0,1,0,36329.30357742927,1,80.0,4.205955,4.205955,,1,0,0,0.0,0.0,18164.651788714636,0.0,1,0,283921.5,0.0,3865.502756406365,0.0,0,0,18164.651788714636,LONG,18164.651788714636,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,57576059585.0,5e-06,0.0,,,,,0.0,0.0,0.212804,0.0,0.0,0.0,0.003154896656638688,0.0,0.26809467904671536,0.09115795377415759,0.3809,0.0,1.7,0.0,0.0,0.6,0.0,0.3116,0.0,0.0,0.0,0.0,0.6,0.0,0.24648653922592115,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,567843.0,0.0,0.0,0.0
TSLA,0.0,1.6429778735552534,0,1,1.6429778735552534,1,35.0,1.412979,,1.412979,1,0,0,0.0,0.0,0.0,1.6429778735552534,0,1,0.0,1298353.0,0.0,0.386734001404781,0,0,-1.6429778735552534,SHORT,0.0,1.6429778735552534,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,1412227289973.0,0.0,1e-06,,,,,0.0,0.0,0.0,0.235386,0.0,0.0,0.0,1.1633947914904441e-08,0.06850054691789333,0.13058311891789331,0.085,0.0,0.0,0.0,0.0,0.6,0.0,0.085,0.0,0.6208,0.0,0.0,0.6,0.0,0.06,0.122082572,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,11702650.0,2283399.0,0.0,1298353.0,2373586.0,0.0
USO,851.1856844457056,0.0,1,0,1702.3713688914113,1,81.0,8.21875,8.21875,,1,1,0,851.1856844457056,0.0,851.1856844457056,0.0,1,0,255367.5,0.0,506.28624516082857,0.0,0,0,851.1856844457056,LONG,851.1856844457056,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,1228364647.0,0.000208,0.0,,,,,0.0,0.0,0.594801,0.0,0.0,0.0,0.006929421866092713,0.0,0.2548912911504542,0.07435193929761533,0.0908,0.0081,1.7,0.0,0.15,0.6,0.0,0.1435,0.0,0.0,0.0,0.0,0.6,0.0,0.535814170403877,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,510735.0,0.0,0.0,0.0
VG,4.2111087764469934e-13,0.0,1,0,8.422217552893987e-13,1,65.0,1.140794,1.140794,,1,0,0,0.0,0.0,4.2111087764469934e-13,0.0,1,0,427544.5,0.0,2.0958043314324408e-13,0.0,0,0,4.2111087764469934e-13,LONG,4.2111087764469934e-13,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,5938528700.0,7.2e-05,0.0,,,,,0.0,0.0,0.497685,0.0,0.0,0.0,7.091165150800726e-19,0.0,0.16887996801857125,0.11740318392036542,0.6531,0.0,0.4357,0.0,0.0,0.6,0.0,0.574,0.0,0.0,0.0,0.0,0.6,0.0,0.3295534420782585,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,855089.0,0.0,0.0,0.0
VRT,0.0012545991637149484,0.0,1,0,0.002509198327429897,1,37.0,182.958333,182.958333,,1,0,0,0.0,0.0,0.0012545991637149484,0.0,1,0,374974.0,0.0,3.9460028818667855e-06,0.0,0,0,0.0012545991637149484,LONG,0.0012545991637149484,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,117164712144.0,3e-06,0.0,,,,,0.0,0.0,0.003145,0.0,0.0,0.0,1.0707995101571171e-10,0.0,0.2495590121249336,0.09843534142391641,0.1956,0.0,1.7,0.0,0.0,0.6,0.0,0.3844,0.0,0.0,0.0,0.0,0.6,0.0,0.23832330638683377,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,536240.0,749948.0,0.0,1274990.0,0.0
WULF,0.00027362291623667665,0.0,1,0,0.00027362291623667665,1,87.0,11.544776,11.544776,,1,0,0,0.0,0.0,0.00027362291623667665,0.0,1,0,855792.0,0.0,8.270952646099372e-05,0.0,0,0,0.00027362291623667665,LONG,0.00027362291623667665,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,8820617000.0,9.7e-05,0.0,,,,,0.0,0.0,0.302276,0.0,0.0,0.0,3.102083632433838e-10,0.0,0.2974941076061532,0.12477286405261162,0.6749,0.0,1.7,0.0,0.0,0.6,0.0,0.6477,0.0,0.0,0.0,0.0,0.6,0.0,0.5135846382096243,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,1330280.0,855792.0,0.0,0.0,3714201.0
XLE,0.0,0.00019337861455724723,0,1,0.00038675722911449446,1,87.0,1.485872,,1.485872,1,0,0,0.0,0.0,0.0,0.00019337861455724723,0,1,0.0,518029.5,0.0,9.343246706677622e-05,0,0,-0.00019337861455724723,SHORT,0.0,0.00019337861455724723,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,57.718932,0.0,0.0,,,,,0.0,0.0,0.0,0.483158,0.0,0.0,0.0,0.0,0.205,0.2249113812059578,1.45,0.0,0.0,0.0,0.0,0.6,0.0,0.9787,0.0,0.6704,0.0,0.0,0.6,0.0,0.06,0.12703929600000002,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1036059.0,738959.0,0.0
XLI,0.0,35430.47639871868,0,1,35430.47639871868,1,51.0,4.193333,,4.193333,1,0,0,0.0,0.0,0.0,35430.47639871868,0,1,0.0,596605.0,0.0,14330.619694707751,0,0,-35430.47639871868,SHORT,0.0,35430.47639871868,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,170.945996,0.0,0.0,,,,,0.0,0.0,0.0,0.404472,0.0,0.0,0.0,0.0,0.205,0.3278720852059578,1.45,0.0,0.0,0.0,0.0,0.6,0.0,0.9787,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.23,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,0.0,0.0,0.0,596605.0,726886.0,0.0
