ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score
AAL,154945.6569391681,134343.9309408461,5,6,346735.9254442433,11,49.090909,0.777321,1.205665,0.420367,11,1,1,55820.92303201369,5704.08078535321,55820.92303201369,41864.5237298205,5,6,1.1354577530638235,1042538.0,831958.0,20601.725998322014,LONG,30989.131387833622,22390.655156807683,0.639739,0.688378,1.153350626664284,1.0,7415220355.0,0.000141,0.000112,0.04179124814131518,0.030195535782979014,0.5093958767732292,0.47967116941608234
ABVX,504.5689022776742,0.021373647980799607,2,2,1009.1805192466487,4,44.0,0.252141,0.199685,0.304598,4,1,1,3.2604661392799606e-05,0.01528667164602647,504.56886967301284,0.01528667164602647,2,2,32972.34625222843,78515.0,144600.0,504.54752862969343,LONG,252.2844511388371,0.010686823990399804,0.0,0.284789,99.0,1.0,9527252140.0,8e-06,1.5e-05,0.0002648029541273767,1.1217110488271179e-08,0.23035434448543418,0.2665340881990813
ADBE,40788.54960852079,57961.14358350029,12,6,135444.83509064998,18,49.055556,0.402382,0.515703,0.175742,18,1,3,2602.5911462369727,26081.573600765947,14842.29738980173,22928.77590036456,12,6,7.991546616053884,1842469.5,658314.0,-17172.5939749795,SHORT,3399.045800710066,9660.190597250048,0.636116,0.604411,0.7037223057850778,1.0,97052462000.0,1.9e-05,7e-06,0.00035022767384407683,0.000995357603318713,0.4117492554191339,0.34131304068592433
ADC,7.404023515114103e-30,0.0,1,0,7.404023515114103e-30,1,31.0,3.061224,3.061224,,1,0,0,0.0,0.0,7.404023515114103e-30,0.0,1,0,0.0,168750.0,0.0,7.404023515114103e-30,LONG,7.404023515114103e-30,0.0,0.0,0.0,99.0,1.0,9305794021.0,1.8e-05,0.0,7.956358692665827e-36,0.0,0.25692506767675094,0.05
ALAB,154195.29981688436,37236.513200827845,2,2,327809.6490638797,4,55.25,0.597053,0.857465,0.336641,4,1,0,115704.05353684335,0.0,115704.05353684335,20673.782509324104,2,2,0.3219685508918211,832150.0,188797.5,116958.78661605652,LONG,77097.64990844218,18618.256600413923,0.249627,0.444798,4.140970422908885,1.0,28390928028.0,2.9e-05,7e-06,0.027155734336125302,0.006557818956129941,0.2196276582978511,0.12361088237565725
AMAT,155052.72574189922,29618.019076232074,12,6,205152.97097369062,18,63.888889,2.095588,0.819715,4.647333,18,3,2,50637.52867497328,15085.380143312546,36849.345857644774,13554.830278903846,12,6,13.917230611900202,1213095.0,755580.0,125434.70666566715,LONG,12921.060478491601,4936.336512705346,0.762343,0.542345,5.235080892574826,1.0,314055232668.0,4e-06,2e-06,0.0004114263713654138,0.00015718052110673598,0.4147039300310869,0.4568679568719494
AMD,135735.30013614084,128279.74997605299,4,5,392294.8000882468,9,38.555556,0.216132,0.267332,0.175173,9,2,0,66913.8649279122,0.0,34986.0649234288,59774.084337086075,4,5,0.6764832348631249,471345.0,538700.5,7455.550160087849,LONG,33933.82503403521,25655.949995210598,0.742248,0.534033,1.0581194628262032,1.0,402434308378.0,1e-06,1e-06,0.0008432140184768174,0.0006375189555437302,0.19018913065359255,0.16364996398692588
AMZN,831400.6916964388,1184072.9609220377,16,13,3199546.6135405144,29,58.586207,0.425015,0.418648,0.432851,29,0,0,0.0,0.0,161495.89810254556,347664.15654681297,16,13,0.4391810137542764,3267755.0,4849172.5,-352672.2692255989,SHORT,51962.54323102743,91082.53545554137,0.805754,0.706383,0.702153261779601,1.0,2575200167504.0,1e-06,2e-06,0.00020178059898695897,0.00035369109013309305,0.23903117726268527,0.23594946746796808
ANF,0.0009018647240529988,0.0005260480605610544,3,2,0.0014279127846140533,5,59.4,1.339162,1.073588,1.737524,5,0,0,0.0,0.0,0.000822445505255177,0.0005228853258258886,3,2,450.45736479964313,356526.0,687226.0,0.0003758166634919444,LONG,0.00030062157468433294,0.0002630240302805272,0.088061,0.006012,1.7144150728188574,1.0,4191453331.0,8.5e-05,0.000164,7.172251506677527e-10,6.275246543608175e-10,0.46255373349385553,0.5175847733333333
APLD,28910.840945313383,33726.865967291335,2,3,96364.57287989606,5,50.4,3.780316,7.26631,1.45632,5,0,1,0.0,4879.741142859111,15052.308752293491,16311.782749097838,2,3,1.401729430128865,154292.0,157930.0,-4816.025021977952,SHORT,14455.420472656691,11242.288655763778,0.479354,0.516356,0.8572050831331739,1.0,7887239276.0,2e-05,2e-05,0.018327604839684455,0.014253768983493151,0.36918130817396994,0.30353543177138653
ARM,20484.592075514156,79636.61592366795,1,2,179757.82392285005,3,65.0,0.329688,0.407407,0.290829,3,1,1,20484.592075514156,63587.01002734331,20484.592075514156,63587.01002734331,1,2,0.0,68005.0,264407.5,-59152.023848153796,SHORT,20484.592075514156,39818.307961833976,0.0,0.201536,0.25722579793130246,1.0,166485434834.0,0.0,2e-06,0.0012304134650541064,0.0023916991898742484,0.0625,0.0866911235386161
ASST,1.1482218047444831e-30,0.0,1,0,2.2964436094889663e-30,1,31.0,8.87037,8.87037,,1,0,0,0.0,0.0,1.1482218047444831e-30,0.0,1,0,0.0,35495.5,0.0,1.1482218047444831e-30,LONG,1.1482218047444831e-30,0.0,0.0,0.0,99.0,1.0,686539152.0,5.2e-05,0.0,1.6724782576485646e-35,0.0,0.3495762181062652,0.05
AVGO,653406.1877355684,370363.06043927965,12,8,1181894.0071660979,20,41.75,0.494407,0.569778,0.381351,20,2,3,73653.04173590898,128632.71676592754,183204.70576713292,99798.51822183168,12,8,1.109652627002656,4195182.5,1738307.5,283043.12729628873,LONG,54450.5156446307,46295.38255490996,0.719616,0.730539,1.7642315271954427,1.0,1797990242874.0,2e-06,1e-06,0.00030284099627589855,0.0002574840588729171,0.29513513166111216,0.27395678050344846
AXON,70276.35584127046,0.03900862278076438,3,2,70276.52579866735,5,46.0,5.182111,4.785839,5.578383,5,0,0,0.0,0.0,70276.26390111913,0.039008622780764356,3,2,164716764.46377516,747591.0,707999.0,70276.31683264767,LONG,23425.451947090154,0.01950431139038219,1e-06,0.0,99.0,1.0,28913415860.0,2.6e-05,2.4e-05,0.00810193166401272,6.745765178636417e-09,0.4387498109919538,0.41840724828618736
AXP,69505.76503825447,173262.59785850262,9,17,367986.14952815545,26,52.0,3.579554,0.311347,5.309781,26,4,7,29449.917689295202,99481.80549348622,24630.883709724134,30064.22000703613,9,17,9.172561405627272,793191.5,982715.0,-103756.83282024815,SHORT,7722.8627820282745,10191.91752108839,0.645628,0.826482,0.4011585067829662,1.0,222339347099.0,4e-06,4e-06,0.0003473457524632179,0.0004583946860539391,0.38635091098346785,0.5982108157453726
