ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,0.0014099800477357666,33325.08773524696,3,1,66650.17829045402,4,79.75,1.168371,1.136259,1.264706,4,1,0,0.0007269839668868465,0.0,0.0007269839668868465,33325.08773524696,3,1,28374229.646522198,378332.5,33755.0,-33325.086325266915,SHORT,0.00046999334924525553,33325.08773524696,0.484401,0.0,4.230986753695692e-08,1.0,15197169139.0,2.5e-05,2e-06,0.3628125223566624,0.3066168084505043
AAPL,1595816.8302447952,970543.3488785109,11,13,2931313.558566936,24,73.375,0.535758,0.237097,0.788471,24,2,1,83765.07058529576,5836.211667478291,403979.6546153133,628420.6028159724,11,13,11.328306919273675,2119251.5,1867010.5,625273.4813662843,LONG,145074.2572949814,74657.18068296238,0.746851,0.352506,1.644250957042573,1.0,3712713494600.0,1e-06,1e-06,0.5081473725858257,0.4577731145037661
ABBV,0.0,7.8062658523117765,0,2,13.838674397856837,2,52.5,0.140073,,0.140073,2,0,1,0.0,6.032408545545061,0.0,6.032408545545061,0,2,6.80145863202558,0.0,139050.0,-7.8062658523117765,SHORT,0.0,3.9031329261558882,0.0,0.227235,0.0,1.0,373295841813.0,0.0,0.0,0.18,0.21492154761904764
ADBE,89133.91871622494,70800.05199992351,1,1,230734.02271607198,2,83.0,0.442345,0.093023,0.791667,2,0,0,0.0,0.0,89133.91871622494,70800.05199992351,1,1,1.5886219975434752,89455.0,70921.0,18333.866716301432,LONG,89133.91871622494,70800.05199992351,0.0,0.0,1.2589527295307812,1.0,97363696000.0,1e-06,1e-06,0.23597608213756144,0.2441118977135652
AMAT,72612.94604044761,708274.4348546923,7,10,859704.163094242,17,85.058824,0.773057,1.119415,0.530607,17,2,2,2473.781282585421,392119.5461729709,44921.14983649286,255883.72935305664,7,10,31.370783997420393,524344.5,1161379.0,-635661.4888142447,SHORT,10373.278005778231,70827.44348546924,0.381362,0.638722,0.10252091910580492,1.0,268676620473.0,2e-06,4e-06,0.37554024259538454,0.4838146991368093
AMD,24750.254370356353,0.0,1,0,24750.254370356353,1,113.0,0.274499,0.274499,,1,0,0,0.0,0.0,24750.254370356353,0.0,1,0,0.0,221730.0,0.0,24750.254370356353,LONG,24750.254370356353,0.0,0.0,0.0,99.0,0.7,332228817478.0,1e-06,0.0,0.09360429956461452,0.02857142857142857
APG,0.0,29036.936777180974,0,1,58073.87355436195,1,112.0,0.033618,,0.033618,1,0,0,0.0,0.0,0.0,29036.936777180974,0,1,0.0,0.0,29100.0,-29036.936777180974,SHORT,0.0,29036.936777180974,0.0,0.0,0.0,0.7,17590464667.0,0.0,2e-06,0.02857142857142857,0.10370480025993838
APLD,266.3067340809526,0.0,1,0,266.3067340809526,1,30.0,1.973783,1.973783,,1,0,0,0.0,0.0,266.3067340809526,0.0,1,0,0.0,67365.0,0.0,266.3067340809526,LONG,266.3067340809526,0.0,0.0,0.0,99.0,1.0,7189549438.0,9e-06,0.0,0.16632061176242707,0.05
ARKK,53457.20244535129,0.0,1,0,53457.20244535129,1,83.0,0.112291,0.112291,,1,0,0,0.0,0.0,53457.20244535129,0.0,1,0,0.0,59000.0,0.0,53457.20244535129,LONG,53457.20244535129,0.0,0.0,0.0,99.0,1.0,5723514000.0,1e-05,0.0,0.17758127138415303,0.05
ARM,185446.13254868376,188432.03650343016,10,14,561928.2990099975,24,60.791667,6.786771,1.679446,10.434861,24,0,8,0.0,83639.61943161802,115397.26097350358,81076.2850789056,10,14,50.12780703941303,1509065.0,821789.5,-2985.9039547464054,SHORT,18544.613254868374,13459.43117881644,0.377732,0.569732,0.9841539474382741,1.0,163548326642.0,9e-06,5e-06,0.47179362732550206,0.638027810535331
AXP,0.0,271.13425270989444,0,2,271.13425270989444,2,58.5,13.989222,,13.989222,2,0,0,0.0,0.0,0.0,263.3209546875547,0,2,33.701639683353804,0.0,520240.0,-271.13425270989444,SHORT,0.0,135.56712635494722,0.0,0.028817,0.0,1.0,205565366957.0,0.0,3e-06,0.18,0.3505085974599142
BABA,54023.6596012286,10754.423776319818,6,7,110081.96758921102,13,72.461538,0.529924,0.24205,0.776672,13,1,1,970.1890505565259,4399.913093212463,40219.30119249905,4953.5356431606915,6,7,33.93167406298398,962285.0,527794.0,43269.235824908785,LONG,9003.943266871434,1536.346253759974,0.255524,0.539396,5.023389511596463,1.0,289606737455.0,3e-06,2e-06,0.30136727320830253,0.3240909673481399
BE,229451.09992787676,164380.55926033764,6,5,480335.2043972547,11,65.272727,0.541704,0.870471,0.147183,11,2,0,125352.64415055489,0.0,80574.316080551,96366.77505523419,6,5,1.3356432569436205,2127405.5,901377.5,65070.54066753911,LONG,38241.84998797946,32876.11185206753,0.648839,0.413758,1.3958530191181773,1.0,37458797667.0,5.7e-05,2.4e-05,0.505120503710841,0.33527406839261
BIDU,0.00024845292315580524,0.0002594053308838767,1,1,0.001015716508079364,2,119.0,2.183184,4.307692,0.058677,2,0,0,0.0,0.0,0.00024845292315580524,0.0002594053308838767,1,1,0.9577787870019744,36510.5,63800.0,-1.0952407728071465e-05,SHORT,0.00024845292315580524,0.0002594053308838767,0.0,0.0,0.9577787870019744,0.7,30197686770.0,1e-06,2e-06,0.2200751760081808,0.07368039478489213
BKNG,0.0,138.46023750135873,0,1,276.92047500271747,1,51.0,14.0,,14.0,1,0,0,0.0,0.0,0.0,138.46023750135873,0,1,0.0,0.0,37500.0,-138.46023750135873,SHORT,0.0,138.46023750135873,0.0,0.0,0.0,1.0,133463878441.0,0.0,0.0,0.05,0.2
BMNR,48473.320580887514,3661.5448020943186,1,1,104269.73076596367,2,66.5,0.209593,0.111763,0.307424,2,0,0,0.0,0.0,48473.320580887514,3661.5448020943186,1,1,13.238488998731327,54184.5,52920.0,44811.77577879319,LONG,48473.320580887514,3661.5448020943186,0.0,0.0,13.238488998731327,1.0,8856171921.0,6e-06,6e-06,0.2900471719196543,0.19768105974564493
BSX,0.0,58.671049496968514,0,1,58.671049496968514,1,52.0,0.082338,,0.082338,1,0,0,0.0,0.0,0.0,58.671049496968514,0,1,0.0,0.0,217824.0,-58.671049496968514,SHORT,0.0,58.671049496968514,0.0,0.0,0.0,1.0,104124242448.0,0.0,2e-06,0.05,0.053605218776711344
BTDR,30682.002784243035,3515.247454620894,3,1,37712.497693484824,4,50.0,6.394231,4.485348,12.120879,4,0,0,0.0,0.0,14006.793415298582,3515.247454620894,3,1,1.2615906558702499,531790.0,38713.0,27166.75532962214,LONG,10227.334261414346,3515.247454620894,0.543485,0.0,8.728262570508559,1.0,1675086784.0,0.000317,2.3e-05,0.5921098035686099,0.3267798575828722
BX,5012.437717179518,8.83257957169382,2,2,5198.338970566303,4,68.75,2.055237,1.376666,2.733808,4,0,0,0.0,0.0,4835.369043364426,7.228931878159053,2,2,587.5414253414328,93400.0,460425.0,5003.605137607824,LONG,2506.218858589759,4.41628978584691,0.035326,0.181561,99.0,1.0,81365274197.0,1e-06,6e-06,0.24593329333333333,0.35086865879326395
CCJ,0.0,128.43333346890964,0,2,128.43333346890964,2,45.0,52.590906,,52.590906,2,0,1,0.0,38.87139894589583,0.0,89.5619345230138,0,2,0.4340169643824235,0.0,463318.0,-128.43333346890964,SHORT,0.0,64.21666673445482,0.0,0.302658,0.0,1.0,45579386557.0,0.0,1e-05,0.06880740178990502,0.2903517583062319
CCL,0.0,5983.302130883121,0,3,6933.485313133362,3,62.0,0.30809,,0.30809,3,0,0,0.0,0.0,0.0,5033.118948632879,0,3,0.0,0.0,243790.0,-5983.302130883121,SHORT,0.0,1994.434043627707,0.0,0.158806,0.0,1.0,13339746633.0,0.0,1.8e-05,0.05,0.13779216291484617
CF,34.809482950317644,0.7013811719012419,1,1,36.21224529412013,2,69.5,0.194808,0.169827,0.219789,2,0,0,0.0,0.0,34.809482950317644,0.7013811719012419,1,1,24.814953940065987,141000.0,43074.5,34.108101778416405,LONG,34.809482950317644,0.7013811719012419,0.0,0.0,49.629907880131974,1.0,20370338912.0,7e-06,2e-06,0.20111701687640052,0.18360521877671135
CIEN,16.210657232440973,0.0,1,0,16.210657232440973,1,53.0,14.0,14.0,,1,1,0,16.210657232440973,0.0,16.210657232440973,0.0,1,0,0.0,1076128.0,0.0,16.210657232440973,LONG,16.210657232440973,0.0,0.0,0.0,99.0,1.0,54861175692.0,2e-05,0.0,0.27557524178967124,0.05
COHR,42120.58245844095,10831.044324461507,3,1,100297.144866384,4,58.75,1.247782,0.312984,4.052174,4,0,0,0.0,0.0,36514.47375902004,10831.044324461507,3,1,3.613102703555931,462780.0,186945.0,31289.53813397944,LONG,14040.19415281365,10831.044324461507,0.133097,0.0,3.8888754580491556,1.0,45612459773.0,1e-05,4e-06,0.28224691075757186,0.3721395373320567
COIN,1220135.7759119687,274458.0804896769,4,1,2593489.9312338596,5,55.8,0.413057,0.499772,0.066196,5,3,0,1098896.0748322143,0.0,637030.9205238874,274458.0804896769,4,1,8.449493804688354,1263633.5,291200.0,945677.6954222918,LONG,305033.94397799217,274458.0804896769,0.477902,0.0,4.44561797464681,1.0,38670896780.0,3.3e-05,8e-06,0.5352065101320432,0.3545210111521009
COMP,0.0,226.97381816572263,0,1,226.97381816572263,1,51.0,0.994482,,0.994482,1,0,0,0.0,0.0,0.0,226.97381816572263,0,1,0.0,0.0,62175.0,-226.97381816572263,SHORT,0.0,226.97381816572263,0.0,0.0,0.0,1.0,5656133084.0,0.0,1.1e-05,0.05,0.11421594861686006
CRCL,52793.393296787675,0.0,3,0,105586.78659357535,3,83.666667,0.07311,0.07311,,3,0,0,0.0,0.0,42114.677707067814,0.0,3,0,7.652613119883287,191007.5,0.0,52793.393296787675,LONG,17597.797765595893,0.0,0.202274,0.0,99.0,1.0,22415480848.0,9e-06,0.0,0.29302986943272913,0.18
