ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
ALAB,0.0,713.609254364947,0,2,713.609254364947,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,555.7814491668873,0,2,-713.609254364947,SHORT,0.0,356.8046271824735,0.0,0.78,0.0,1.0,0.05,0.4123844056926024
AMAT,194985.2747898002,0.0,1,0,194985.2747898002,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,194985.2747898002,0.0,1,0,194985.2747898002,LONG,194985.2747898002,0.0,1.0,0.0,inf,1.0,0.5696629238987423,0.05
BMNR,44297.07958274946,0.0,1,0,44297.07958274946,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,44297.07958274946,0.0,1,0,44297.07958274946,LONG,44297.07958274946,0.0,1.0,0.0,inf,1.0,0.5155098550637129,0.05
CIA,0.0,121326.26089641472,0,1,121326.26089641472,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,121326.26089641472,0,1,-121326.26089641472,SHORT,0.0,121326.26089641472,0.0,1.0,0.0,1.0,0.05,0.55530691701577
CMG,0.0,131130.26665350352,0,3,131130.26665350352,3,54.0,37.62,,37.62,3,0,2,0.0,130672.47554254885,0.0,107912.8177665854,0,3,-131130.26665350352,SHORT,0.0,43710.08888450117,0.0,0.82,0.0,1.0,0.05,0.8365757900070803
CRM,2923.2233998698052,613.1360486902955,1,3,3536.359448560101,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2923.2233998698052,260.2717677476158,1,3,2310.08735117951,LONG,2923.2233998698052,204.37868289676518,1.0,0.42,4.7676586723518035,1.0,0.4250767745567591,0.45355124948463726
GLNG,243550.47766685465,0.0,5,0,243550.47766685465,5,83.6,16.44,16.44,,5,1,0,86671.66629970226,0.0,86671.66629970226,0.0,5,0,243550.47766685465,LONG,48710.09553337093,0.0,0.36,0.0,inf,1.0,0.8895181816837296,0.05
HIMS,0.0,48099.64086923354,0,1,48099.64086923354,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,48099.64086923354,0,1,-48099.64086923354,SHORT,0.0,48099.64086923354,0.0,1.0,0.0,0.7,0.0,0.47442448101732715
HOOD,7.73811853761378,56321.37674737822,1,3,56329.11486591583,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.73811853761378,55231.48606539391,1,3,-56313.63862884061,SHORT,7.73811853761378,18773.792249126072,1.0,0.98,0.00013739221206047653,1.0,0.21875288724477165,0.6147661937907494
HPQ,0.0,1.4008383750634754,0,1,1.4008383750634754,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.4008383750634754,0,1,-1.4008383750634754,SHORT,0.0,1.4008383750634754,0.0,1.0,0.0,1.0,0.05,0.18297175847216635
