ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
AAPL,0.0,0.6784685394120119,0,1,1.3569370788240238,1,91.0,1.863986,,1.863986,1,0,1,0.0,0.6784685394120119,0.0,0.6784685394120119,0,1,0.0,752095.5,0.0,0.1916657555657131,0,0,-0.6784685394120119,SHORT,0.0,0.6784685394120119,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,1.0,0,0.0,3907679033800.0,0.0,0.0,0.0,0.0,0.0,0.282498,0.0,0.0,0.0,1.736244286041679e-09,0.05708853514045109,0.15053730920360758,0.228,0.0,0.0,0.0,0.0,0.3429,0.0,0.085,0.0,0.9275,0.0,0.15,0.3429,0.0,0.03428571428571428,0.14203676228571427,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1303930.0,698022.0,0.0,1504191.0,29927824.0,0.0
ALAB,2.113449501379401e-05,0.0,1,0,4.226899002758802e-05,1,32.0,23.857143,23.857143,,1,1,0,2.113449501379401e-05,0.0,2.113449501379401e-05,0.0,1,0,1616352.5,0.0,1.336723237818265e-05,0.0,0,0,2.113449501379401e-05,LONG,2.113449501379401e-05,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,32676078141.0,4.9e-05,0.0,0.0,0.0,0.632484,0.0,0.0,0.0,6.467879934243303e-12,0.0,0.3126543520530927,0.10873321450928898,0.6765,0.0,1.7,0.0,0.15,0.6,0.0,0.4873,0.0,0.0,0.0,0.0,0.6,0.0,0.41004683663077984,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,3232705.0,0.0,0.0,0.0
AMZN,1.247734890572516,0.15061369180866147,1,1,1.3983485823811774,2,77.0,1.230225,1.240876,1.219573,2,0,0,0.0,0.0,1.247734890572516,0.15061369180866147,1,1,1262404.0,3392080.0,0.3528859836450204,0.07006884540853182,0,0,1.0971211987638547,LONG,1.247734890572516,0.15061369180866147,0.0,0.0,8.284339063659825,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,2682764074622.0,0.0,1e-06,0.0,0.0,0.282821,0.465222,0.0,0.0,4.650930368330362e-09,5.6141236284403e-10,0.13882299190957326,0.14701281713292808,0.2844,0.0,0.5038,0.0,0.0,0.6,0.0,0.3808,0.0,0.4893,0.0,0.0,0.6,0.0,0.11037956800000001,0.108930964,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,512469.0,3044947.0,1262404.0,3392080.0,2042237.0,670000.0
ANET,48024.70216429742,0.0,4,0,48024.70216429742,4,43.75,2.430199,2.430199,,4,1,0,8.427793321539283e-13,0.0,48024.70216429729,0.0,4,0,3368262.0,0.0,9694.18772945554,0.0,0,0,48024.70216429742,LONG,12006.175541074355,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.25,0,0.0,217205142431.0,1.6e-05,0.0,0.0,0.0,0.201858,0.0,0.0,0.0,0.0005527574258463232,0.0,0.3522725273817182,0.09276100891209774,0.9935,0.0,1.3125,0.4667,0.15,0.6,0.0,0.3276,0.0,0.0,0.0,0.0,0.6,0.0,0.31169711714062515,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,3368262.0,0.0,0.0,0.0
APH,0.0,676629.0694692836,0,1,676629.0694692836,1,86.0,13.848485,,13.848485,1,0,0,0.0,0.0,0.0,676629.0694692836,0,1,0.0,717320.0,0.0,359722.75347620336,0,1,-676629.0694692836,SHORT,0.0,676629.0694692836,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,186754624315.0,0.0,4e-06,0.0,2e-06,0.0,0.53164,0.0,0.0,0.0,0.03623091379670523,0.11839188386270974,0.33504300429174944,0.5839,0.0,0.0,0.0,0.0,0.6,0.0,0.9205,0.1299,1.7,0.0,0.0,0.6,0.0,0.06,0.2554150852293625,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,717320.0,0.0,0.0
ARM,469703.2707050813,0.0,1,0,939406.5414101626,1,57.0,7.315217,7.315217,,1,0,0,0.0,0.0,469703.2707050813,0.0,1,0,566031.0,0.0,192526.17138825293,0.0,1,0,469703.2707050813,LONG,469703.2707050813,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.0,0,0.0,185407595882.0,3e-06,0.0,1e-06,0.0,0.409889,0.0,0.0,0.0,0.025333550573840416,0.0,0.29780030604789554,0.10643155939345836,0.593,0.085,1.7,0.0,0.0,0.6,0.0,0.4643,0.0,0.0,0.0,0.0,0.6,0.0,0.24682608894285046,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,3056790.0,1132062.0,0.0,1439402.0,0.0
AXTI,298263.81889133085,0.0,1,0,596527.6377826617,1,86.0,,,,1,0,0,0.0,0.0,298263.81889133085,0.0,1,0,332772.5,0.0,52448.1238787845,0.0,1,0,298263.81889133085,LONG,298263.81889133085,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.0,0,0.0,4166352717.0,8e-05,0.0,1.3e-05,0.0,0.175845,0.0,0.0,0.0,0.7158871059435817,0.0,0.28543300478095207,0.09134708143745116,0.5543,1.7,0.0,0.0,0.0,0.6,0.0,0.3135,0.0,0.0,0.0,0.0,0.6,0.0,0.47527709246041844,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,665545.0,0.0,0.0,0.0
BE,0.0,77962.1466013738,0,1,77962.1466013738,1,31.0,8.921569,,8.921569,1,0,0,0.0,0.0,0.0,77962.1466013738,0,1,0.0,1471680.0,0.0,42762.144949633635,0,0,-77962.1466013738,SHORT,0.0,77962.1466013738,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,61975906176.0,0.0,2.4e-05,0.0,1e-06,0.0,0.548499,0.0,0.0,0.0,0.012579428266845483,0.08960829789854399,0.2612488463207157,0.2961,0.0,0.0,0.0,0.0,0.6,0.0,0.2806,0.0319,1.7,0.0,0.0,0.6,0.0,0.06,0.3202751382813946,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,1353892.0,0.0,1471680.0,0.0,1832985.0
BIDU,0.0,1.1057493919269364e-10,0,1,1.1057493919269364e-10,1,99.0,2.751269,,2.751269,1,0,0,0.0,0.0,0.0,1.1057493919269364e-10,0,1,0.0,632375.0,0.0,3.165034063303659e-11,0,0,-1.1057493919269364e-10,SHORT,0.0,1.1057493919269364e-10,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,33928781178.0,0.0,1.9e-05,0.0,0.0,0.0,0.286234,0.0,0.0,0.0,3.259030691747699e-17,0.05995622153211863,0.24620228445245965,0.2567,0.0,0.0,0.0,0.0,0.3429,0.0,0.5883,0.0,1.5309,0.0,0.0,0.3429,0.0,0.03428571428571428,0.2569871737719096,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,632375.0,826000.0,0.0
CAR,1699043.5755681153,0.0,1,0,3398087.1511362307,1,57.0,14.314286,14.314286,,1,0,0,0.0,0.0,1699043.5755681153,0.0,1,0,1742500.0,0.0,99475.95511752334,0.0,1,0,1699043.5755681153,LONG,1699043.5755681153,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.0,1,1.0,25173619768.0,6.9e-05,0.0,4e-06,0.0,0.058548,0.0,0.0,0.0,0.6749301813670404,0.0,0.5042363356894084,0.1574436904318603,1.0424,1.7,1.7,0.0,0.0,0.6,0.0,0.9744,0.0,0.0,0.0,0.0,0.6,0.0,0.6185104886063195,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,507005.0,0.0,3485000.0,0.0,0.0,0.0
CIEN,0.0006296970278473291,2.8791923750173987e-09,2,1,0.001259396934887033,3,32.333333,17.44329,22.028571,8.272727,3,1,0,0.0003370306366414995,0.0,0.0003370306366414995,2.8791923750173987e-09,2,1,2399167.5,752400.0,0.00038601818670039605,1.2797848504927587e-09,0,0,0.0006296941486549541,LONG,0.00031484851392366453,2.8791923750173987e-09,0.464773,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,71537706172.0,3.4e-05,1.1e-05,0.0,0.0,0.613022,0.444494,0.0,0.0,4.401154730439161e-11,4.024720010025035e-16,0.3387355867935097,0.26546319044822203,0.5212,0.0,1.7,0.1556,0.15,0.6,0.2606,0.3546,0.0,1.7,0.0,0.0,0.6,0.0,0.40661804466548473,0.2700745531955577,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,4798335.0,752400.0,1500000.0,0.0
CORZ,0.0,2.896730416875925e-14,0,1,2.896730416875925e-14,1,39.0,13.419811,,13.419811,1,0,0,0.0,0.0,0.0,2.896730416875925e-14,0,1,0.0,617594.0,0.0,1.700159791293331e-14,0,0,-2.896730416875925e-14,SHORT,0.0,2.896730416875925e-14,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,6549459244.0,0.0,9.4e-05,0.0,0.0,0.0,0.586924,0.0,0.0,0.0,4.422854328820562e-20,0.11760329859923185,0.2918674062695031,0.576,0.0,0.0,0.0,0.0,0.6,0.0,0.6187,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.5070708271351712,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,617594.0,0.0,900351.0
CRCL,3006531.1000364907,0.0,3,0,6013062.200072981,3,86.0,9.779189,9.779189,,3,2,0,845852.7766418522,0.0,2160678.3233946385,0.0,3,0,3637842.0,0.0,2149234.503559715,0.0,3,0,3006531.1000364907,LONG,1002177.0333454969,0.0,0.281338,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.6667,0,0.0,21902253699.0,0.000166,0.0,9.8e-05,0.0,0.714855,0.0,0.0,0.0,0.45756799602373965,0.0,0.5262706215724321,0.10923192798039072,0.6439,1.5782,1.7,0.3111,0.3,0.6,0.1295,0.4923,0.0,0.0,0.0,0.0,0.6,0.0,0.7518826462910312,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,7275684.0,0.0,0.0,0.0
CRDO,0.0,669994.0563821392,0,2,669994.0563821392,2,57.5,2.403081,,2.403081,2,0,0,0.0,0.0,0.0,641903.8748665346,0,2,0.0,1533050.0,0.0,404258.37634506176,0,0,-669994.0563821392,SHORT,0.0,334997.0281910696,0.0,0.041926,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,33813363001.0,0.0,4.5e-05,0.0,1.2e-05,0.0,0.603376,0.0,0.0,0.0,0.09907237803621083,0.11357405284637354,0.3197104487687803,0.5357,0.0,0.0,0.0,0.0,0.6,0.0,0.7676,0.3798,1.2941,0.1556,0.0,0.6,0.0,0.06,0.396444068479872,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1533050.0,823024.0,0.0
DIA,1.3467175166873788,0.5288018143843447,1,1,1.8755193310717235,2,76.5,87.621406,172.0,3.242812,2,0,0,0.0,0.0,1.3467175166873788,0.5288018143843447,1,1,1054000.0,768797.0,0.8698131079580934,0.22266041229908431,0,0,0.8179157023030341,LONG,1.3467175166873788,0.5288018143843447,0.0,0.0,2.546733918179326,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,491.419824,0.0,0.0,0.0,0.0,0.645876,0.421066,0.0,0.0,0.0,0.0,0.3278720852059578,0.375,0.9787,0.0,1.7,0.0,0.0,0.6,0.0,1.45,0.0,1.7,0.0,0.0,0.6,0.0,0.23,0.23,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0.0,0.0,1054000.0,768797.0,0.0,0.0
