ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,0.01212214674383224,0.0,3,0,0.02424429348766448,3,90.0,1.136259,1.136259,,3,1,0,0.006250163852437093,0.0,0.006250163852437093,0.0,3,0,0.9394926325180284,378332.5,0.0,0.01212214674383224,LONG,0.004040715581277413,0.0,0.484401,0.0,99.0,1.0,15487392855.0,2.4e-05,0.0,0.21316546640633305,0.09071134740911457
AAPL,554922.6254933475,1592206.0125780602,3,13,2988188.548482305,16,70.625,0.561519,0.688049,0.53232,16,1,1,283487.9825619057,50176.181127419775,283487.9825619057,558879.0032003757,3,13,1.2728408271049232,621908.0,2016029.0,-1037283.3870847126,SHORT,184974.2084977825,122477.3855829277,0.48914,0.648991,0.3485243876166695,1.0,3708749586800.0,0.0,1e-06,0.33022580507805976,0.4088677060408163
ADBE,188863.20815284862,15668.141897553025,6,6,319212.6862739792,12,89.75,0.433149,0.4633,0.402998,12,1,2,97.05469676896428,14570.22492759515,88430.55140587543,14248.679476604371,6,6,196.82986007074544,551937.0,765257.5,173195.0662552956,LONG,31477.201358808103,2611.3569829255043,0.531775,0.090595,12.053963347264832,1.0,95896450000.0,6e-06,8e-06,0.36481722938138483,0.27166666666666667
ADMA,410903.3175290877,0.0,1,0,410903.3175290877,1,84.0,2001.2,2001.2,,1,0,0,0.0,0.0,410903.3175290877,0.0,1,0,0.0,822780.0,0.0,410903.3175290877,LONG,410903.3175290877,0.0,0.0,0.0,99.0,1.0,2293472865.0,0.000359,0.0,0.5605235112499889,0.05
AMD,212787.56100587102,0.0,1,0,212787.56100587102,1,113.0,0.274499,0.274499,,1,0,0,0.0,0.0,212787.56100587102,0.0,1,0,0.0,221730.0,0.0,212787.56100587102,LONG,212787.56100587102,0.0,0.0,0.0,99.0,0.7,359130596388.0,1e-06,0.0,0.17857142857142858,0.02857142857142857
APD,0.0,0.005465004764238291,0,2,0.010930009528476581,2,90.0,1.459079,,1.459079,2,0,0,0.0,0.0,0.0,0.003441526645307844,0,2,0.5879594515675897,0.0,178500.0,-0.005465004764238291,SHORT,0.0,0.0027325023821191453,0.0,0.370261,0.0,1.0,64590281361.0,0.0,3e-06,0.07547824290126222,0.1656606733774527
APP,202.62421393283734,65824.39940985829,1,2,95818.07488170196,3,94.333333,0.154509,0.059659,0.201935,3,0,0,0.0,0.0,202.62421393283734,36033.34815194745,1,2,471.88560938458335,70760.0,117065.0,-65621.77519592545,SHORT,202.62421393283734,32912.199704929146,0.0,0.452584,0.0030782538959632498,0.7,134094398300.0,1e-06,1e-06,0.15857142857142859,0.27371160497001473
ARM,180380.27158640313,40582.002389278874,11,12,261512.67582750655,23,60.391304,7.576085,2.529205,12.202393,23,0,8,0.0,28343.98065014407,109318.58173927596,6305.998462392267,11,12,1.8449184111461063,1616263.5,757346.0,139798.26919712426,LONG,16398.20650785483,3381.8335324399063,0.393955,0.844611,4.444834186744239,1.0,165946612828.0,1e-05,5e-06,0.44098898919543594,0.5499464644829979
ASTS,0.0,20531.167190560336,0,2,41062.33438112067,2,67.5,0.188845,,0.188845,2,0,0,0.0,0.0,0.0,15603.48654528638,0,2,3.166497114672272,0.0,137947.5,-20531.167190560336,SHORT,0.0,10265.583595280168,0.0,0.24001,0.0,1.0,28110713966.0,0.0,5e-06,0.18,0.23258254078199966
AVGO,179186.32511698274,101940.05234827472,3,6,369869.21589524613,9,69.111111,0.073765,0.101577,0.05986,9,0,3,0.0,13197.213918286077,171332.55374912813,48178.55294965812,3,6,27.997238675318876,429375.0,518663.5,77246.27276870802,LONG,59728.775038994245,16990.008724712454,0.04383,0.527383,1.757761753003606,1.0,1509459563741.0,0.0,0.0,0.3075234666485037,0.364429088779635
