ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,2413.1185760203957,4.104534292687296,5,1,4830.341686333479,6,90.0,11.293747,13.485066,0.337151,6,1,0,1104.3431908892567,0.0,1104.3431908892567,4.104534292687296,5,1,7.836895248908032,824919.5,109395.0,2409.0140417277084,LONG,482.62371520407913,4.104534292687296,0.542359,0.0,99.0,1.0,394294243.08651024,0.002092,0.000277,0.6122474772872593,0.22893414322100467
AAOI,1608.894714919125,943.2916325754217,1,5,3495.4779800699685,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,1608.894714919125,370.9348081702576,1,5,7.656940566811291,304920.0,656096.5,665.6030823437032,LONG,1608.894714919125,188.65832651508433,0.0,0.606766,1.705617498722469,1.0,1132609116.2982662,0.000269,0.000579,0.3772784877025362,0.3638829513654974
AAP,9.381702095677758,16.385514181217115,1,1,42.15273045811199,2,30.5,69.543401,138.631579,0.455223,2,0,0,0.0,0.0,9.381702095677758,16.385514181217115,1,1,3.493079190558839,3752500.0,675000.0,-7.003812085539357,SHORT,9.381702095677758,16.385514181217115,0.0,0.0,0.5725607382179133,1.0,79798906.86510544,0.047024,0.008459,0.5800000000000001,0.43
ABVX,0.07307999362297855,17.896504553096236,1,2,35.93916909343843,3,111.0,0.608784,1.15625,0.335052,3,0,0,0.0,0.0,0.07307999362297855,9.065870844831759,1,2,0.9662633998540698,56065.0,55495.0,-17.823424559473256,SHORT,0.07307999362297855,8.948252276548118,0.0,0.493428,0.004083478614841307,0.7,116274821.00659943,0.000482,0.000477,0.19227069308423905,0.19366500003128725
ACHR,1986.5629316015134,0.0,2,0,3973.1258632030267,2,56.0,580.96875,580.96875,,2,1,0,1020.9431726774535,0.0,1020.9431726774535,0.0,2,0,1.0572931666342844,251377.5,0.0,1986.5629316015134,LONG,993.2814658007567,0.0,0.486076,0.0,99.0,1.0,178902341.47694007,0.001405,0.0,0.4550174586299671,0.095816037220819
AEM,1.2450639098261513,3598.160129437058,1,3,4183.619212483901,4,58.5,0.968474,1.378049,0.831949,4,1,1,1.2450639098261513,582.9689552271901,1.2450639098261513,3011.029599462563,1,3,627.9546428708795,41815.0,607675.0,-3596.915065527232,SHORT,1.2450639098261513,1199.3867098123526,0.0,0.163175,0.00034602793234245107,1.0,477319582.55250853,8.8e-05,0.001273,0.24518294000000002,0.39230151750580955
AGNC,0.0,393.5226691753423,0,1,393.5226691753423,1,90.0,0.08687,,0.08687,1,0,0,0.0,0.0,0.0,393.5226691753423,0,1,0.0,0.0,72000.0,-393.5226691753423,SHORT,0.0,393.5226691753423,0.0,0.0,0.0,1.0,216799154.325,0.0,0.000332,0.05,0.10944617789869021
AGRO,4.967310027049783,0.0,1,0,4.967310027049783,1,92.0,4.170492,4.170492,,1,0,0,0.0,0.0,4.967310027049783,0.0,1,0,0.0,120000.0,0.0,4.967310027049783,LONG,4.967310027049783,0.0,0.0,0.0,99.0,0.7,26333546.682755426,0.004557,0.0,0.42155706475975463,0.02857142857142857
ALAB,0.08674519790332985,31.545695630058606,1,3,53.82135416505852,4,54.25,1.943465,3.0,1.591286,4,0,1,0.0,22.102168139193253,0.08674519790332985,22.102168139193253,1,3,22.792649161265288,46460.0,406490.0,-31.458950432155277,SHORT,0.08674519790332985,10.515231876686203,0.0,0.29936,0.00274982675673425,1.0,562772275.9501362,8.3e-05,0.000722,0.33,0.4079887478084649
AMZN,6157.41508201524,5377.036438925464,4,6,14258.150484614287,10,85.6,0.077371,0.133399,0.040019,10,0,0,0.0,0.0,3082.9847533683756,2023.139781813069,4,6,1.758950284609197,652752.5,717358.0,780.3786430897762,LONG,1539.35377050381,896.1727398209106,0.499305,0.623744,1.1451317378919839,1.0,9433033421.53916,6.9e-05,7.6e-05,0.19474296471401759,0.23029813138068422
