ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
ALAB,0.0,710.4608454022493,0,2,710.4608454022493,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,553.329368724888,0,2,-710.4608454022493,SHORT,0.0,355.23042270112467,0.0,0.78,0.0,1.0,0.05,0.4123061231835625
AMAT,194125.009339223,0.0,1,0,194125.009339223,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,194125.009339223,0.0,1,0,194125.009339223,LONG,194125.009339223,0.0,1.0,0.0,inf,1.0,0.5696570501967525,0.05
BMNR,44101.643044438606,0.0,1,0,44101.643044438606,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,44101.643044438606,0.0,1,0,44101.643044438606,LONG,44101.643044438606,0.0,1.0,0.0,inf,1.0,0.5154855639866901,0.05
CIA,0.0,120790.97539544846,0,1,120790.97539544846,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,120790.97539544846,0,1,-120790.97539544846,SHORT,0.0,120790.97539544846,0.0,1.0,0.0,1.0,0.05,0.5552916185233189
CMG,0.0,130551.72636091687,0,3,130551.72636091687,3,54.0,37.62,,37.62,3,0,2,0.0,130095.95500184735,0.0,107436.7117175563,0,3,-130551.72636091687,SHORT,0.0,43517.24212030562,0.0,0.82,0.0,1.0,0.05,0.83655678698041
CRM,2910.326281880061,610.4309225736679,1,3,3520.7572044537287,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2910.326281880061,259.12346149836026,1,3,2299.895359306393,LONG,2910.326281880061,203.47697419122264,1.0,0.42,4.767658672351805,1.0,0.42501875197698624,0.4534696215373188
GLNG,242475.94492773252,0.0,5,0,242475.94492773252,5,83.6,16.44,16.44,,5,1,0,86289.27516713101,0.0,86289.27516713101,0.0,5,0,242475.94492773252,LONG,48495.188985546505,0.0,0.36,0.0,inf,1.0,0.8895081180416314,0.05
HIMS,0.0,47887.427617388865,0,1,47887.427617388865,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,47887.427617388865,0,1,-47887.427617388865,SHORT,0.0,47887.427617388865,0.0,1.0,0.0,0.7,0.0,0.47439830757731183
HOOD,7.703978338885643,56072.8896008645,1,3,56080.593579203385,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.703978338885643,54987.80746301066,1,3,-56065.18562252562,SHORT,7.703978338885643,18690.963200288166,1.0,0.98,0.00013739221206047616,1.0,0.21864059162148325,0.6147372581535431
HPQ,0.0,1.3946579449914627,0,1,1.3946579449914627,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.3946579449914627,0,1,-1.3946579449914627,SHORT,0.0,1.3946579449914627,0.0,1.0,0.0,1.0,0.05,0.18289291041647443
IWM,0.0,178761.73837415024,0,1,178761.73837415024,1,56.0,0.52,,0.52,1,0,1,0.0,178761.73837415024,0.0,178761.73837415024,0,1,-178761.73837415024,SHORT,0.0,178761.73837415024,0.0,1.0,0.0,1.0,0.05,0.6196560529312407
LEU,0.0,83773.25404679794,0,1,83773.25404679794,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,83773.25404679794,0,1,-83773.25404679794,SHORT,0.0,83773.25404679794,0.0,1.0,0.0,1.0,0.05,0.5441165854438412
NEM,310062.11214541155,0.0,2,0,310062.11214541155,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,155143.21998979332,0.0,2,0,310062.11214541155,LONG,155031.05607270577,0.0,0.5,0.0,inf,1.0,0.5820670294247431,0.05
NFLX,239560.1336406702,0.0,1,0,239560.1336406702,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,239560.1336406702,0.0,1,0,239560.1336406702,LONG,239560.1336406702,0.0,1.0,0.0,inf,1.0,0.573730757110025,0.05
NOW,348.01141307232854,0.0,1,0,348.01141307232854,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,348.01141307232854,0.0,1,0,348.01141307232854,LONG,348.01141307232854,0.0,1.0,0.0,inf,1.0,0.34336500115509677,0.05
ORCL,69055.29491259533,115953.37749173332,1,1,185008.67240432865,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,69055.29491259533,115953.37749173332,1,1,-46898.08257913799,SHORT,69055.29491259533,115953.37749173332,1.0,1.0,0.5955436262951331,1.0,0.5335025525956328,0.5534203261699351
PLTR,0.0,56758.69329051877,0,1,56758.69329051877,1,56.0,0.11,,0.11,1,0,0,0.0,0.0,0.0,56758.69329051877,0,1,-56758.69329051877,SHORT,0.0,56758.69329051877,0.0,1.0,0.0,1.0,0.05,0.5288758880696062
QCOM,0.0,47057.11839067857,0,1,47057.11839067857,1,56.0,0.12,,0.12,1,0,0,0.0,0.0,0.0,47057.11839067857,0,1,-47057.11839067857,SHORT,0.0,47057.11839067857,0.0,1.0,0.0,1.0,0.05,0.5224202292200381
QQQ,0.0,568686.6580568352,0,2,568686.6580568352,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,374667.5001915947,0,2,-568686.6580568352,SHORT,0.0,284343.3290284176,0.0,0.66,0.0,1.0,0.05,0.6333769520732364
RDDT,0.0,0.48985380478836793,0,1,0.48985380478836793,1,32.0,0.34,,0.34,1,0,0,0.0,0.0,0.0,0.48985380478836793,0,1,-0.48985380478836793,SHORT,0.0,0.48985380478836793,0.0,1.0,0.0,1.0,0.05,0.1647034488604916
SLV,270297.7899923937,0.0,2,0,270297.7899923937,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,137614.16009708148,0.0,2,0,270297.7899923937,LONG,135148.89499619685,0.0,0.51,0.0,inf,1.0,0.5728191952794519,0.05
SOXS,26537.678975024093,0.0,1,0,26537.678975024093,1,56.0,1.33,1.33,,1,1,0,26537.678975024093,0.0,26537.678975024093,0.0,1,0,26537.678975024093,LONG,26537.678975024093,0.0,1.0,0.0,inf,1.0,0.5584904510854607,0.05
SPY,358128.58161952416,401883.05451551086,2,3,760011.636135035,5,51.8,0.84,0.77,0.88,5,1,2,142718.20962792885,241118.37329184753,215410.37199159528,160764.68122366333,2,3,-43754.47289598669,SHORT,179064.29080976208,133961.01817183694,0.6,0.4,0.8911263552808047,1.0,0.6458427127223132,0.7555197716348366
