ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
IWM,0.0,134647.7473042253,0,1,134647.7473042253,1,56.0,0.517895,,0.517895,1,0,1,0.0,134647.7473042253,0.0,134647.7473042253,0,1,-134647.7473042253,SHORT,0.0,134647.7473042253,0.0,1.0,0.0,1.0,12309687908.195473,0.0,1.1e-05,0.05,0.3457485550326133
LEU,0.0,63100.07971693028,0,1,63100.07971693028,1,90.0,0.772152,,0.772152,1,0,0,0.0,0.0,0.0,63100.07971693028,0,1,-63100.07971693028,SHORT,0.0,63100.07971693028,0.0,1.0,0.0,1.0,143239854.59089205,0.0,0.000441,0.05,0.28818216418213083
NEM,233546.42500392505,0.0,2,0,233546.42500392505,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,116857.69712882962,0.0,2,0,233546.42500392505,LONG,116773.21250196252,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000224,0.0,0.34292008678599617,0.05
NFLX,180442.5971239033,0.0,1,0,180442.5971239033,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,180442.5971239033,0.0,1,0,180442.5971239033,LONG,180442.5971239033,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.6e-05,0.0,0.29241847821647793,0.05
NOW,262.1307738027976,0.0,1,0,262.1307738027976,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,262.1307738027976,0.0,1,0,262.1307738027976,LONG,262.1307738027976,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.2041181728866458,0.05
ORCL,52014.15014184291,87338.94184280346,1,1,139353.09198464637,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,52014.15014184291,87338.94184280346,1,1,-35324.791700960544,SHORT,52014.15014184291,87338.94184280346,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.1e-05,1.9e-05,0.2746151482858831,0.2892121259299818
PLTR,0.0,42752.04672436173,0,1,42752.04672436173,1,56.0,0.111087,,0.111087,1,0,0,0.0,0.0,0.0,42752.04672436173,0,1,-42752.04672436173,SHORT,0.0,42752.04672436173,0.0,1.0,0.0,1.0,7481292179.187055,0.0,6e-06,0.05,0.2806218131117484
QCOM,0.0,35444.58139398657,0,1,35444.58139398657,1,56.0,0.121536,,0.121536,1,0,0,0.0,0.0,0.0,35444.58139398657,0,1,-35444.58139398657,SHORT,0.0,35444.58139398657,0.0,1.0,0.0,1.0,1689881062.3287992,0.0,2.1e-05,0.05,0.2783946078170186
QQQ,0.0,428348.80733288854,0,2,428348.80733288854,2,90.0,0.135121,,0.135121,2,0,0,0.0,0.0,0.0,282208.79561662755,0,2,-428348.80733288854,SHORT,0.0,214174.40366644427,0.0,0.658829,0.0,1.0,41537768904.985,0.0,1e-05,0.05,0.3333287958922231
RDDT,0.0,0.3689699592488146,0,1,0.3689699592488146,1,32.0,0.337539,,0.337539,1,0,0,0.0,0.0,0.0,0.3689699592488146,0,1,-0.3689699592488146,SHORT,0.0,0.3689699592488146,0.0,1.0,0.0,1.0,692712070.70224,0.0,0.0,0.05,0.1547467868921239
